Account Level 2,Year,Value Column Name,Value
"Software revenue","Jan_Mar","PY","477"
"Software revenue","Jan_Mar","PL","1561.0900000000006"
"Software revenue","Jan_Mar","FC","350"
"Software revenue","Jan_Mar","AC","453"
"Software revenue","Jan_Mar","AC - PY","-24"
"Software revenue","Jan_Mar","(AC - PY)%","-0.05031446540880504"
"Software revenue","Jan_Mar","AC - PL","-1108.0900000000006"
"Software revenue","Jan_Mar","(AC - PL)%","-0.7098181398894363"
"Software revenue","Jan_Mar","AC - FC","103"
"Software revenue","Jan_Mar","(AC - FC)%","0.29428571428571426"
"Software revenue","Jan_Mar","PL - PY","1084.0900000000006"
"Software revenue","Jan_Mar","(PL - PY)%","2.2727253668763114"
"Software revenue","Jan_Mar","FC - PY","-127"
"Software revenue","Jan_Mar","(FC - PY)%","-0.2662473794549266"
"Software revenue","Jan_Mar","FC - PL","-1211.0900000000006"
"Software revenue","Jan_Mar","(FC - PL)%","-0.7757976798262753"
"Software revenue","2022","PY","555"
"Software revenue","2022","PL","1561.0900000000006"
"Software revenue","2022","FC","200"
"Software revenue","2022","AC","265"
"Software revenue","2022","AC - PY","-290"
"Software revenue","2022","(AC - PY)%","-0.5225225225225225"
"Software revenue","2022","AC - PL","-1296.0900000000006"
"Software revenue","2022","(AC - PL)%","-0.8302468147256085"
"Software revenue","2022","AC - FC","65"
"Software revenue","2022","(AC - FC)%","0.325"
"Software revenue","2022","PL - PY","1006.0900000000006"
"Software revenue","2022","(PL - PY)%","1.812774774774776"
"Software revenue","2022","FC - PY","-355"
"Software revenue","2022","(FC - PY)%","-0.6396396396396397"
"Software revenue","2022","FC - PL","-1361.0900000000006"
"Software revenue","2022","(FC - PL)%","-0.8718843884721573"
"% contribution of revenue","Jan_Mar","PY","46.245799999999996"
"% contribution of revenue","Jan_Mar","PL","37.5"
"% contribution of revenue","Jan_Mar","FC","33.1081"
"% contribution of revenue","Jan_Mar","AC","33.0335"
"% contribution of revenue","Jan_Mar","AC - PY","-13.212299999999999"
"% contribution of revenue","Jan_Mar","(AC - PY)%","-0.28569729575442526"
"% contribution of revenue","Jan_Mar","AC - PL","-4.4665000000000035"
"% contribution of revenue","Jan_Mar","(AC - PL)%","-0.11910666666666676"
"% contribution of revenue","Jan_Mar","AC - FC","-0.07460000000000377"
"% contribution of revenue","Jan_Mar","(AC - FC)%","-0.0022532250416062464"
"% contribution of revenue","Jan_Mar","PL - PY","-8.745799999999996"
"% contribution of revenue","Jan_Mar","(PL - PY)%","-0.18911555211500283"
"% contribution of revenue","Jan_Mar","FC - PY","-13.137699999999995"
"% contribution of revenue","Jan_Mar","(FC - PY)%","-0.28408417629276594"
"% contribution of revenue","Jan_Mar","FC - PL","-4.3919"
"% contribution of revenue","Jan_Mar","(FC - PL)%","-0.11711733333333334"
"% contribution of revenue","2022","PY","29.055999999999997"
"% contribution of revenue","2022","PL","37.5"
"% contribution of revenue","2022","FC","34.9657"
"% contribution of revenue","2022","AC","32.067800000000005"
"% contribution of revenue","2022","AC - PY","3.011800000000008"
"% contribution of revenue","2022","(AC - PY)%","0.10365501101321614"
"% contribution of revenue","2022","AC - PL","-5.432199999999995"
"% contribution of revenue","2022","(AC - PL)%","-0.14485866666666652"
"% contribution of revenue","2022","AC - FC","-2.897899999999993"
"% contribution of revenue","2022","(AC - FC)%","-0.08287836365352311"
"% contribution of revenue","2022","PL - PY","8.444000000000003"
"% contribution of revenue","2022","(PL - PY)%","0.2906112334801763"
"% contribution of revenue","2022","FC - PY","5.909700000000001"
"% contribution of revenue","2022","(FC - PY)%","0.203390005506608"
"% contribution of revenue","2022","FC - PL","-2.5343000000000018"
"% contribution of revenue","2022","(FC - PL)%","-0.06758133333333338"
"Revenue","Jan_Mar","PY","696"
"Revenue","Jan_Mar","PL","4683.2699999999995"
"Revenue","Jan_Mar","FC","490"
"Revenue","Jan_Mar","AC","661"
"Revenue","Jan_Mar","AC - PY","-35"
"Revenue","Jan_Mar","(AC - PY)%","-0.05028735632183908"
"Revenue","Jan_Mar","AC - PL","-4022.2699999999995"
"Revenue","Jan_Mar","(AC - PL)%","-0.85885930130016"
"Revenue","Jan_Mar","AC - FC","171"
"Revenue","Jan_Mar","(AC - FC)%","0.3489795918367347"
"Revenue","Jan_Mar","PL - PY","3987.2699999999995"
"Revenue","Jan_Mar","(PL - PY)%","5.728836206896551"
"Revenue","Jan_Mar","FC - PY","-206"
"Revenue","Jan_Mar","(FC - PY)%","-0.2959770114942529"
"Revenue","Jan_Mar","FC - PL","-4193.2699999999995"
"Revenue","Jan_Mar","(FC - PL)%","-0.8953722505855951"
"Revenue","2022","PY","788"
"Revenue","2022","PL","4683.2699999999995"
"Revenue","2022","FC","357"
"Revenue","2022","AC","473"
"Revenue","2022","AC - PY","-315"
"Revenue","2022","(AC - PY)%","-0.399746192893401"
"Revenue","2022","AC - PL","-4210.2699999999995"
"Revenue","2022","(AC - PL)%","-0.8990021929122173"
"Revenue","2022","AC - FC","116"
"Revenue","2022","(AC - FC)%","0.3249299719887955"
"Revenue","2022","PL - PY","3895.2699999999995"
"Revenue","2022","(PL - PY)%","4.943236040609136"
"Revenue","2022","FC - PY","-431"
"Revenue","2022","(FC - PY)%","-0.5469543147208121"
"Revenue","2022","FC - PL","-4326.2699999999995"
"Revenue","2022","(FC - PL)%","-0.9237712111409335"
"Cost of sales","Jan_Mar","PY","-292"
"Cost of sales","Jan_Mar","PL","-1561.0900000000006"
"Cost of sales","Jan_Mar","FC","-131"
