Category,Sub-Category,Region,Value Column Name,Value
"Furniture","Bookcases","Central","Quantity","37873"
"Furniture","Bookcases","Central","PL","2786"
"Furniture","Bookcases","Central","FC","1535"
"Furniture","Bookcases","Central","Profit","286397.0217"
"Furniture","Bookcases","Central","Profit - Quantity","248524.02169999998"
"Furniture","Bookcases","Central","(Profit - Quantity)%","6.562036852111003"
"Furniture","Bookcases","Central","Profit - PL","283611.0217"
"Furniture","Bookcases","Central","(Profit - PL)%","101.79864382627422"
"Furniture","Bookcases","Central","Profit - FC","284862.0217"
"Furniture","Bookcases","Central","(Profit - FC)%","185.57786429967425"
"Furniture","Bookcases","Central","PL - Quantity","-35087"
"Furniture","Bookcases","Central","(PL - Quantity)%","-0.9264383597813746"
"Furniture","Bookcases","Central","FC - Quantity","-36338"
"Furniture","Bookcases","Central","(FC - Quantity)%","-0.9594698069865075"
"Furniture","Bookcases","Central","FC - PL","-1251"
"Furniture","Bookcases","Central","(FC - PL)%","-0.44903086862885855"
"Furniture","Bookcases","East","Quantity","37873"
"Furniture","Bookcases","East","PL","2786"
"Furniture","Bookcases","East","FC","1535"
"Furniture","Bookcases","East","Profit","286397.0217"
"Furniture","Bookcases","East","Profit - Quantity","248524.02169999998"
"Furniture","Bookcases","East","(Profit - Quantity)%","6.562036852111003"
"Furniture","Bookcases","East","Profit - PL","283611.0217"
"Furniture","Bookcases","East","(Profit - PL)%","101.79864382627422"
"Furniture","Bookcases","East","Profit - FC","284862.0217"
"Furniture","Bookcases","East","(Profit - FC)%","185.57786429967425"
"Furniture","Bookcases","East","PL - Quantity","-35087"
"Furniture","Bookcases","East","(PL - Quantity)%","-0.9264383597813746"
"Furniture","Bookcases","East","FC - Quantity","-36338"
"Furniture","Bookcases","East","(FC - Quantity)%","-0.9594698069865075"
"Furniture","Bookcases","East","FC - PL","-1251"
"Furniture","Bookcases","East","(FC - PL)%","-0.44903086862885855"
"Furniture","Bookcases","South","Quantity","37873"
"Furniture","Bookcases","South","PL","2786"
"Furniture","Bookcases","South","FC","1535"
"Furniture","Bookcases","South","Profit","286397.0217"
"Furniture","Bookcases","South","Profit - Quantity","248524.02169999998"
"Furniture","Bookcases","South","(Profit - Quantity)%","6.562036852111003"
"Furniture","Bookcases","South","Profit - PL","283611.0217"
"Furniture","Bookcases","South","(Profit - PL)%","101.79864382627422"
"Furniture","Bookcases","South","Profit - FC","284862.0217"
"Furniture","Bookcases","South","(Profit - FC)%","185.57786429967425"
"Furniture","Bookcases","South","PL - Quantity","-35087"
"Furniture","Bookcases","South","(PL - Quantity)%","-0.9264383597813746"
"Furniture","Bookcases","South","FC - Quantity","-36338"
"Furniture","Bookcases","South","(FC - Quantity)%","-0.9594698069865075"
"Furniture","Bookcases","South","FC - PL","-1251"
"Furniture","Bookcases","South","(FC - PL)%","-0.44903086862885855"
"Furniture","Bookcases","West","Quantity","37873"
"Furniture","Bookcases","West","PL","2786"
"Furniture","Bookcases","West","FC","1535"
"Furniture","Bookcases","West","Profit","286397.0217"
"Furniture","Bookcases","West","Profit - Quantity","248524.02169999998"
"Furniture","Bookcases","West","(Profit - Quantity)%","6.562036852111003"
"Furniture","Bookcases","West","Profit - PL","283611.0217"
"Furniture","Bookcases","West","(Profit - PL)%","101.79864382627422"
"Furniture","Bookcases","West","Profit - FC","284862.0217"
"Furniture","Bookcases","West","(Profit - FC)%","185.57786429967425"
"Furniture","Bookcases","West","PL - Quantity","-35087"
"Furniture","Bookcases","West","(PL - Quantity)%","-0.9264383597813746"
"Furniture","Bookcases","West","FC - Quantity","-36338"
"Furniture","Bookcases","West","(FC - Quantity)%","-0.9594698069865075"
"Furniture","Bookcases","West","FC - PL","-1251"
"Furniture","Bookcases","West","(FC - PL)%","-0.44903086862885855"
"Furniture","Chairs","Central","Quantity","37873"
"Furniture","Chairs","Central","PL","2786"
"Furniture","Chairs","Central","FC","1535"
"Furniture","Chairs","Central","Profit","286397.0217"
"Furniture","Chairs","Central","Profit - Quantity","248524.02169999998"
"Furniture","Chairs","Central","(Profit - Quantity)%","6.562036852111003"
"Furniture","Chairs","Central","Profit - PL","283611.0217"
"Furniture","Chairs","Central","(Profit - PL)%","101.79864382627422"
"Furniture","Chairs","Central","Profit - FC","284862.0217"
"Furniture","Chairs","Central","(Profit - FC)%","185.57786429967425"
"Furniture","Chairs","Central","PL - Quantity","-35087"
"Furniture","Chairs","Central","(PL - Quantity)%","-0.9264383597813746"
"Furniture","Chairs","Central","FC - Quantity","-36338"
"Furniture","Chairs","Central","(FC - Quantity)%","-0.9594698069865075"
"Furniture","Chairs","Central","FC - PL","-1251"
"Furniture","Chairs","Central","(FC - PL)%","-0.44903086862885855"
"Furniture","Chairs","East","Quantity","37873"
"Furniture","Chairs","East","PL","2786"
"Furniture","Chairs","East","FC","1535"
"Furniture","Chairs","East","Profit","286397.0217"
"Furniture","Chairs","East","Profit - Quantity","248524.02169999998"
"Furniture","Chairs","East","(Profit - Quantity)%","6.562036852111003"
"Furniture","Chairs","East","Profit - PL","283611.0217"
"Furniture","Chairs","East","(Profit - PL)%","101.79864382627422"
"Furniture","Chairs","East","Profit - FC","284862.0217"
"Furniture","Chairs","East","(Profit - FC)%","185.57786429967425"
"Furniture","Chairs","East","PL - Quantity","-35087"
"Furniture","Chairs","East","(PL - Quantity)%","-0.9264383597813746"
"Furniture","Chairs","East","FC - Quantity","-36338"
"Furniture","Chairs","East","(FC - Quantity)%","-0.9594698069865075"
"Furniture","Chairs","East","FC - PL","-1251"
"Furniture","Chairs","East","(FC - PL)%","-0.44903086862885855"
"Furniture","Chairs","South","Quantity","37873"
"Furniture","Chairs","South","PL","2786"
"Furniture","Chairs","South","FC","1535"
"Furniture","Chairs","South","Profit","286397.0217"
"Furniture","Chairs","South","Profit - Quantity","248524.02169999998"
"Furniture","Chairs","South","(Profit - Quantity)%","6.562036852111003"
"Furniture","Chairs","South","Profit - PL","283611.0217"
"Furniture","Chairs","South","(Profit - PL)%","101.79864382627422"
"Furniture","Chairs","South","Profit - FC","284862.0217"
"Furniture","Chairs","South","(Profit - FC)%","185.57786429967425"
"Furniture","Chairs","South","PL - Quantity","-35087"
"Furniture","Chairs","South","(PL - Quantity)%","-0.9264383597813746"
"Furniture","Chairs","South","FC - Quantity","-36338"
"Furniture","Chairs","South","(FC - Quantity)%","-0.9594698069865075"
"Furniture","Chairs","South","FC - PL","-1251"
"Furniture","Chairs","South","(FC - PL)%","-0.44903086862885855"
"Furniture","Chairs","West","Quantity","37873"
"Furniture","Chairs","West","PL","2786"
"Furniture","Chairs","West","FC","1535"
"Furniture","Chairs","West","Profit","286397.0217"
"Furniture","Chairs","West","Profit - Quantity","248524.02169999998"
"Furniture","Chairs","West","(Profit - Quantity)%","6.562036852111003"
"Furniture","Chairs","West","Profit - PL","283611.0217"
"Furniture","Chairs","West","(Profit - PL)%","101.79864382627422"
"Furniture","Chairs","West","Profit - FC","284862.0217"
"Furniture","Chairs","West","(Profit - FC)%","185.57786429967425"
"Furniture","Chairs","West","PL - Quantity","-35087"
"Furniture","Chairs","West","(PL - Quantity)%","-0.9264383597813746"
"Furniture","Chairs","West","FC - Quantity","-36338"
"Furniture","Chairs","West","(FC - Quantity)%","-0.9594698069865075"
"Furniture","Chairs","West","FC - PL","-1251"
"Furniture","Chairs","West","(FC - PL)%","-0.44903086862885855"
"Furniture","Furnishings","Central","Quantity","37873"
"Furniture","Furnishings","Central","PL","2786"
"Furniture","Furnishings","Central","FC","1535"
"Furniture","Furnishings","Central","Profit","286397.0217"
"Furniture","Furnishings","Central","Profit - Quantity","248524.02169999998"
"Furniture","Furnishings","Central","(Profit - Quantity)%","6.562036852111003"
"Furniture","Furnishings","Central","Profit - PL","283611.0217"
"Furniture","Furnishings","Central","(Profit - PL)%","101.79864382627422"
"Furniture","Furnishings","Central","Profit - FC","284862.0217"
"Furniture","Furnishings","Central","(Profit - FC)%","185.57786429967425"
"Furniture","Furnishings","Central","PL - Quantity","-35087"
"Furniture","Furnishings","Central","(PL - Quantity)%","-0.9264383597813746"
"Furniture","Furnishings","Central","FC - Quantity","-36338"
"Furniture","Furnishings","Central","(FC - Quantity)%","-0.9594698069865075"
"Furniture","Furnishings","Central","FC - PL","-1251"
"Furniture","Furnishings","Central","(FC - PL)%","-0.44903086862885855"
"Furniture","Furnishings","East","Quantity","37873"
"Furniture","Furnishings","East","PL","2786"
"Furniture","Furnishings","East","FC","1535"
"Furniture","Furnishings","East","Profit","286397.0217"
"Furniture","Furnishings","East","Profit - Quantity","248524.02169999998"
"Furniture","Furnishings","East","(Profit - Quantity)%","6.562036852111003"
"Furniture","Furnishings","East","Profit - PL","283611.0217"
"Furniture","Furnishings","East","(Profit - PL)%","101.79864382627422"
"Furniture","Furnishings","East","Profit - FC","284862.0217"
"Furniture","Furnishings","East","(Profit - FC)%","185.57786429967425"
"Furniture","Furnishings","East","PL - Quantity","-35087"
"Furniture","Furnishings","East","(PL - Quantity)%","-0.9264383597813746"
"Furniture","Furnishings","East","FC - Quantity","-36338"
"Furniture","Furnishings","East","(FC - Quantity)%","-0.9594698069865075"
"Furniture","Furnishings","East","FC - PL","-1251"
"Furniture","Furnishings","East","(FC - PL)%","-0.44903086862885855"
"Furniture","Furnishings","South","Quantity","37873"
"Furniture","Furnishings","South","PL","2786"
"Furniture","Furnishings","South","FC","1535"
"Furniture","Furnishings","South","Profit","286397.0217"
"Furniture","Furnishings","South","Profit - Quantity","248524.02169999998"
"Furniture","Furnishings","South","(Profit - Quantity)%","6.562036852111003"
"Furniture","Furnishings","South","Profit - PL","283611.0217"
"Furniture","Furnishings","South","(Profit - PL)%","101.79864382627422"
"Furniture","Furnishings","South","Profit - FC","284862.0217"
"Furniture","Furnishings","South","(Profit - FC)%","185.57786429967425"
"Furniture","Furnishings","South","PL - Quantity","-35087"
"Furniture","Furnishings","South","(PL - Quantity)%","-0.9264383597813746"
"Furniture","Furnishings","South","FC - Quantity","-36338"
"Furniture","Furnishings","South","(FC - Quantity)%","-0.9594698069865075"
"Furniture","Furnishings","South","FC - PL","-1251"
"Furniture","Furnishings","South","(FC - PL)%","-0.44903086862885855"
"Furniture","Furnishings","West","Quantity","37873"
"Furniture","Furnishings","West","PL","2786"
"Furniture","Furnishings","West","FC","1535"
"Furniture","Furnishings","West","Profit","286397.0217"
"Furniture","Furnishings","West","Profit - Quantity","248524.02169999998"
"Furniture","Furnishings","West","(Profit - Quantity)%","6.562036852111003"
"Furniture","Furnishings","West","Profit - PL","283611.0217"
"Furniture","Furnishings","West","(Profit - PL)%","101.79864382627422"
"Furniture","Furnishings","West","Profit - FC","284862.0217"
"Furniture","Furnishings","West","(Profit - FC)%","185.57786429967425"
"Furniture","Furnishings","West","PL - Quantity","-35087"
"Furniture","Furnishings","West","(PL - Quantity)%","-0.9264383597813746"
"Furniture","Furnishings","West","FC - Quantity","-36338"
"Furniture","Furnishings","West","(FC - Quantity)%","-0.9594698069865075"
"Furniture","Furnishings","West","FC - PL","-1251"
"Furniture","Furnishings","West","(FC - PL)%","-0.44903086862885855"
