Category,Sub-Category,Ship Mode,Value Column Name,Value
"Technology","Phones","First Class","Quantity","501"
"Technology","Phones","First Class","Profit","8400.27"
"Technology","Phones","First Class","Sales","53615.868"
"Technology","Phones","First Class","Sales - Quantity","53114.868"
"Technology","Phones","First Class","(Sales - Quantity)%","106.0177005988024"
"Technology","Phones","First Class","Sales - Profit","45215.598"
"Technology","Phones","First Class","(Sales - Profit)%","5.382636272405529"
"Technology","Phones","First Class","Profit - Quantity","7899.27"
"Technology","Phones","First Class","(Profit - Quantity)%","15.767005988023952"
"Technology","Phones","Same Day","Quantity","143"
"Technology","Phones","Same Day","Profit","1784.4746"
"Technology","Phones","Same Day","Sales","15988.236"
"Technology","Phones","Same Day","Sales - Quantity","15845.236"
"Technology","Phones","Same Day","(Sales - Quantity)%","110.80584615384616"
"Technology","Phones","Same Day","Sales - Profit","14203.761400000001"
"Technology","Phones","Same Day","(Sales - Profit)%","7.959632151670863"
"Technology","Phones","Same Day","Profit - Quantity","1641.4746"
"Technology","Phones","Same Day","(Profit - Quantity)%","11.478843356643356"
"Technology","Phones","Second Class","Quantity","658"
"Technology","Phones","Second Class","Profit","8377.6354"
"Technology","Phones","Second Class","Sales","63255.228"
"Technology","Phones","Second Class","Sales - Quantity","62597.228"
"Technology","Phones","Second Class","(Sales - Quantity)%","95.13256534954408"
"Technology","Phones","Second Class","Sales - Profit","54877.5926"
"Technology","Phones","Second Class","(Sales - Profit)%","6.550487098065883"
"Technology","Phones","Second Class","Profit - Quantity","7719.635399999999"
"Technology","Phones","Second Class","(Profit - Quantity)%","11.731968693009117"
"Technology","Phones","Standard Class","Quantity","1987"
"Technology","Phones","Standard Class","Profit","25953.3506"
"Technology","Phones","Standard Class","Sales","197147.722"
"Technology","Phones","Standard Class","Sales - Quantity","195160.722"
"Technology","Phones","Standard Class","(Sales - Quantity)%","98.21878309008557"
"Technology","Phones","Standard Class","Sales - Profit","171194.3714"
"Technology","Phones","Standard Class","(Sales - Profit)%","6.596233913628092"
"Technology","Phones","Standard Class","Profit - Quantity","23966.3506"
"Technology","Phones","Standard Class","(Profit - Quantity)%","12.061575541016609"
"Technology","Machines","First Class","Quantity","76"
"Technology","Machines","First Class","Profit","-1603.499"
"Technology","Machines","First Class","Sales","24153.401"
"Technology","Machines","First Class","Sales - Quantity","24077.401"
"Technology","Machines","First Class","(Sales - Quantity)%","316.80790789473684"
"Technology","Machines","First Class","Sales - Profit","25756.9"
"Technology","Machines","First Class","(Sales - Profit)%","16.062934869307682"
"Technology","Machines","First Class","Profit - Quantity","-1679.499"
"Technology","Machines","First Class","(Profit - Quantity)%","-22.09867105263158"
"Technology","Machines","Same Day","Quantity","35"
"Technology","Machines","Same Day","Profit","438.7708"
"Technology","Machines","Same Day","Sales","22798.537"
"Technology","Machines","Same Day","Sales - Quantity","22763.537"
"Technology","Machines","Same Day","(Sales - Quantity)%","650.3867714285715"
"Technology","Machines","Same Day","Sales - Profit","22359.766200000002"
