Category,Value Column Name,Value
"Furniture","2014 Qtr 1 Quantity","299"
"Furniture","2014 Qtr 1 Sales","32153.6375"
"Furniture","2014 Qtr 2 Quantity","290"
"Furniture","2014 Qtr 2 Sales","23686.6486"
"Furniture","2014 Qtr 3 Quantity","384"
"Furniture","2014 Qtr 3 Sales","34442.6478"
"Furniture","2014 Qtr 4 Quantity","604"
"Furniture","2014 Qtr 4 Sales","63245.8232"
"Furniture","2015 Qtr 1 Quantity","264"
"Furniture","2015 Qtr 1 Sales","27945.7271"
"Furniture","2015 Qtr 2 Quantity","439"
"Furniture","2015 Qtr 2 Sales","39130.5344"
"Furniture","2015 Qtr 3 Quantity","502"
"Furniture","2015 Qtr 3 Sales","52342.3386"
"Furniture","2015 Qtr 4 Quantity","610"
"Furniture","2015 Qtr 4 Sales","54587.9929"
"Furniture","2016 Qtr 1 Quantity","384"
"Furniture","2016 Qtr 1 Sales","28313.6383"
"Furniture","2016 Qtr 2 Quantity","522"
"Furniture","2016 Qtr 2 Sales","48466.279"
"Furniture","2016 Qtr 3 Quantity","572"
"Furniture","2016 Qtr 3 Sales","50660.7331"
"Furniture","2016 Qtr 4 Quantity","699"
"Furniture","2016 Qtr 4 Sales","70323.2566"
"Furniture","2017 Qtr 1 Quantity","460"
"Furniture","2017 Qtr 1 Sales","43147.2514"
"Furniture","2017 Qtr 2 Quantity","638"
"Furniture","2017 Qtr 2 Sales","52088.9985"
"Furniture","2017 Qtr 3 Quantity","529"
"Furniture","2017 Qtr 3 Sales","46575.843"
"Furniture","2017 Qtr 4 Quantity","791"
"Furniture","2017 Qtr 4 Sales","72024.0385"
"Furniture","2018 Qtr 1 Quantity","33"
"Furniture","2018 Qtr 1 Sales","2763.2868"
"Furniture","2018 Qtr 2 Quantity","8"
"Furniture","2018 Qtr 2 Sales","101.12"
"Office Supplies","2014 Qtr 1 Quantity","770"
"Office Supplies","2014 Qtr 1 Sales","19377.922"
"Office Supplies","2014 Qtr 2 Quantity","920"
"Office Supplies","2014 Qtr 2 Sales","27180.635"
"Office Supplies","2014 Qtr 3 Quantity","1400"
"Office Supplies","2014 Qtr 3 Sales","55584.02"
"Office Supplies","2014 Qtr 4 Quantity","1366"
"Office Supplies","2014 Qtr 4 Sales","44113.644"
"Office Supplies","2015 Qtr 1 Quantity","821"
"Office Supplies","2015 Qtr 1 Sales","38130.84"
"Office Supplies","2015 Qtr 2 Quantity","963"
"Office Supplies","2015 Qtr 2 Sales","27141.889"
"Office Supplies","2015 Qtr 3 Quantity","1307"
"Office Supplies","2015 Qtr 3 Sales","32170.036"
"Office Supplies","2015 Qtr 4 Quantity","1668"
"Office Supplies","2015 Qtr 4 Sales","43442.737"
"Office Supplies","2016 Qtr 1 Quantity","989"
"Office Supplies","2016 Qtr 1 Sales","39519.188"
"Office Supplies","2016 Qtr 2 Quantity","1525"
"Office Supplies","2016 Qtr 2 Sales","40805.279"
"Office Supplies","2016 Qtr 3 Quantity","1603"
"Office Supplies","2016 Qtr 3 Sales","47906.204"
"Office Supplies","2016 Qtr 4 Quantity","1830"
"Office Supplies","2016 Qtr 4 Sales","56774.841"
"Office Supplies","2017 Qtr 1 Quantity","1374"
"Office Supplies","2017 Qtr 1 Sales","45326.864"
"Office Supplies","2017 Qtr 2 Quantity","1884"
"Office Supplies","2017 Qtr 2 Sales","52054.442"
"Office Supplies","2017 Qtr 3 Quantity","2072"
"Office Supplies","2017 Qtr 3 Sales","71381.573"
"Office Supplies","2017 Qtr 4 Quantity","2317"
"Office Supplies","2017 Qtr 4 Sales","76249.784"
"Office Supplies","2018 Qtr 1 Quantity","75"
"Office Supplies","2018 Qtr 1 Sales","1348.46"
"Office Supplies","2018 Qtr 2 Quantity","22"
"Office Supplies","2018 Qtr 2 Sales","538.674"
"Technology","2014 Qtr 1 Quantity","234"
"Technology","2014 Qtr 1 Sales","43825.128"
"Technology","2014 Qtr 2 Quantity","284"
"Technology","2014 Qtr 2 Sales","25048.179"
"Technology","2014 Qtr 3 Quantity","403"
"Technology","2014 Qtr 3 Sales","46015.488"
"Technology","2014 Qtr 4 Quantity","411"
"Technology","2014 Qtr 4 Sales","55709.42"
"Technology","2015 Qtr 1 Quantity","273"
"Technology","2015 Qtr 1 Sales","28159.504"
"Technology","2015 Qtr 2 Quantity","302"
"Technology","2015 Qtr 2 Sales","31614.838"
"Technology","2015 Qtr 3 Quantity","425"
"Technology","2015 Qtr 3 Sales","49210.294"
"Technology","2015 Qtr 4 Quantity","535"
"Technology","2015 Qtr 4 Sales","55565.771"
"Technology","2016 Qtr 1 Quantity","298"
"Technology","2016 Qtr 1 Sales","37188.483"
"Technology","2016 Qtr 2 Quantity","340"
"Technology","2016 Qtr 2 Sales","65878.58"
"Technology","2016 Qtr 3 Quantity","482"
"Technology","2016 Qtr 3 Sales","64393.477"
"Technology","2016 Qtr 4 Quantity","579"
"Technology","2016 Qtr 4 Sales","61095.794"
"Technology","2017 Qtr 1 Quantity","501"
"Technology","2017 Qtr 1 Sales","70303.061"
"Technology","2017 Qtr 2 Quantity","491"
"Technology","2017 Qtr 2 Sales","53585.067"
"Technology","2017 Qtr 3 Quantity","632"
"Technology","2017 Qtr 3 Sales","66624.697"
"Technology","2017 Qtr 4 Quantity","736"
"Technology","2017 Qtr 4 Sales","81528.096"
"Technology","2018 Qtr 1 Quantity","10"
"Technology","2018 Qtr 1 Sales","393.306"
"Technology","2018 Qtr 2 Quantity","3"
"Technology","2018 Qtr 2 Sales","14.85"
