Category,Sub-Category,Value Column Name,Value
"Furniture","Bookcases","2014 Qtr 1 Quantity","26"
"Furniture","Bookcases","2014 Qtr 1 Sales","2208.385"
"Furniture","Bookcases","2014 Qtr 2 Quantity","34"
"Furniture","Bookcases","2014 Qtr 2 Sales","3812.5616"
"Furniture","Bookcases","2014 Qtr 3 Quantity","32"
"Furniture","Bookcases","2014 Qtr 3 Sales","3809.1408"
"Furniture","Bookcases","2014 Qtr 4 Quantity","52"
"Furniture","Bookcases","2014 Qtr 4 Sales","8291.1422"
"Furniture","Bookcases","2015 Qtr 1 Quantity","26"
"Furniture","Bookcases","2015 Qtr 1 Sales","3204.1746"
"Furniture","Bookcases","2015 Qtr 2 Quantity","52"
"Furniture","Bookcases","2015 Qtr 2 Sales","6778.6269"
"Furniture","Bookcases","2015 Qtr 3 Quantity","97"
"Furniture","Bookcases","2015 Qtr 3 Sales","17512.1676"
"Furniture","Bookcases","2015 Qtr 4 Quantity","75"
"Furniture","Bookcases","2015 Qtr 4 Sales","12803.0714"
"Furniture","Bookcases","2016 Qtr 1 Quantity","44"
"Furniture","Bookcases","2016 Qtr 1 Sales","4564.9133"
"Furniture","Bookcases","2016 Qtr 2 Quantity","46"
"Furniture","Bookcases","2016 Qtr 2 Sales","5356.98"
"Furniture","Bookcases","2016 Qtr 3 Quantity","50"
"Furniture","Bookcases","2016 Qtr 3 Sales","5433.2176"
"Furniture","Bookcases","2016 Qtr 4 Quantity","58"
"Furniture","Bookcases","2016 Qtr 4 Sales","11081.3356"
"Furniture","Bookcases","2017 Qtr 1 Quantity","57"
"Furniture","Bookcases","2017 Qtr 1 Sales","5154.0244"
"Furniture","Bookcases","2017 Qtr 2 Quantity","91"
"Furniture","Bookcases","2017 Qtr 2 Sales","7700.5145"
"Furniture","Bookcases","2017 Qtr 3 Quantity","40"
"Furniture","Bookcases","2017 Qtr 3 Sales","5687.631"
"Furniture","Bookcases","2017 Qtr 4 Quantity","82"
"Furniture","Bookcases","2017 Qtr 4 Sales","11080.121"
"Furniture","Bookcases","2018 Qtr 1 Quantity","6"
"Furniture","Bookcases","2018 Qtr 1 Sales","401.9888"
"Furniture","Bookcases","2018 Qtr 2 Quantity",
"Furniture","Bookcases","2018 Qtr 2 Sales",
"Furniture","Chairs","2014 Qtr 1 Quantity","89"
"Furniture","Chairs","2014 Qtr 1 Sales","14657.089"
"Furniture","Chairs","2014 Qtr 2 Quantity","95"
"Furniture","Chairs","2014 Qtr 2 Sales","12438.542"
"Furniture","Chairs","2014 Qtr 3 Quantity","123"
"Furniture","Chairs","2014 Qtr 3 Sales","19005.093"
"Furniture","Chairs","2014 Qtr 4 Quantity","224"
"Furniture","Chairs","2014 Qtr 4 Sales","30304.692"
"Furniture","Chairs","2015 Qtr 1 Quantity","78"
"Furniture","Chairs","2015 Qtr 1 Sales","10980.162"
"Furniture","Chairs","2015 Qtr 2 Quantity","136"
"Furniture","Chairs","2015 Qtr 2 Sales","19197.143"
"Furniture","Chairs","2015 Qtr 3 Quantity","158"
"Furniture","Chairs","2015 Qtr 3 Sales","21768.283"
"Furniture","Chairs","2015 Qtr 4 Quantity","165"
"Furniture","Chairs","2015 Qtr 4 Sales","20625.101"
"Furniture","Chairs","2016 Qtr 1 Quantity","106"
"Furniture","Chairs","2016 Qtr 1 Sales","12303.99"
"Furniture","Chairs","2016 Qtr 2 Quantity","146"
"Furniture","Chairs","2016 Qtr 2 Sales","22780.808"
"Furniture","Chairs","2016 Qtr 3 Quantity","159"
"Furniture","Chairs","2016 Qtr 3 Sales","21764.891"
"Furniture","Chairs","2016 Qtr 4 Quantity","192"
"Furniture","Chairs","2016 Qtr 4 Sales","25882.812"
"Furniture","Chairs","2017 Qtr 1 Quantity","134"
"Furniture","Chairs","2017 Qtr 1 Sales","20716.622"
"Furniture","Chairs","2017 Qtr 2 Quantity","168"
"Furniture","Chairs","2017 Qtr 2 Sales","23061.301"
"Furniture","Chairs","2017 Qtr 3 Quantity","159"
"Furniture","Chairs","2017 Qtr 3 Sales","22541.026"
"Furniture","Chairs","2017 Qtr 4 Quantity","206"
"Furniture","Chairs","2017 Qtr 4 Sales","28147.038"
"Furniture","Chairs","2018 Qtr 1 Quantity","18"
"Furniture","Chairs","2018 Qtr 1 Sales","2274.51"
"Furniture","Chairs","2018 Qtr 2 Quantity",
"Furniture","Chairs","2018 Qtr 2 Sales",
"Furniture","Furnishings","2014 Qtr 1 Quantity","128"
"Furniture","Furnishings","2014 Qtr 1 Sales","3134.908"
"Furniture","Furnishings","2014 Qtr 2 Quantity","120"
"Furniture","Furnishings","2014 Qtr 2 Sales","2194.532"
"Furniture","Furnishings","2014 Qtr 3 Quantity","166"
"Furniture","Furnishings","2014 Qtr 3 Sales","3661.274"
"Furniture","Furnishings","2014 Qtr 4 Quantity","221"
"Furniture","Furnishings","2014 Qtr 4 Sales","4446.796"
"Furniture","Furnishings","2015 Qtr 1 Quantity","117"
"Furniture","Furnishings","2015 Qtr 1 Sales","3245.398"
"Furniture","Furnishings","2015 Qtr 2 Quantity","208"
"Furniture","Furnishings","2015 Qtr 2 Sales","6005.89"
