Account Level 2,Year,Value Column Name,Value
"Software revenue","Jan_Mar","PY","477"
"Software revenue","Jan_Mar","PL","467"
"Software revenue","Jan_Mar","FC","350"
"Software revenue","Jan_Mar","AC","453"
"Software revenue","Jan_Mar","AC - PY","-24"
"Software revenue","Jan_Mar","(AC - PY)%","-0.05031446540880504"
"Software revenue","Jan_Mar","AC - PL","-14"
"Software revenue","Jan_Mar","(AC - PL)%","-0.029978586723768737"
"Software revenue","Jan_Mar","AC - FC","103"
"Software revenue","Jan_Mar","(AC - FC)%","0.29428571428571426"
"Software revenue","Jan_Mar","PL - PY","-10"
"Software revenue","Jan_Mar","(PL - PY)%","-0.020964360587002098"
"Software revenue","Jan_Mar","FC - PY","-127"
"Software revenue","Jan_Mar","(FC - PY)%","-0.2662473794549266"
"Software revenue","Jan_Mar","FC - PL","-117"
"Software revenue","Jan_Mar","(FC - PL)%","-0.2505353319057816"
"Software revenue","2022","PY","555"
"Software revenue","2022","PL","543"
"Software revenue","2022","FC","200"
"Software revenue","2022","AC","265"
"Software revenue","2022","AC - PY","-290"
"Software revenue","2022","(AC - PY)%","-0.5225225225225225"
"Software revenue","2022","AC - PL","-278"
"Software revenue","2022","(AC - PL)%","-0.5119705340699816"
"Software revenue","2022","AC - FC","65"
"Software revenue","2022","(AC - FC)%","0.325"
"Software revenue","2022","PL - PY","-12"
"Software revenue","2022","(PL - PY)%","-0.021621621621621623"
"Software revenue","2022","FC - PY","-355"
"Software revenue","2022","(FC - PY)%","-0.6396396396396397"
"Software revenue","2022","FC - PL","-343"
"Software revenue","2022","(FC - PL)%","-0.6316758747697975"
"% contribution of revenue","Jan_Mar","PY","46.245799999999996"
"% contribution of revenue","Jan_Mar","PL","38.164300000000004"
"% contribution of revenue","Jan_Mar","FC","33.1081"
"% contribution of revenue","Jan_Mar","AC","33.0335"
"% contribution of revenue","Jan_Mar","AC - PY","-13.212299999999999"
"% contribution of revenue","Jan_Mar","(AC - PY)%","-0.28569729575442526"
"% contribution of revenue","Jan_Mar","AC - PL","-5.130800000000008"
"% contribution of revenue","Jan_Mar","(AC - PL)%","-0.13443977748838593"
"% contribution of revenue","Jan_Mar","AC - FC","-0.07460000000000377"
"% contribution of revenue","Jan_Mar","(AC - FC)%","-0.0022532250416062464"
"% contribution of revenue","Jan_Mar","PL - PY","-8.081499999999991"
"% contribution of revenue","Jan_Mar","(PL - PY)%","-0.17475100441553595"
"% contribution of revenue","Jan_Mar","FC - PY","-13.137699999999995"
"% contribution of revenue","Jan_Mar","(FC - PY)%","-0.28408417629276594"
"% contribution of revenue","Jan_Mar","FC - PL","-5.056200000000004"
"% contribution of revenue","Jan_Mar","(FC - PL)%","-0.13248507112668131"
"% contribution of revenue","2022","PY","29.055999999999997"
"% contribution of revenue","2022","PL","27.8341"
"% contribution of revenue","2022","FC","34.9657"
"% contribution of revenue","2022","AC","32.067800000000005"
"% contribution of revenue","2022","AC - PY","3.011800000000008"
"% contribution of revenue","2022","(AC - PY)%","0.10365501101321614"
"% contribution of revenue","2022","AC - PL","4.233700000000006"
"% contribution of revenue","2022","(AC - PL)%","0.15210479232308594"
"% contribution of revenue","2022","AC - FC","-2.897899999999993"
"% contribution of revenue","2022","(AC - FC)%","-0.08287836365352311"
"% contribution of revenue","2022","PL - PY","-1.221899999999998"
"% contribution of revenue","2022","(PL - PY)%","-0.042053276431717995"
"% contribution of revenue","2022","FC - PY","5.909700000000001"
"% contribution of revenue","2022","(FC - PY)%","0.203390005506608"
"% contribution of revenue","2022","FC - PL","7.131599999999999"
"% contribution of revenue","2022","(FC - PL)%","0.25621809219626285"
"Revenue","Jan_Mar","PY","696"
"Revenue","Jan_Mar","PL","711"
"Revenue","Jan_Mar","FC","490"
"Revenue","Jan_Mar","AC","661"
"Revenue","Jan_Mar","AC - PY","-35"
"Revenue","Jan_Mar","(AC - PY)%","-0.05028735632183908"
"Revenue","Jan_Mar","AC - PL","-50"
"Revenue","Jan_Mar","(AC - PL)%","-0.07032348804500703"
"Revenue","Jan_Mar","AC - FC","171"
"Revenue","Jan_Mar","(AC - FC)%","0.3489795918367347"
"Revenue","Jan_Mar","PL - PY","15"
