Account Level 2,Value Column Name,Value
"Consulting revenue","Sum of PY","121"
"Consulting revenue","Sum of AC","128"
"Consulting revenue","Sum of AC - Sum of PY","7"
"Consulting revenue","(Sum of AC - Sum of PY)%","0.05785123966942149"
"Revenue","Sum of PY","473"
"Revenue","Sum of AC","496"
"Revenue","Sum of AC - Sum of PY","23"
"Revenue","(Sum of AC - Sum of PY)%","0.048625792811839326"
"Cost of sales","Sum of PY","-122"
"Cost of sales","Sum of AC","-128"
"Cost of sales","Sum of AC - Sum of PY","-6"
"Cost of sales","(Sum of AC - Sum of PY)%","-0.04918032786885246"
"Income from continuing operations","Sum of PY","209"
"Income from continuing operations","Sum of AC","195"
"Income from continuing operations","Sum of AC - Sum of PY","-14"
"Income from continuing operations","(Sum of AC - Sum of PY)%","-0.06698564593301436"
"Net income","Sum of PY","215"
"Net income","Sum of AC","220"
"Net income","Sum of AC - Sum of PY","5"
"Net income","(Sum of AC - Sum of PY)%","0.023255813953488372"
"Income from discontinued operations","Sum of PY","6"
"Income from discontinued operations","Sum of AC","25"
"Income from discontinued operations","Sum of AC - Sum of PY","19"
"Income from discontinued operations","(Sum of AC - Sum of PY)%","3.166666666666666"
"Income from continuing operations before tax","Sum of PY","232"
"Income from continuing operations before tax","Sum of AC","222"
"Income from continuing operations before tax","Sum of AC - Sum of PY","-10"
"Income from continuing operations before tax","(Sum of AC - Sum of PY)%","-0.04310344827586207"
"Income tax expenses","Sum of PY","-23"
"Income tax expenses","Sum of AC","-27"
"Income tax expenses","Sum of AC - Sum of PY","-4"
"Income tax expenses","(Sum of AC - Sum of PY)%","-0.17391304347826086"
"Other financial income,net","Sum of PY","34"
"Other financial income,net","Sum of AC","30"
"Other financial income,net","Sum of AC - Sum of PY","-4"
"Other financial income,net","(Sum of AC - Sum of PY)%","-0.1176470588235294"
"Other operating expenses","Sum of PY","-11"
"Other operating expenses","Sum of AC","-10"
"Other operating expenses","Sum of AC - Sum of PY","1"
"Other operating expenses","(Sum of AC - Sum of PY)%","0.09090909090909091"
"Other operating income","Sum of PY","33"
"Other operating income","Sum of AC","27"
"Other operating income","Sum of AC - Sum of PY","-6"
"Other operating income","(Sum of AC - Sum of PY)%","-0.18181818181818182"
"Gross Profit","Sum of PY","351"
"Gross Profit","Sum of AC","368"
"Gross Profit","Sum of AC - Sum of PY","17"
"Gross Profit","(Sum of AC - Sum of PY)%","0.04843304843304843"
"Research and development expenses","Sum of PY","-78"
"Research and development expenses","Sum of AC","-91"
"Research and development expenses","Sum of AC - Sum of PY","-13"
"Research and development expenses","(Sum of AC - Sum of PY)%","-0.16666666666666663"
"Selling and general administrative expenses","Sum of PY","-97"
"Selling and general administrative expenses","Sum of AC","-102"
"Selling and general administrative expenses","Sum of AC - Sum of PY","-5"
"Selling and general administrative expenses","(Sum of AC - Sum of PY)%","-0.05154639175257732"
"Software revenue","Sum of PY","265"
"Software revenue","Sum of AC","278"
"Software revenue","Sum of AC - Sum of PY","13"
"Software revenue","(Sum of AC - Sum of PY)%","0.049056603773584916"
"Support revenue","Sum of PY","87"
"Support revenue","Sum of AC","90"
"Support revenue","Sum of AC - Sum of PY","3"
"Support revenue","(Sum of AC - Sum of PY)%","0.034482758620689655"
