Category,Sub-Category,Value Column Name,Value
"Furniture","Bookcases","2014 Profit","-621.5075"
"Furniture","Bookcases","2014 Sales","18121.2296"
"Furniture","Bookcases","2015 Profit","-2500.8208"
"Furniture","Bookcases","2015 Sales","40298.0405"
"Furniture","Bookcases","2016 Profit","233.3984"
"Furniture","Bookcases","2016 Sales","26436.4465"
"Furniture","Bookcases","2017 Profit","-584.1477"
"Furniture","Bookcases","2017 Sales","29622.2909"
"Furniture","Bookcases","2018 Profit","0.5216"
"Furniture","Bookcases","2018 Sales","401.9888"
"Furniture","Chairs","2014 Profit","6780.549"
"Furniture","Chairs","2014 Sales","76405.416"
"Furniture","Chairs","2015 Profit","6402.9141"
"Furniture","Chairs","2015 Sales","72570.689"
"Furniture","Chairs","2016 Profit","5673.0479"
"Furniture","Chairs","2016 Sales","82732.501"
"Furniture","Chairs","2017 Profit","7302.2233"
"Furniture","Chairs","2017 Sales","94465.987"
"Furniture","Chairs","2018 Profit","431.432"
"Furniture","Chairs","2018 Sales","2274.51"
"Furniture","Furnishings","2014 Profit","1991.0093"
"Furniture","Furnishings","2014 Sales","13437.51"
"Furniture","Furnishings","2015 Profit","3045.1405"
"Furniture","Furnishings","2015 Sales","21463.676"
"Furniture","Furnishings","2016 Profit","3893.2934"
"Furniture","Furnishings","2016 Sales","27797.204"
"Furniture","Furnishings","2017 Profit","4072.5104"
"Furniture","Furnishings","2017 Sales","28818.866"
"Furniture","Furnishings","2018 Profit","57.19"
"Furniture","Furnishings","2018 Sales","187.908"
"Furniture","Tables","2014 Profit","-2931.9959"
"Furniture","Tables","2014 Sales","45564.6015"
"Furniture","Tables","2015 Profit","-3701.8487"
"Furniture","Tables","2015 Sales","39674.1875"
"Furniture","Tables","2016 Profit","-2926.8392"
"Furniture","Tables","2016 Sales","60797.7555"
"Furniture","Tables","2017 Profit","-8164.7973"
"Furniture","Tables","2017 Sales","60928.9875"
"Furniture","Tables","2018 Profit",
"Furniture","Tables","2018 Sales",
"Office Supplies","Appliances","2014 Profit","1924.9827"
"Office Supplies","Appliances","2014 Sales","13453.505"
"Office Supplies","Appliances","2015 Profit","3046.4129"
"Office Supplies","Appliances","2015 Sales","25101.409"
"Office Supplies","Appliances","2016 Profit","5267.4655"
"Office Supplies","Appliances","2016 Sales","25923.145"
"Office Supplies","Appliances","2017 Profit","7842.6333"
"Office Supplies","Appliances","2017 Sales","42844.802"
"Office Supplies","Appliances","2018 Profit","56.511"
"Office Supplies","Appliances","2018 Sales","209.3"
"Office Supplies","Art","2014 Profit","1392.3743"
"Office Supplies","Art","2014 Sales","6018.462"
"Office Supplies","Art","2015 Profit","1498.5358"
"Office Supplies","Art","2015 Sales","6273.074"
"Office Supplies","Art","2016 Profit","1408.0526"
"Office Supplies","Art","2016 Sales","5896.412"
"Office Supplies","Art","2017 Profit","2212.8305"
"Office Supplies","Art","2017 Sales","8834.872"
"Office Supplies","Art","2018 Profit","15.9938"
"Office Supplies","Art","2018 Sales","95.972"
"Office Supplies","Binders","2014 Profit","5185.8468"
"Office Supplies","Binders","2014 Sales","42884.194"
"Office Supplies","Binders","2015 Profit","6673.135"
"Office Supplies","Binders","2015 Sales","36852.649"
"Office Supplies","Binders","2016 Profit","10662.038"
"Office Supplies","Binders","2016 Sales","50630.649"
