Category,Value Column Name,Value
"Furniture","2014 Sales","153528.7571"
"Furniture","2015 Sales","174006.593"
"Furniture","2016 Sales","197763.907"
"Furniture","2017 Sales","213836.1314"
"Furniture","2018 Sales","2864.4068"
"Office Supplies","2014 Sales","146256.221"
"Office Supplies","2015 Sales","140885.502"
"Office Supplies","2016 Sales","185005.512"
"Office Supplies","2017 Sales","245012.663"
"Office Supplies","2018 Sales","1887.134"
"Technology","2014 Sales","170598.215"
"Technology","2015 Sales","164550.407"
"Technology","2016 Sales","228556.334"
"Technology","2017 Sales","272040.921"
"Technology","2018 Sales","408.156"
