One Lakh Report.column.Variation.Date Hierarchy.Month,One Lakh Report.column.Variation.Date Hierarchy.Quarter,One Lakh Report.column.Variation.Date Hierarchy.Year,One Lakh Report.Continent,One Lakh Report.Country,One Lakh Report.States,One Lakh Report.Districts,One Lakh Report.Villages,Sum(One Lakh Report.Series 2),Sum(One Lakh Report.Series 3),Sum(One Lakh Report.Series 4),Sum(One Lakh Report.Series 5),Sum(One Lakh Report.Series 1)
January,Qtr 1,2021,Continent.0000,Country.0000,States.0000,Districts.0000,Villages.0000,616602.0903430001,526212.460453,460379.93678399996,596204.675146,488458.22350180004
January,Qtr 1,2022,Continent.0000,Country.0000,States.0000,Districts.0000,Villages.0000,866321.582783,572459.111901,625356.9077300001,605780.1956421,590620.535544
January,Qtr 1,2023,Continent.0000,Country.0000,States.0000,Districts.0000,Villages.0000,550943.195803,634513.20498,614460.1364639999,744514.3096269999,496059.900759
January,Qtr 1,2021,Continent.0000,Country.0000,States.0000,Districts.0000,Villages.0001,604241.4247590001,658937.1550699999,599841.362819,694125.1154897999,496039.425056
January,Qtr 1,2022,Continent.0000,Country.0000,States.0000,Districts.0000,Villages.0001,587861.20059,756631.4020599999,503222.625683,660275.21652,608554.98337
January,Qtr 1,2023,Continent.0000,Country.0000,States.0000,Districts.0000,Villages.0001,806665.88905,572066.3838976,706157.7671909999,560821.6056880001,468261.85131
January,Qtr 1,2021,Continent.0000,Country.0000,States.0000,Districts.0001,Villages.0000,824997.7449700001,552901.5883340001,715543.0039599999,453191.21963,614105.2124590001
January,Qtr 1,2022,Continent.0000,Country.0000,States.0000,Districts.0001,Villages.0000,582759.7664399999,754275.97789,625826.6843800001,588534.3815039999,668266.257214
January,Qtr 1,2023,Continent.0000,Country.0000,States.0000,Districts.0001,Villages.0000,738487.4805570001,683214.1969839999,621940.1914834,776575.415581,608282.9325459999
January,Qtr 1,2021,Continent.0000,Country.0000,States.0000,Districts.0001,Villages.0001,587684.3908340001,487742.96414700017,614044.8919020001,506629.47657999996,689819.0473399998
January,Qtr 1,2022,Continent.0000,Country.0000,States.0000,Districts.0001,Villages.0001,662358.359834,528373.6178659999,574711.6778479,338405.422943,678734.0995499998
January,Qtr 1,2023,Continent.0000,Country.0000,States.0000,Districts.0001,Villages.0001,580303.6322768,668326.444316,633789.9923640001,590450.251787,766491.2358949999
January,Qtr 1,2021,Continent.0000,Country.0000,States.0000,Districts.0002,Villages.0000,628032.3319388999,552782.127902,845705.5792100001,612056.114736,515124.3814594
