OnepointFive.Column.Variation.Date Hierarchy.Quarter,OnepointFive.Column.Variation.Date Hierarchy.Month,OnepointFive.Column.Variation.Date Hierarchy.Year,OnepointFive.Discount,OnepointFive.Performance,OnepointFive.Profit,OnepointFive.Sales,OnepointFive.Quantity,Sum(OnepointFive.Series 1),Sum(OnepointFive.Series 2),Sum(OnepointFive.Series 3),Sum(OnepointFive.Series 4),Sum(OnepointFive.Series 5)
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0000,Sales.0000,Quantity.0000,621478.4745570001,627920.595766,659046.674532,554156.510314,610341.994875
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0000,Sales.0000,Quantity.0000,499956.940271,665137.77568,448536.411636,650202.20574,579814.7182799999
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0000,Sales.0000,Quantity.0000,675825.7128379999,353238.600583,432380.2292419999,429511.7476420001,475018.2689330001
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0000,Sales.0000,Quantity.0000,522889.144476,503457.35928000003,625987.7241100001,488739.07028399996,547462.7032095
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0000,Sales.0000,Quantity.0000,536060.9526481,550235.76634,589803.9282000001,653580.34204,694346.6706409999
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0000,Sales.0000,Quantity.0001,449884.4038249999,735877.5775469999,404399.99990200007,608338.3746689999,530367.2402379999
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0000,Sales.0000,Quantity.0001,602351.3635610001,619928.93667,690788.8299538001,606114.12836,725834.5230300002
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0000,Sales.0000,Quantity.0001,717873.6103899999,778232.434141,814635.8341199999,568195.3720120001,798283.88055
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0000,Sales.0000,Quantity.0001,845278.12861,685977.655275,708677.825746,662645.6605979999,573604.147483
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0000,Sales.0000,Quantity.0001,469927.06608599995,631220.6204152,553275.6313760001,579227.501069,768015.99915
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0000,Sales.0001,Quantity.0000,549269.940766,561319.097758,617066.557911,585873.563726,669533.9874
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0000,Sales.0001,Quantity.0000,492286.12634699995,533757.176508,377419.745672,548239.6411995001,687082.6619419999
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0000,Sales.0001,Quantity.0000,670469.4062999999,699138.1896,611671.4080370001,606163.821827,651979.1144300001
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0000,Sales.0001,Quantity.0000,717463.78005,502500.8664810001,658797.8206449999,640988.1324399998,500099.232517
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0000,Sales.0001,Quantity.0000,659131.29136,715490.2217600001,659165.0380198001,442511.41110400006,671619.2278419998
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0000,Sales.0001,Quantity.0001,621552.1424690001,596643.0310839999,558386.320129,560878.2969010001,521639.70713600004
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0000,Sales.0001,Quantity.0001,464893.167526,502555.9495818999,598677.325981,484118.28734700003,495918.3575600001
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0000,Sales.0001,Quantity.0001,633404.350514,465291.570409,649627.496008,795281.92518,577969.666539
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0000,Sales.0001,Quantity.0001,491483.35695199994,716757.9292999998,524294.255239,541815.744523,534008.80837
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0000,Sales.0001,Quantity.0001,655110.211802,715035.5924239999,542795.9160819999,600237.644279,666995.6257799999
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0000,Sales.0002,Quantity.0000,419799.36556099996,733776.8669019999,707703.3498999999,432100.215121,622165.8121799999
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0000,Sales.0002,Quantity.0000,660998.2302149999,651346.04024,572280.291064,751202.33422,736001.14813
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0000,Sales.0002,Quantity.0000,804101.0618700001,752872.558579,633954.449548,528928.512722,431871.682762
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0000,Sales.0002,Quantity.0000,474017.046597,616437.9348869999,656105.035267,743988.02876,650855.0342804
Qtr 1,January,2025,Discount.0000,Performance.0000,Profit.0000,Sales.0002,Quantity.0000,581756.363417,517003.547376,607166.799352,570223.3391900001,619034.050427
Qtr 1,January,2021,Discount.0000,Performance.0000,Profit.0000,Sales.0002,Quantity.0001,631653.6131329999,605611.954137,436062.368326,580304.3925826999,511044.6601197001
Qtr 1,January,2022,Discount.0000,Performance.0000,Profit.0000,Sales.0002,Quantity.0001,688706.7851699999,714076.587672,708538.6735299999,640131.589759,651055.9252700001
Qtr 1,January,2023,Discount.0000,Performance.0000,Profit.0000,Sales.0002,Quantity.0001,649074.453933,379037.406885,591676.11165,660189.052648,784580.9673749999
Qtr 1,January,2024,Discount.0000,Performance.0000,Profit.0000,Sales.0002,Quantity.0001,443913.17762000003,606320.7666930001,654880.068266,539207.8465229999,590907.5407500002
