Superstore - Orders.Ship Date.Variation.Date Hierarchy.Year,Superstore - Orders.Category,Superstore - Orders.Region,Sum(Superstore - Orders.Quantity),Sum(Superstore - Orders.Sales),Sum(Superstore - Orders.Discount),Sum(Superstore - Orders.Profit),Min(Superstore - Orders.Sub-Category)
2014,Furniture,Central,353,32861.9516,30.46000000000004,-1049.7505,Bookcases
2015,Furniture,Central,411,35464.019,28.540000000000024,-295.9993,Bookcases
2016,Furniture,Central,551,50123.912,40.82000000000002,-328.3652,Bookcases
2017,Furniture,Central,503,45144.1284,41.40000000000001,-1178.3028,Bookcases
2018,Furniture,Central,9,203.1528,1.82,-18.6316,Bookcases
2014,Furniture,East,424,43942.095,19.1,-739.5669,Bookcases
2015,Furniture,East,501,57108.076,20.400000000000013,192.4956,Bookcases
2016,Furniture,East,584,45982.326,24.00000000000003,1381.0127,Bookcases
2017,Furniture,East,701,60935.571,28.900000000000027,2200.1068,Bookcases
2018,Furniture,East,4,323.136,0.2,12.1176,Bookcases
2014,Furniture,South,273,26968.0025,6.450000000000003,4000.5794,Bookcases
2015,Furniture,South,292,24103.8145,8.950000000000003,208.6064,Bookcases
2016,Furniture,South,349,27921.4415,9.150000000000004,3146.4163,Bookcases
2017,Furniture,South,365,36537.8555,15.799999999999992,-1063.3436,Bookcases
2018,Furniture,South,12,1767.57,0,478.9476,Chairs
2014,Furniture,West,527,49756.708,18.44999999999998,3006.7929,Bookcases
2015,Furniture,West,611,57330.6835,19.99999999999998,3140.2824,Bookcases
2016,Furniture,West,693,73736.2275,25.049999999999947,2673.8367,Bookcases
2017,Furniture,West,849,71218.5765,29.199999999999935,2667.3283,Bookcases
2018,Furniture,West,16,570.548,0.2,16.71,Chairs
2014,Office Supplies,Central,1071,36872.773,78.29999999999993,581.9845,Appliances
2015,Office Supplies,Central,1034,25250.081,72.29999999999995,1793.4829,Appliances
2016,Office Supplies,Central,1351,46010.085,80.6999999999999,6395.4432,Appliances
2017,Office Supplies,Central,1902,58196.304,124.09999999999987,34.7199,Appliances
2018,Office Supplies,Central,51,697.172,4,74.3494,Appliances
2014,Office Supplies,East,1193,32687.891,47.69999999999998,5925.0764,Appliances
2015,Office Supplies,East,1488,45907.783,50.39999999999999,11830.3947,Appliances
2016,Office Supplies,East,1782,61610.63,64.19999999999999,11532.7127,Appliances
2017,Office Supplies,East,1978,65137.301,81.99999999999997,11654.1801,Appliances
2018,Office Supplies,East,21,172.45,0.4,72.2152,Binders
2014,Office Supplies,South,795,25895.83,29.79999999999997,5268.3979,Appliances
2015,Office Supplies,South,791,30719.863,39.1,3334.6388,Appliances
2016,Office Supplies,South,999,29076.282,42.40000000000001,5594.5696,Appliances
2017,Office Supplies,South,1212,39847.444,55.099999999999994,5785.826,Appliances
2018,Office Supplies,South,3,111.894,0.2,2.9605,Art
2014,Office Supplies,West,1397,50799.727,31.79999999999998,10192.461,Appliances
2015,Office Supplies,West,1446,39007.775,37.800000000000004,8130.3523,Appliances
2016,Office Supplies,West,1815,48308.515,48.10000000000006,12078.0563,Appliances
2017,Office Supplies,West,2555,81831.614,58.800000000000054,21942.2743,Appliances
2018,Office Supplies,West,22,905.618,0.6000000000000001,266.7051,Binders
2014,Technology,Central,258,33165.136,11.700000000000005,896.188,Accessories
2015,Technology,Central,379,42508.478,14.299999999999999,10274.104,Accessories
2016,Technology,Central,467,50937.385,13.600000000000003,13780.4927,Accessories
2017,Technology,Central,440,43805.313,16.299999999999997,8746.6473,Accessories
2018,Technology,Central,,,,,
2014,Technology,East,282,43362.257,13.100000000000007,10095.8832,Accessories
2015,Technology,East,473,61975.852,17.8,10835.8419,Accessories
2016,Technology,East,458,72497.442,20.09999999999999,7229.3933,Accessories
2017,Technology,East,719,87032.65,25.699999999999978,19294.1793,Accessories
2018,Technology,East,10,105.78,0,6.7374,Phones
2014,Technology,South,258,50420.963,5.600000000000001,2422.9657,Accessories
2015,Technology,South,247,16500.871,5.500000000000002,4684.1456,Accessories
2016,Technology,South,270,37022.154,9.100000000000005,9231.8313,Accessories
2017,Technology,South,343,44827.92,11.399999999999999,3652.8888,Accessories
2018,Technology,South,,,,,
2014,Technology,West,534,43649.859,16.099999999999987,6691.7139,Accessories
2015,Technology,West,436,43565.206,15.899999999999988,8753.1846,Accessories
2016,Technology,West,504,68099.353,18.999999999999986,10225.7021,Accessories
2017,Technology,West,858,96375.038,28.999999999999947,18610.3708,Accessories
2018,Technology,West,3,302.376,0.2,22.6782,Phones
