Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Category,Orders.Sub-Category,Orders.Region,Sum(Orders.Profit),Sum(Orders.Sales)
Qtr 1,Furniture,Bookcases,Central,-77.21960000000033,7315.7028
Qtr 2,Furniture,Bookcases,Central,-226.17200000000003,1864.4016
Qtr 3,Furniture,Bookcases,Central,-1065.5753999999997,8543.7692
Qtr 4,Furniture,Bookcases,Central,-628.9373000000002,6433.303199999999
Qtr 1,Furniture,Bookcases,East,-705.1096000000002,2993.2609999999995
Qtr 2,Furniture,Bookcases,East,-768.8643000000002,3815.8950000000004
Qtr 3,Furniture,Bookcases,East,-1525.5414000000005,15179.083999999999
Qtr 4,Furniture,Bookcases,East,1831.8834999999992,21831.093999999997
Qtr 1,Furniture,Bookcases,South,70.11659999999998,1283.0059999999999
Qtr 2,Furniture,Bookcases,South,923.5823999999999,5537.796
Qtr 3,Furniture,Bookcases,South,394.0634,2041.7360000000003
Qtr 4,Furniture,Bookcases,South,-48.270600000000016,2036.8240000000003
Qtr 1,Furniture,Bookcases,West,-270.64199999999994,2761.928
Qtr 2,Furniture,Bookcases,West,102.9033999999998,8939.599
Qtr 3,Furniture,Bookcases,West,694.2907999999996,11818.469499999996
Qtr 4,Furniture,Bookcases,West,-2173.0639,12484.126999999999
Qtr 1,Furniture,Chairs,Central,650.1833999999996,11577.096
Qtr 2,Furniture,Chairs,Central,2391.368999999999,24319.143000000007
Qtr 3,Furniture,Chairs,Central,531.8150999999998,18851.362000000005
Qtr 4,Furniture,Chairs,Central,3019.3546000000006,30483.045000000006
Qtr 1,Furniture,Chairs,East,552.0955999999998,6489.792000000001
Qtr 2,Furniture,Chairs,East,1439.9604999999995,15517.371
Qtr 3,Furniture,Chairs,East,3500.4154999999996,35064.763
Qtr 4,Furniture,Chairs,East,3865.298999999999,39188.75700000002
Qtr 1,Furniture,Chairs,South,1712.4280999999994,9871.988
Qtr 2,Furniture,Chairs,South,285.77079999999967,10246.523999999998
Qtr 3,Furniture,Chairs,South,2067.336299999999,9839.496
Qtr 4,Furniture,Chairs,South,2546.5541,15218.438000000002
Qtr 1,Furniture,Chairs,West,502.9486999999995,12273.560000000001
Qtr 2,Furniture,Chairs,West,795.4773999999994,15860.744
Qtr 3,Furniture,Chairs,West,1239.8039999999987,29177.75199999998
Qtr 4,Furniture,Chairs,West,1489.3541999999984,44469.27199999997
Qtr 1,Furniture,Furnishings,Central,-819.9192,2366.162
Qtr 2,Furniture,Furnishings,Central,-554.9281000000001,3455.014
Qtr 3,Furniture,Furnishings,Central,-367.62520000000023,5268.389999999998
Qtr 4,Furniture,Furnishings,Central,-2163.7443,4164.803999999999
Qtr 1,Furniture,Furnishings,East,771.9949999999999,3005.614
Qtr 2,Furniture,Furnishings,East,919.0562000000003,5232.674000000001
Qtr 3,Furniture,Furnishings,East,1492.7006000000003,7046.245999999999
Qtr 4,Furniture,Furnishings,East,2697.6553,13786.846000000005
Qtr 1,Furniture,Furnishings,South,432.2597,2072.684
Qtr 2,Furniture,Furnishings,South,845.4319999999999,4711.9980000000005
Qtr 3,Furniture,Furnishings,South,499.05009999999993,2438.212
Qtr 4,Furniture,Furnishings,South,1665.9410999999998,8083.790000000002
Qtr 1,Furniture,Furnishings,West,1155.9898,4009.882
Qtr 2,Furniture,Furnishings,West,1496.6542000000004,6955.577999999999
Qtr 3,Furniture,Furnishings,West,2312.7302999999993,8694.708000000004
Qtr 4,Furniture,Furnishings,West,2675.896099999999,10412.561999999996
Qtr 1,Furniture,Tables,Central,-1010.5704000000002,9519.604
Qtr 2,Furniture,Tables,Central,-1500.0136000000002,5475.67
Qtr 3,Furniture,Tables,Central,-1168.9767000000002,6432.915999999999
Qtr 4,Furniture,Tables,Central,119.9102999999995,17726.780999999995
Qtr 1,Furniture,Tables,East,-2280.0303999999996,7845.123999999999
Qtr 2,Furniture,Tables,East,-1649.7104,6157.665999999999
Qtr 3,Furniture,Tables,East,-2529.5720000000006,9251.846
Qtr 4,Furniture,Tables,East,-4566.0673000000015,15885.171
Qtr 1,Furniture,Tables,South,-1823.4602000000004,6035.8460000000005
Qtr 2,Furniture,Tables,South,128.6175999999997,8698.192000000001
Qtr 3,Furniture,Tables,South,739.7230999999999,8997.726999999999
Qtr 4,Furniture,Tables,South,-3667.9384,20184.427
Qtr 1,Furniture,Tables,West,660.2885999999997,8682.188
Qtr 2,Furniture,Tables,West,115.87379999999928,15274.912
Qtr 3,Furniture,Tables,West,62.142499999999416,21995.171000000002
Qtr 4,Furniture,Tables,West,644.3024000000007,38802.29099999999
Qtr 1,Office Supplies,Appliances,Central,-1211.0787,1820.634
Qtr 2,Office Supplies,Appliances,Central,-523.6309000000011,9613.714000000002
Qtr 3,Office Supplies,Appliances,Central,-1063.4756000000002,3563.6790000000005
Qtr 4,Office Supplies,Appliances,Central,35.70969999999977,8652.816
Qtr 1,Office Supplies,Appliances,East,955.7744999999998,4115.686
