Orders.State,Orders.Category,Orders.Sub-Category,Orders.Segment,Orders.Order Date.Variation.Date Hierarchy.Quarter,Sum(Orders.Profit),Sum(Orders.Discount),Sum(Orders.Quantity),Sum(Orders.Sales)
Arizona,Furniture,Bookcases,Consumer,Qtr 1,-320.597,0.7,5,181.47000000000003
California,Furniture,Bookcases,Consumer,Qtr 1,-4.749000000000002,0.44999999999999996,7,830.3309999999999
Colorado,Furniture,Bookcases,Consumer,Qtr 1,-98.80179999999999,0.7,1,72.29400000000001
Florida,Furniture,Bookcases,Consumer,Qtr 1,,,,
Georgia,Furniture,Bookcases,Consumer,Qtr 1,,,,
Illinois,Furniture,Bookcases,Consumer,Qtr 1,,,,
Indiana,Furniture,Bookcases,Consumer,Qtr 1,,,,
Kentucky,Furniture,Bookcases,Consumer,Qtr 1,,,,
Michigan,Furniture,Bookcases,Consumer,Qtr 1,,,,
New Jersey,Furniture,Bookcases,Consumer,Qtr 1,,,,
New York,Furniture,Bookcases,Consumer,Qtr 1,-20.976400000000048,0.6000000000000001,4,675.136
North Carolina,Furniture,Bookcases,Consumer,Qtr 1,-61.87239999999997,0.4,9,683.056
Ohio,Furniture,Bookcases,Consumer,Qtr 1,-409.16200000000003,1,8,601.4449999999999
Pennsylvania,Furniture,Bookcases,Consumer,Qtr 1,,,,
Tennessee,Furniture,Bookcases,Consumer,Qtr 1,,,,
Texas,Furniture,Bookcases,Consumer,Qtr 1,-481.8344000000003,0.96,19,2617.0615999999995
Virginia,Furniture,Bookcases,Consumer,Qtr 1,79.19339999999997,0,3,359.96999999999997
Washington,Furniture,Bookcases,Consumer,Qtr 1,47.52160000000001,0,3,190.54000000000002
Wisconsin,Furniture,Bookcases,Consumer,Qtr 1,97.45859999999999,0,3,512.9399999999999
Arizona,Furniture,Bookcases,Consumer,Qtr 2,,,,
California,Furniture,Bookcases,Consumer,Qtr 2,147.96649999999988,1.05,30,2855.5665
Colorado,Furniture,Bookcases,Consumer,Qtr 2,-152.9847,0.7,3,89.99100000000001
Florida,Furniture,Bookcases,Consumer,Qtr 2,-15.71759999999999,0.4,5,555.92
Georgia,Furniture,Bookcases,Consumer,Qtr 2,754.7313999999998,0,21,3250.58
Illinois,Furniture,Bookcases,Consumer,Qtr 2,,,,
Indiana,Furniture,Bookcases,Consumer,Qtr 2,,,,
Kentucky,Furniture,Bookcases,Consumer,Qtr 2,,,,
Michigan,Furniture,Bookcases,Consumer,Qtr 2,,,,
