Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Segment,Orders.State,Orders.Country,Orders.City,Sum(Orders.Quantity),Sum(Orders.Sales)
2014,Consumer,Alabama,United States,Auburn,,
2015,Consumer,Alabama,United States,Auburn,7,498.93
2016,Consumer,Alabama,United States,Auburn,7,1264.1399999999999
2017,Consumer,Alabama,United States,Auburn,,
2014,Consumer,Alabama,United States,Florence,21,1979.89
2015,Consumer,Alabama,United States,Florence,,
2016,Consumer,Alabama,United States,Florence,,
2017,Consumer,Alabama,United States,Florence,2,12.48
2014,Consumer,Alabama,United States,Huntsville,,
2015,Consumer,Alabama,United States,Huntsville,,
2016,Consumer,Alabama,United States,Huntsville,9,102.36
2017,Consumer,Alabama,United States,Huntsville,,
2014,Consumer,Alabama,United States,Mobile,2,8.96
2015,Consumer,Alabama,United States,Mobile,12,1918.79
2016,Consumer,Alabama,United States,Mobile,15,298.8299999999999
2017,Consumer,Alabama,United States,Mobile,,
2014,Consumer,Alabama,United States,Montgomery,3,14.669999999999998
2015,Consumer,Alabama,United States,Montgomery,,
2016,Consumer,Alabama,United States,Montgomery,10,1002.7
2017,Consumer,Alabama,United States,Montgomery,,
2014,Consumer,Arkansas,United States,Conway,,
2015,Consumer,Arkansas,United States,Conway,2,301.96
2016,Consumer,Arkansas,United States,Conway,,
2017,Consumer,Arkansas,United States,Conway,,
2014,Consumer,Arkansas,United States,Fayetteville,2,1793.98
2015,Consumer,Arkansas,United States,Fayetteville,2,105.42
2016,Consumer,Arkansas,United States,Fayetteville,19,870.04
2017,Consumer,Arkansas,United States,Fayetteville,9,726.9100000000001
2014,Consumer,Arkansas,United States,Hot Springs,,
2015,Consumer,Arkansas,United States,Hot Springs,1,29.99
2016,Consumer,Arkansas,United States,Hot Springs,,
2017,Consumer,Arkansas,United States,Hot Springs,,
2014,Consumer,Arkansas,United States,Jonesboro,36,2498.2200000000003
2015,Consumer,Arkansas,United States,Jonesboro,,
2016,Consumer,Arkansas,United States,Jonesboro,7,299.48
2017,Consumer,Arkansas,United States,Jonesboro,,
2014,Consumer,Arkansas,United States,Little Rock,13,904.13
2015,Consumer,Arkansas,United States,Little Rock,,
2016,Consumer,Arkansas,United States,Little Rock,30,819.39
2017,Consumer,Arkansas,United States,Little Rock,11,199.17000000000004
2014,Consumer,Arkansas,United States,Pine Bluff,,
2015,Consumer,Arkansas,United States,Pine Bluff,,
2016,Consumer,Arkansas,United States,Pine Bluff,,
2017,Consumer,Arkansas,United States,Pine Bluff,7,212.91000000000003
2014,Consumer,Arkansas,United States,Rogers,,
2015,Consumer,Arkansas,United States,Rogers,,
2016,Consumer,Arkansas,United States,Rogers,,
2017,Consumer,Arkansas,United States,Rogers,9,40.410000000000004
2014,Consumer,California,United States,Anaheim,14,1049.97
2015,Consumer,California,United States,Anaheim,,
2016,Consumer,California,United States,Anaheim,46,2240.3
2017,Consumer,California,United States,Anaheim,7,174.56000000000003
2014,Consumer,California,United States,Apple Valley,,
2015,Consumer,California,United States,Apple Valley,,
2016,Consumer,California,United States,Apple Valley,5,563.92
2017,Consumer,California,United States,Apple Valley,,
2014,Consumer,California,United States,Brentwood,10,408.76800000000003
2015,Consumer,California,United States,Brentwood,2,79.9
2016,Consumer,California,United States,Brentwood,,
2017,Consumer,California,United States,Brentwood,,
2014,Consumer,California,United States,Camarillo,,
2015,Consumer,California,United States,Camarillo,,
2016,Consumer,California,United States,Camarillo,,
2017,Consumer,California,United States,Camarillo,3,14.73
2014,Consumer,California,United States,Chico,,
2015,Consumer,California,United States,Chico,9,54.17
2016,Consumer,California,United States,Chico,,
2017,Consumer,California,United States,Chico,,
2014,Consumer,California,United States,Chula Vista,3,182.94
2015,Consumer,California,United States,Chula Vista,,
2016,Consumer,California,United States,Chula Vista,4,192.8
2017,Consumer,California,United States,Chula Vista,,
2014,Consumer,California,United States,Citrus Heights,,
2015,Consumer,California,United States,Citrus Heights,,
2016,Consumer,California,United States,Citrus Heights,,
2017,Consumer,California,United States,Citrus Heights,3,129.39000000000001
2014,Consumer,California,United States,Concord,3,172.87800000000001
2015,Consumer,California,United States,Concord,,
2016,Consumer,California,United States,Concord,5,61.120000000000005
2017,Consumer,California,United States,Concord,2,239.66599999999997
