Superstore 2023.Region,Superstore 2023.Category,Dates.Date,Sum(Superstore 2023.Sales)
Central,Furniture,"Monday, January 06, 2020",
East,Furniture,"Monday, January 06, 2020",
South,Furniture,"Monday, January 06, 2020",2573.82
West,Furniture,"Monday, January 06, 2020",
Central,Furniture,"Tuesday, January 07, 2020",76.728
East,Furniture,"Tuesday, January 07, 2020",
South,Furniture,"Tuesday, January 07, 2020",
West,Furniture,"Tuesday, January 07, 2020",
Central,Furniture,"Friday, January 10, 2020",
East,Furniture,"Friday, January 10, 2020",
South,Furniture,"Friday, January 10, 2020",51.94
West,Furniture,"Friday, January 10, 2020",
Central,Furniture,"Saturday, January 11, 2020",
East,Furniture,"Saturday, January 11, 2020",9.94
South,Furniture,"Saturday, January 11, 2020",
West,Furniture,"Saturday, January 11, 2020",
Central,Furniture,"Monday, January 13, 2020",
East,Furniture,"Monday, January 13, 2020",
South,Furniture,"Monday, January 13, 2020",545.94
West,Furniture,"Monday, January 13, 2020",333.999
Central,Furniture,"Tuesday, January 14, 2020",
East,Furniture,"Tuesday, January 14, 2020",61.96
South,Furniture,"Tuesday, January 14, 2020",
West,Furniture,"Tuesday, January 14, 2020",
Central,Furniture,"Thursday, January 16, 2020",
East,Furniture,"Thursday, January 16, 2020",127.104
South,Furniture,"Thursday, January 16, 2020",
West,Furniture,"Thursday, January 16, 2020",
Central,Furniture,"Sunday, January 19, 2020",
East,Furniture,"Sunday, January 19, 2020",
South,Furniture,"Sunday, January 19, 2020",
West,Furniture,"Sunday, January 19, 2020",181.47
Central,Furniture,"Monday, January 20, 2020",287.67
East,Furniture,"Monday, January 20, 2020",
South,Furniture,"Monday, January 20, 2020",1106.54
West,Furniture,"Monday, January 20, 2020",19.3
Central,Furniture,"Tuesday, January 21, 2020",
East,Furniture,"Tuesday, January 21, 2020",
South,Furniture,"Tuesday, January 21, 2020",25.248
West,Furniture,"Tuesday, January 21, 2020",
Central,Furniture,"Sunday, January 26, 2020",141.96
East,Furniture,"Sunday, January 26, 2020",
South,Furniture,"Sunday, January 26, 2020",75.24
