Superstore 2023.Category,Dates.Date,Sum(Superstore 2023.Discount),Sum(Superstore 2023.Quantity),Superstore 2023.YTD Sales,Key measures.Total sales,Key measures.Total YTD
Furniture,"Monday, January 06, 2020",0,9,2573.82,2573.82,2573.82
Furniture,"Tuesday, January 07, 2020",0.6,3,2650.5480000000002,76.728,2650.5480000000002
Furniture,"Wednesday, January 08, 2020",,,2650.5480000000002,,2650.5480000000002
Furniture,"Thursday, January 09, 2020",,,2650.5480000000002,,2650.5480000000002
Furniture,"Friday, January 10, 2020",0,1,2702.4880000000003,51.94,2702.4880000000003
Furniture,"Saturday, January 11, 2020",0,2,2712.4280000000003,9.94,2712.4280000000003
Furniture,"Sunday, January 12, 2020",,,2712.4280000000003,,2712.4280000000003
Furniture,"Monday, January 13, 2020",0.15,9,3592.367,879.939,3592.367
Furniture,"Tuesday, January 14, 2020",0.5,4,3654.327,61.96,3654.327
Furniture,"Wednesday, January 15, 2020",,,3654.327,,3654.327
Furniture,"Thursday, January 16, 2020",0.2,6,3781.431,127.104,3781.431
Furniture,"Friday, January 17, 2020",,,3781.431,,3781.431
Furniture,"Saturday, January 18, 2020",,,3781.431,,3781.431
Furniture,"Sunday, January 19, 2020",0.7,5,3962.901,181.47,3962.901
Furniture,"Monday, January 20, 2020",0,15,5376.411,1413.51,5376.411
Furniture,"Tuesday, January 21, 2020",0.2,3,5401.659,25.248,5401.659
Furniture,"Wednesday, January 22, 2020",,,5401.659,,5401.659
Furniture,"Thursday, January 23, 2020",,,5401.659,,5401.659
Furniture,"Friday, January 24, 2020",,,5401.659,,5401.659
Furniture,"Saturday, January 25, 2020",,,5401.659,,5401.659
Furniture,"Sunday, January 26, 2020",0,8,5618.8589999999995,217.2,5618.8589999999995
Furniture,"Monday, January 27, 2020",0.2,3,5951.8589999999995,333,5951.8589999999995
Furniture,"Tuesday, January 28, 2020",,,5951.8589999999995,,5951.8589999999995
Furniture,"Wednesday, January 29, 2020",,,5951.8589999999995,,5951.8589999999995
Furniture,"Thursday, January 30, 2020",,,5951.8589999999995,,5951.8589999999995
Furniture,"Friday, January 31, 2020",0.15,2,6242.525,290.666,6242.525
Furniture,"Saturday, February 01, 2020",,,6242.525,,6242.525
Furniture,"Sunday, February 02, 2020",,,6242.525,,6242.525
