Superstore 2023.Category,Dates.Date,Key measures.Total sales,Key measures.Total YTD,Sum(Superstore 2023.Sales)
Furniture,"Monday, January 06, 2020",2573.82,2573.82,2573.82
Furniture,"Tuesday, January 07, 2020",76.728,2650.5480000000002,76.728
Furniture,"Wednesday, January 08, 2020",,2650.5480000000002,
Furniture,"Thursday, January 09, 2020",,2650.5480000000002,
Furniture,"Friday, January 10, 2020",51.94,2702.4880000000003,51.94
Furniture,"Saturday, January 11, 2020",9.94,2712.4280000000003,9.94
Furniture,"Sunday, January 12, 2020",,2712.4280000000003,
Furniture,"Monday, January 13, 2020",879.939,3592.367,879.939
Furniture,"Tuesday, January 14, 2020",61.96,3654.327,61.96
Furniture,"Wednesday, January 15, 2020",,3654.327,
Furniture,"Thursday, January 16, 2020",127.104,3781.431,127.104
Furniture,"Friday, January 17, 2020",,3781.431,
Furniture,"Saturday, January 18, 2020",,3781.431,
Furniture,"Sunday, January 19, 2020",181.47,3962.901,181.47
Furniture,"Monday, January 20, 2020",1413.51,5376.411,1413.51
Furniture,"Tuesday, January 21, 2020",25.248,5401.659,25.248
Furniture,"Wednesday, January 22, 2020",,5401.659,
Furniture,"Thursday, January 23, 2020",,5401.659,
Furniture,"Friday, January 24, 2020",,5401.659,
Furniture,"Saturday, January 25, 2020",,5401.659,
Furniture,"Sunday, January 26, 2020",217.2,5618.8589999999995,217.2
Furniture,"Monday, January 27, 2020",333,5951.8589999999995,333
Furniture,"Tuesday, January 28, 2020",,5951.8589999999995,
Furniture,"Wednesday, January 29, 2020",,5951.8589999999995,
Furniture,"Thursday, January 30, 2020",,5951.8589999999995,
Furniture,"Friday, January 31, 2020",290.666,6242.525,290.666
Furniture,"Saturday, February 01, 2020",,6242.525,
Furniture,"Sunday, February 02, 2020",,6242.525,
Furniture,"Monday, February 03, 2020",,6242.525,
Furniture,"Tuesday, February 04, 2020",,6242.525,
Furniture,"Wednesday, February 05, 2020",,6242.525,
Furniture,"Thursday, February 06, 2020",,6242.525,
Furniture,"Friday, February 07, 2020",,6242.525,
Furniture,"Saturday, February 08, 2020",14.56,6257.085,14.56
Furniture,"Sunday, February 09, 2020",,6257.085,
Furniture,"Monday, February 10, 2020",,6257.085,
Furniture,"Tuesday, February 11, 2020",1650.05,7907.135,1650.05
Furniture,"Wednesday, February 12, 2020",129.568,8036.703,129.568
Furniture,"Thursday, February 13, 2020",,8036.703,
Furniture,"Friday, February 14, 2020",,8036.703,
Furniture,"Saturday, February 15, 2020",,8036.703,
Furniture,"Sunday, February 16, 2020",,8036.703,
Furniture,"Monday, February 17, 2020",,8036.703,
Furniture,"Tuesday, February 18, 2020",25.16,8061.863,25.16
Furniture,"Wednesday, February 19, 2020",,8061.863,
Furniture,"Thursday, February 20, 2020",20.32,8082.183,20.32
Furniture,"Friday, February 21, 2020",,8082.183,
Furniture,"Saturday, February 22, 2020",,8082.183,
Furniture,"Sunday, February 23, 2020",,8082.183,
Furniture,"Monday, February 24, 2020",,8082.183,
Furniture,"Tuesday, February 25, 2020",,8082.183,
Furniture,"Wednesday, February 26, 2020",,8082.183,
Furniture,"Thursday, February 27, 2020",,8082.183,
Furniture,"Friday, February 28, 2020",,8082.183,
Furniture,"Saturday, February 29, 2020",,8082.183,
Furniture,"Sunday, March 01, 2020",1893.995,9976.178,1893.995
Furniture,"Monday, March 02, 2020",,9976.178,
Furniture,"Tuesday, March 03, 2020",928.802,10904.98,928.802
Furniture,"Wednesday, March 04, 2020",,10904.98,
Furniture,"Thursday, March 05, 2020",,10904.98,
Furniture,"Friday, March 06, 2020",,10904.98,
Furniture,"Saturday, March 07, 2020",966.984,11871.964,966.984
Furniture,"Sunday, March 08, 2020",,11871.964,
Furniture,"Monday, March 09, 2020",,11871.964,
Furniture,"Tuesday, March 10, 2020",,11871.964,
Furniture,"Wednesday, March 11, 2020",8.32,11880.284,8.32
Furniture,"Thursday, March 12, 2020",,11880.284,
Furniture,"Friday, March 13, 2020",,11880.284,
Furniture,"Saturday, March 14, 2020",1139.92,13020.204,1139.92
Furniture,"Sunday, March 15, 2020",45.696,13065.9,45.696
Furniture,"Monday, March 16, 2020",,13065.9,
Furniture,"Tuesday, March 17, 2020",3265.23,16331.13,3265.23
Furniture,"Wednesday, March 18, 2020",1462.45,17793.579999999998,1462.45
Furniture,"Thursday, March 19, 2020",25.008,17818.588,25.008
Furniture,"Friday, March 20, 2020",,17818.588,
Furniture,"Saturday, March 21, 2020",251.328,18069.916,251.328
Furniture,"Sunday, March 22, 2020",314.352,18384.268,314.352
Furniture,"Monday, March 23, 2020",,18384.268,
Furniture,"Tuesday, March 24, 2020",40.48,18424.748,40.48
Furniture,"Wednesday, March 25, 2020",366.786,18791.534,366.786
Furniture,"Thursday, March 26, 2020",,18791.534,
Furniture,"Friday, March 27, 2020",,18791.534,
Furniture,"Saturday, March 28, 2020",1515.308,20306.842,1515.308
Furniture,"Sunday, March 29, 2020",890.841,21197.683,890.841
Furniture,"Monday, March 30, 2020",332.968,21530.651,332.968
Furniture,"Tuesday, March 31, 2020",1125.488,22656.139000000003,1125.488
Furniture,"Wednesday, April 01, 2020",,22656.139000000003,
Furniture,"Thursday, April 02, 2020",177.68,22833.819000000003,177.68
Furniture,"Friday, April 03, 2020",,22833.819000000003,
Furniture,"Saturday, April 04, 2020",5.47,22839.289000000004,5.47
Furniture,"Sunday, April 05, 2020",,22839.289000000004,
Furniture,"Monday, April 06, 2020",933.384,23772.673000000003,933.384
Furniture,"Tuesday, April 07, 2020",8.96,23781.633,8.96
Furniture,"Wednesday, April 08, 2020",1487.622,25269.255,1487.622
Furniture,"Thursday, April 09, 2020",,25269.255,
Furniture,"Friday, April 10, 2020",,25269.255,
Furniture,"Saturday, April 11, 2020",,25269.255,
Furniture,"Sunday, April 12, 2020",308.499,25577.754,308.499
Furniture,"Monday, April 13, 2020",,25577.754,
Furniture,"Tuesday, April 14, 2020",,25577.754,
Furniture,"Wednesday, April 15, 2020",187.76,25765.514,187.76
Furniture,"Thursday, April 16, 2020",,25765.514,
Furniture,"Friday, April 17, 2020",,25765.514,
Furniture,"Saturday, April 18, 2020",317.058,26082.572,317.058
Furniture,"Sunday, April 19, 2020",76.14,26158.712,76.14
Furniture,"Monday, April 20, 2020",1205.61,27364.322,1205.61
Furniture,"Tuesday, April 21, 2020",,27364.322,
Furniture,"Wednesday, April 22, 2020",,27364.322,
Furniture,"Thursday, April 23, 2020",585.08,27949.402000000002,585.08
Furniture,"Friday, April 24, 2020",,27949.402000000002,
Furniture,"Saturday, April 25, 2020",1790.29,29739.692000000003,1790.29
Furniture,"Sunday, April 26, 2020",230.28,29969.972,230.28
Furniture,"Monday, April 27, 2020",,29969.972,
Furniture,"Tuesday, April 28, 2020",,29969.972,
Furniture,"Wednesday, April 29, 2020",631.004,30600.976000000002,631.004
Furniture,"Thursday, April 30, 2020",,30600.976000000002,
Furniture,"Friday, May 01, 2020",,30600.976000000002,
Furniture,"Saturday, May 02, 2020",,30600.976000000002,
Furniture,"Sunday, May 03, 2020",,30600.976000000002,
Furniture,"Monday, May 04, 2020",39.64,30640.616,39.64
Furniture,"Tuesday, May 05, 2020",127.869,30768.485,127.869
Furniture,"Wednesday, May 06, 2020",,30768.485,
Furniture,"Thursday, May 07, 2020",1066.57,31835.055,1066.57
Furniture,"Friday, May 08, 2020",,31835.055,
Furniture,"Saturday, May 09, 2020",,31835.055,
Furniture,"Sunday, May 10, 2020",606.749,32441.804,606.749
Furniture,"Monday, May 11, 2020",1279.072,33720.876,1279.072
Furniture,"Tuesday, May 12, 2020",734.846,34455.721999999994,734.846
Furniture,"Wednesday, May 13, 2020",279.456,34735.17799999999,279.456
Furniture,"Thursday, May 14, 2020",310.88,35046.05799999999,310.88
Furniture,"Friday, May 15, 2020",,35046.05799999999,
Furniture,"Saturday, May 16, 2020",232.88,35278.93799999999,232.88
Furniture,"Sunday, May 17, 2020",,35278.93799999999,
Furniture,"Monday, May 18, 2020",149.232,35428.16999999999,149.232
Furniture,"Tuesday, May 19, 2020",,35428.16999999999,
Furniture,"Wednesday, May 20, 2020",150.192,35578.361999999994,150.192
Furniture,"Thursday, May 21, 2020",107.772,35686.13399999999,107.772
Furniture,"Friday, May 22, 2020",,35686.13399999999,
Furniture,"Saturday, May 23, 2020",,35686.13399999999,
Furniture,"Sunday, May 24, 2020",,35686.13399999999,
Furniture,"Monday, May 25, 2020",29.32,35715.45399999999,29.32
Furniture,"Tuesday, May 26, 2020",875.734,36591.18799999999,875.734
Furniture,"Wednesday, May 27, 2020",567.12,37158.30799999999,567.12
Furniture,"Thursday, May 28, 2020",,37158.30799999999,
Furniture,"Friday, May 29, 2020",,37158.30799999999,
Furniture,"Saturday, May 30, 2020",355.455,37513.76299999999,355.455
Furniture,"Sunday, May 31, 2020",,37513.76299999999,
Furniture,"Monday, June 01, 2020",2024.06,39537.82299999999,2024.06
Furniture,"Tuesday, June 02, 2020",73.32,39611.14299999999,73.32
Furniture,"Wednesday, June 03, 2020",577.424,40188.56699999999,577.424
Furniture,"Thursday, June 04, 2020",424.488,40613.054999999986,424.488
Furniture,"Friday, June 05, 2020",,40613.054999999986,
Furniture,"Saturday, June 06, 2020",991.764,41604.81899999999,991.764
Furniture,"Sunday, June 07, 2020",268.935,41873.753999999986,268.935
Furniture,"Monday, June 08, 2020",755.904,42629.65799999999,755.904
Furniture,"Tuesday, June 09, 2020",3233.744,45863.40199999999,3233.744
Furniture,"Wednesday, June 10, 2020",,45863.40199999999,
Furniture,"Thursday, June 11, 2020",,45863.40199999999,
Furniture,"Friday, June 12, 2020",,45863.40199999999,
Furniture,"Saturday, June 13, 2020",,45863.40199999999,
Furniture,"Sunday, June 14, 2020",212.94,46076.34199999999,212.94
Furniture,"Monday, June 15, 2020",897.862,46974.20399999999,897.862
Furniture,"Tuesday, June 16, 2020",647.84,47622.04399999999,647.84
Furniture,"Wednesday, June 17, 2020",6.24,47628.283999999985,6.24
Furniture,"Thursday, June 18, 2020",,47628.283999999985,
Furniture,"Friday, June 19, 2020",,47628.283999999985,
Furniture,"Saturday, June 20, 2020",193.0656,47821.34959999999,193.0656
Furniture,"Sunday, June 21, 2020",107.994,47929.343599999986,107.994
Furniture,"Monday, June 22, 2020",1023.988,48953.33159999998,1023.988
Furniture,"Tuesday, June 23, 2020",,48953.33159999998,
Furniture,"Wednesday, June 24, 2020",4.272,48957.60359999998,4.272
Furniture,"Thursday, June 25, 2020",447.84,49405.44359999998,447.84
Furniture,"Friday, June 26, 2020",,49405.44359999998,
Furniture,"Saturday, June 27, 2020",85.98,49491.42359999998,85.98
Furniture,"Sunday, June 28, 2020",1228.465,50719.88859999998,1228.465
Furniture,"Monday, June 29, 2020",,50719.88859999998,
Furniture,"Tuesday, June 30, 2020",,50719.88859999998,
Furniture,"Wednesday, July 01, 2020",,50719.88859999998,
Furniture,"Thursday, July 02, 2020",,50719.88859999998,
Furniture,"Friday, July 03, 2020",,50719.88859999998,
Furniture,"Saturday, July 04, 2020",,50719.88859999998,
Furniture,"Sunday, July 05, 2020",232.736,50952.624599999974,232.736
Furniture,"Monday, July 06, 2020",478.48,51431.10459999998,478.48
Furniture,"Tuesday, July 07, 2020",241.194,51672.29859999998,241.194
Furniture,"Wednesday, July 08, 2020",566.37,52238.66859999998,566.37
Furniture,"Thursday, July 09, 2020",119.833,52358.50159999998,119.833
Furniture,"Friday, July 10, 2020",,52358.50159999998,
Furniture,"Saturday, July 11, 2020",979.05,53337.551599999984,979.05
