Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Region,Sum(Orders.Quantity),Sum(Orders.Sales),Sum(Orders.Profit)
2016,Furniture,Bookcases,Central,58,8384.939999999999,-468.0408
2016,Furniture,Bookcases,East,59,5964.221000000001,-198.08580000000018
2016,Furniture,Bookcases,South,32,3709.224,552.7233999999999
2016,Furniture,Bookcases,West,48,8217.0815,325.8741999999997
2016,Furniture,Chairs,Central,166,23349.623999999996,1504.2379999999998
2016,Furniture,Chairs,East,175,23010.482999999993,1782.8010999999997
2016,Furniture,Chairs,South,52,6331.122,1276.07
2016,Furniture,Chairs,West,221,31227.415999999987,1200.0447999999983
2016,Furniture,Furnishings,Central,258,5115.692000000001,-1582.3255000000001
2016,Furniture,Furnishings,East,298,9587.140000000001,2135.1757
2016,Furniture,Furnishings,South,186,5382.784000000001,1278.3998999999994
2016,Furniture,Furnishings,West,294,7788.508000000002,2104.0199000000002
2016,Furniture,Tables,Central,74,13922.926,292.6210999999996
2016,Furniture,Tables,East,60,7825.328,-2306.7783
2016,Furniture,Tables,South,79,12498.3115,39.22299999999967
2016,Furniture,Tables,West,133,26586.635000000006,-976.0075999999999
2016,Office Supplies,Appliances,Central,100,6015.011000000001,378.69469999999967
2016,Office Supplies,Appliances,East,119,9426.582000000002,2302.6057999999994
2016,Office Supplies,Appliances,South,53,5607.47,1159.3742999999997
2016,Office Supplies,Appliances,West,124,5001.252000000002,1460.6666999999998
2016,Office Supplies,Art,Central,171,1519.9500000000003,261.41529999999995
2016,Office Supplies,Art,East,215,1882.5659999999996,476.9198000000001
2016,Office Supplies,Art,South,132,1438.2699999999995,352.6363999999999
2016,Office Supplies,Art,West,160,1120.1220000000003,322.99109999999985
2016,Office Supplies,Binders,Central,308,14056.379999999997,2919.3365999999987
2016,Office Supplies,Binders,East,467,18955.548000000003,2802.6457999999984
2016,Office Supplies,Binders,South,273,4112.216000000001,618.0254
2016,Office Supplies,Binders,West,555,12559.181000000004,3875.626299999999
2016,Office Supplies,Envelopes,Central,41,970.7959999999999,371.9226999999999
2016,Office Supplies,Envelopes,East,61,1304.7500000000002,556.6349999999999
2016,Office Supplies,Envelopes,South,53,895.7420000000001,399.8763999999999
2016,Office Supplies,Envelopes,West,67,1558.6020000000005,738.3141999999999
2016,Office Supplies,Fasteners,Central,74,247.37399999999997,83.2255
2016,Office Supplies,Fasteners,East,123,344.1700000000001,112.47730000000001
2016,Office Supplies,Fasteners,South,24,104.87,34.901399999999995
2016,Office Supplies,Fasteners,West,67,263.72,63.469199999999994
2016,Office Supplies,Labels,Central,89,511.24999999999994,204.96179999999998
2016,Office Supplies,Labels,East,112,779.156,335.69859999999994
2016,Office Supplies,Labels,South,44,288.20000000000005,132.50410000000002
2016,Office Supplies,Labels,West,118,1248.6340000000002,519.4473999999999
2016,Office Supplies,Paper,Central,354,5365.607999999998,2205.3706999999995
2016,Office Supplies,Paper,East,322,4926.120000000001,2135.0231999999996
2016,Office Supplies,Paper,South,234,3923.1639999999993,1724.0622000000003
2016,Office Supplies,Paper,West,462,6447.0019999999995,3007.0784000000003
2016,Office Supplies,Storage,Central,178,12811.512,778.9764999999998
2016,Office Supplies,Storage,East,293,22096.05799999999,2804.288900000002
2016,Office Supplies,Storage,South,141,10840.395999999997,1088.0691999999997
2016,Office Supplies,Storage,West,196,13040.734000000002,1532.9522
2016,Office Supplies,Supplies,Central,23,4294.908,-811.7518000000002
2016,Office Supplies,Supplies,East,77,2086.2580000000003,-27.20429999999999
2016,Office Supplies,Supplies,South,41,1456.3000000000002,-184.8886
2016,Office Supplies,Supplies,West,75,6440.1100000000015,324.8807999999997
2016,Technology,Accessories,Central,205,10802.214000000004,1888.0898999999993
2016,Technology,Accessories,East,148,6231.378,1260.0029
2016,Technology,Accessories,South,124,9379.843999999997,2543.8409
2016,Technology,Accessories,West,205,15482.417999999992,3972.354799999999
2016,Technology,Copiers,Central,5,17499.949999999997,8399.975999999999
2016,Technology,Copiers,East,29,19759.77,5143.924799999999
2016,Technology,Copiers,South,12,2559.888,871.9584
2016,Technology,Copiers,West,23,9779.802000000001,3326.9334
2016,Technology,Machines,Central,9,2658.7889999999998,57.31859999999989
2016,Technology,Machines,East,51,25215.938000000002,-1342.346500000002
2016,Technology,Machines,South,21,13238.600000000002,4308.107
2016,Technology,Machines,West,48,14793.559,-115.76110000000034
2016,Technology,Phones,Central,246,19902.452,3415.133599999999
2016,Technology,Phones,East,230,21290.356000000007,2167.8120999999983
2016,Technology,Phones,South,113,11843.822000000004,1507.925
2016,Technology,Phones,West,229,25925.4,2368.722200000001
