Orders.Order Date.Variation.Date Hierarchy.Year,Sum(Orders.Sales),Sum(Orders.Quantity),Sum(Orders.Profit),Orders.Category,Orders.Sub-Category,Orders.Region
2016,8384.939999999999,58,-468.0408,Furniture,Bookcases,Central
2016,5964.221000000001,59,-198.08580000000018,Furniture,Bookcases,East
2016,3709.224,32,552.7233999999999,Furniture,Bookcases,South
2016,8217.0815,48,325.8741999999997,Furniture,Bookcases,West
2016,23349.623999999996,166,1504.2379999999998,Furniture,Chairs,Central
2016,23010.482999999993,175,1782.8010999999997,Furniture,Chairs,East
2016,6331.122,52,1276.07,Furniture,Chairs,South
2016,31227.415999999987,221,1200.0447999999983,Furniture,Chairs,West
2016,5115.692000000001,258,-1582.3255000000001,Furniture,Furnishings,Central
2016,9587.140000000001,298,2135.1757,Furniture,Furnishings,East
2016,5382.784000000001,186,1278.3998999999994,Furniture,Furnishings,South
2016,7788.508000000002,294,2104.0199000000002,Furniture,Furnishings,West
2016,13922.926,74,292.6210999999996,Furniture,Tables,Central
2016,7825.328,60,-2306.7783,Furniture,Tables,East
2016,12498.3115,79,39.22299999999967,Furniture,Tables,South
2016,26586.635000000006,133,-976.0075999999999,Furniture,Tables,West
2016,6015.011000000001,100,378.69469999999967,Office Supplies,Appliances,Central
2016,9426.582000000002,119,2302.6057999999994,Office Supplies,Appliances,East
2016,5607.47,53,1159.3742999999997,Office Supplies,Appliances,South
2016,5001.252000000002,124,1460.6666999999998,Office Supplies,Appliances,West
2016,1519.9500000000003,171,261.41529999999995,Office Supplies,Art,Central
2016,1882.5659999999996,215,476.9198000000001,Office Supplies,Art,East
2016,1438.2699999999995,132,352.6363999999999,Office Supplies,Art,South
2016,1120.1220000000003,160,322.99109999999985,Office Supplies,Art,West
2016,14056.379999999997,308,2919.3365999999987,Office Supplies,Binders,Central
2016,18955.548000000003,467,2802.6457999999984,Office Supplies,Binders,East
2016,4112.216000000001,273,618.0254,Office Supplies,Binders,South
2016,12559.181000000004,555,3875.626299999999,Office Supplies,Binders,West
2016,970.7959999999999,41,371.9226999999999,Office Supplies,Envelopes,Central
2016,1304.7500000000002,61,556.6349999999999,Office Supplies,Envelopes,East
2016,895.7420000000001,53,399.8763999999999,Office Supplies,Envelopes,South
2016,1558.6020000000005,67,738.3141999999999,Office Supplies,Envelopes,West
2016,247.37399999999997,74,83.2255,Office Supplies,Fasteners,Central
2016,344.1700000000001,123,112.47730000000001,Office Supplies,Fasteners,East
2016,104.87,24,34.901399999999995,Office Supplies,Fasteners,South
2016,263.72,67,63.469199999999994,Office Supplies,Fasteners,West
2016,511.24999999999994,89,204.96179999999998,Office Supplies,Labels,Central
2016,779.156,112,335.69859999999994,Office Supplies,Labels,East
2016,288.20000000000005,44,132.50410000000002,Office Supplies,Labels,South
2016,1248.6340000000002,118,519.4473999999999,Office Supplies,Labels,West
2016,5365.607999999998,354,2205.3706999999995,Office Supplies,Paper,Central
2016,4926.120000000001,322,2135.0231999999996,Office Supplies,Paper,East
2016,3923.1639999999993,234,1724.0622000000003,Office Supplies,Paper,South
2016,6447.0019999999995,462,3007.0784000000003,Office Supplies,Paper,West
2016,12811.512,178,778.9764999999998,Office Supplies,Storage,Central
2016,22096.05799999999,293,2804.288900000002,Office Supplies,Storage,East
2016,10840.395999999997,141,1088.0691999999997,Office Supplies,Storage,South
2016,13040.734000000002,196,1532.9522,Office Supplies,Storage,West
2016,4294.908,23,-811.7518000000002,Office Supplies,Supplies,Central
2016,2086.2580000000003,77,-27.20429999999999,Office Supplies,Supplies,East
2016,1456.3000000000002,41,-184.8886,Office Supplies,Supplies,South
2016,6440.1100000000015,75,324.8807999999997,Office Supplies,Supplies,West
2016,10802.214000000004,205,1888.0898999999993,Technology,Accessories,Central
2016,6231.378,148,1260.0029,Technology,Accessories,East
2016,9379.843999999997,124,2543.8409,Technology,Accessories,South
2016,15482.417999999992,205,3972.354799999999,Technology,Accessories,West
2016,17499.949999999997,5,8399.975999999999,Technology,Copiers,Central
2016,19759.77,29,5143.924799999999,Technology,Copiers,East
2016,2559.888,12,871.9584,Technology,Copiers,South
2016,9779.802000000001,23,3326.9334,Technology,Copiers,West
2016,2658.7889999999998,9,57.31859999999989,Technology,Machines,Central
2016,25215.938000000002,51,-1342.346500000002,Technology,Machines,East
2016,13238.600000000002,21,4308.107,Technology,Machines,South
2016,14793.559,48,-115.76110000000034,Technology,Machines,West
2016,19902.452,246,3415.133599999999,Technology,Phones,Central
2016,21290.356000000007,230,2167.8120999999983,Technology,Phones,East
2016,11843.822000000004,113,1507.925,Technology,Phones,South
2016,25925.4,229,2368.722200000001,Technology,Phones,West
