Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Segment,Orders.Region,CountNonNull(Orders.Postal Code),Sum(Orders.Discount)
2014,Furniture,Bookcases,Consumer,Central,3,0.9199999999999999
2015,Furniture,Bookcases,Consumer,Central,6,1.54
2016,Furniture,Bookcases,Consumer,Central,7,1.58
2017,Furniture,Bookcases,Consumer,Central,8,2.22
2014,Furniture,Bookcases,Consumer,East,6,1.3
2015,Furniture,Bookcases,Consumer,East,9,2.3
2016,Furniture,Bookcases,Consumer,East,11,2.7
2017,Furniture,Bookcases,Consumer,East,13,2.8
2014,Furniture,Bookcases,Consumer,South,2,0.2
2015,Furniture,Bookcases,Consumer,South,2,0.2
2016,Furniture,Bookcases,Consumer,South,5,0.2
2017,Furniture,Bookcases,Consumer,South,10,1
2014,Furniture,Bookcases,Consumer,West,6,1.4499999999999997
2015,Furniture,Bookcases,Consumer,West,18,4.850000000000001
2016,Furniture,Bookcases,Consumer,West,8,1.5999999999999996
2017,Furniture,Bookcases,Consumer,West,17,4.15
2014,Furniture,Bookcases,Corporate,Central,2,0.32
2015,Furniture,Bookcases,Corporate,Central,5,0.96
2016,Furniture,Bookcases,Corporate,Central,5,0.94
2017,Furniture,Bookcases,Corporate,Central,6,1.58
2014,Furniture,Bookcases,Corporate,East,5,1.7
2015,Furniture,Bookcases,Corporate,East,6,1.4
2016,Furniture,Bookcases,Corporate,East,5,0.7
2017,Furniture,Bookcases,Corporate,East,5,0.7
2014,Furniture,Bookcases,Corporate,South,,
2015,Furniture,Bookcases,Corporate,South,2,0.4
2016,Furniture,Bookcases,Corporate,South,1,0.2
2017,Furniture,Bookcases,Corporate,South,2,0.2
2014,Furniture,Bookcases,Corporate,West,6,0.75
2015,Furniture,Bookcases,Corporate,West,3,0.44999999999999996
2016,Furniture,Bookcases,Corporate,West,4,1.15
2017,Furniture,Bookcases,Corporate,West,7,2.55
2014,Furniture,Bookcases,Home Office,Central,2,0.32
2015,Furniture,Bookcases,Home Office,Central,4,0.94
2016,Furniture,Bookcases,Home Office,Central,,
2017,Furniture,Bookcases,Home Office,Central,2,0.32
2014,Furniture,Bookcases,Home Office,East,2,0.2
2015,Furniture,Bookcases,Home Office,East,5,0.9
2016,Furniture,Bookcases,Home Office,East,3,0.7
2017,Furniture,Bookcases,Home Office,East,,
2014,Furniture,Bookcases,Home Office,South,,
2015,Furniture,Bookcases,Home Office,South,1,0
2016,Furniture,Bookcases,Home Office,South,2,0.2
2017,Furniture,Bookcases,Home Office,South,1,0.2
2014,Furniture,Bookcases,Home Office,West,3,0.44999999999999996
2015,Furniture,Bookcases,Home Office,West,,
2016,Furniture,Bookcases,Home Office,West,3,0.3
2017,Furniture,Bookcases,Home Office,West,5,0.6
2014,Furniture,Chairs,Consumer,Central,17,3.899999999999999
2015,Furniture,Chairs,Consumer,Central,23,4.199999999999999
2016,Furniture,Chairs,Consumer,Central,17,2.9999999999999996
2017,Furniture,Chairs,Consumer,Central,24,5.099999999999999
2014,Furniture,Chairs,Consumer,East,16,2.7
2015,Furniture,Chairs,Consumer,East,21,2.8000000000000003
2016,Furniture,Chairs,Consumer,East,30,5.1
2017,Furniture,Chairs,Consumer,East,27,4.599999999999999
2014,Furniture,Chairs,Consumer,South,11,1
2015,Furniture,Chairs,Consumer,South,11,0.6000000000000001
2016,Furniture,Chairs,Consumer,South,10,0.8
2017,Furniture,Chairs,Consumer,South,21,2.1999999999999997
