Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Region,CountNonNull(Orders.Postal Code),Sum(Orders.Profit),Sum(Orders.Quantity),Sum(Orders.Discount),Sum(Orders.Sales),CountNonNull(Orders.Row ID)
2014,Furniture,Bookcases,Central,7,-133.64569999999998,23,1.56,1834.0375999999997,7
2015,Furniture,Bookcases,Central,15,-885.1924000000004,58,3.4399999999999995,8297.722,15
2016,Furniture,Bookcases,Central,12,-468.0408,58,2.52,8384.939999999999,12
2017,Furniture,Bookcases,Central,16,-511.0254000000002,53,4.119999999999999,5640.4772,16
2014,Furniture,Bookcases,East,13,-425.58550000000065,60,3.2,10863.451000000001,13
2015,Furniture,Bookcases,East,20,-987.4247000000008,81,4.6,19653.440000000002,20
2016,Furniture,Bookcases,East,19,-198.08580000000018,59,4.1,5964.221000000001,19
2017,Furniture,Bookcases,East,18,443.4641999999997,52,3.5,7338.222,18
2014,Furniture,Bookcases,South,2,164.70860000000002,13,0.2,794.2760000000001,2
2015,Furniture,Bookcases,South,5,107.61759999999998,21,0.6000000000000001,1238.5960000000002,5
2016,Furniture,Bookcases,South,8,552.7233999999999,32,0.6000000000000001,3709.224,8
2017,Furniture,Bookcases,South,13,514.4422000000001,52,1.4,5157.266,13
2014,Furniture,Bookcases,West,15,48.351899999999915,57,2.6499999999999995,6544.9130000000005,15
2015,Furniture,Bookcases,West,21,-990.2307000000004,82,5.300000000000001,9353.8145,21
2016,Furniture,Bookcases,West,15,325.8741999999997,48,3.0499999999999994,8217.0815,15
2017,Furniture,Bookcases,West,29,-1030.5071000000003,119,7.3000000000000025,11888.314499999997,29
2014,Furniture,Chairs,Central,32,699.2616999999998,136,7.1999999999999975,20754.052,32
2015,Furniture,Chairs,Central,34,1676.9477999999992,145,5.999999999999998,17908.505,34
2016,Furniture,Chairs,Central,42,1504.2379999999998,166,8.399999999999999,23349.623999999996,42
2017,Furniture,Chairs,Central,46,2712.274599999999,168,8.099999999999998,23218.465000000004,46
