Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Region,Sum(Orders.Sales),Sum(Orders.Profit)
2014,Furniture,Central,32909.66360000001,-1105.2240999999995
2015,Furniture,Central,35592.047000000006,-231.03730000000223
2016,Furniture,Central,50773.18200000001,-253.50720000000075
2017,Furniture,Central,44522.271199999974,-1281.2808000000025
2014,Furniture,East,47232.739000000016,-499.6581000000005
2015,Furniture,East,53817.43199999999,-47.413200000000074
2016,Furniture,East,46387.17199999999,1413.1127
2017,Furniture,East,60853.861000000026,2180.124400000001
2014,Furniture,South,26968.002499999984,4000.579399999997
2015,Furniture,South,24103.814499999993,208.60639999999876
2016,Furniture,South,27921.441499999975,3146.4162999999994
2017,Furniture,South,38305.42549999998,-584.3960000000008
2014,Furniture,West,50082.447999999975,3062.028299999997
2015,Furniture,West,57004.94349999999,3085.0469999999996
2016,Furniture,West,73819.64049999996,2653.9312999999947
2017,Furniture,West,71705.71149999995,2703.9436999999975
2014,Office Supplies,Central,37001.691000000006,622.3076000000034
2015,Office Supplies,Central,25461.390999999996,1780.0425999999986
2016,Office Supplies,Central,45792.78899999999,6392.151999999992
2017,Office Supplies,Central,58770.54400000001,85.47770000000592
2014,Office Supplies,East,35968.988999999994,6725.326300000005
2015,Office Supplies,East,42655.24500000001,11040.642400000012
2016,Office Supplies,East,61801.20800000006,11499.090099999985
2017,Office Supplies,East,65090.612999999954,11749.52029999998
2014,Office Supplies,South,25958.877999999986,5271.3148999999985
2015,Office Supplies,South,31253.295,3610.101999999998
2016,Office Supplies,South,28666.627999999982,5324.5608
2017,Office Supplies,South,39772.51199999998,5780.415099999996
2014,Office Supplies,West,52846.854,9974.4673
2015,Office Supplies,West,37863.531999999985,8668.746799999997
2016,Office Supplies,West,47679.357,11845.426299999983
2017,Office Supplies,West,82463.50599999996,22121.208599999973
2014,Technology,Central,33926.81,1022.4698999999966
2015,Technology,Central,41820.78399999997,10167.796700000004
2016,Technology,Central,50863.40500000004,13760.518100000008
2017,Technology,Central,43805.312999999966,8746.6473
2014,Technology,East,45478.72899999998,10833.941300000002
2015,Technology,East,59859.38000000002,10097.783799999997
2016,Technology,East,72497.442,7229.3932999999915
2017,Technology,East,87138.43000000001,19300.916699999994
2014,Technology,South,50918.96299999999,2607.2256999999963
2015,Technology,South,16002.871000000005,4499.885599999999
2016,Technology,South,37022.15399999999,9231.831300000003
2017,Technology,South,44827.92,3652.8887999999997
2014,Technology,West,44953.731,7029.1956
2015,Technology,West,45097.773999999976,8738.400900000002
2016,Technology,West,65981.17899999997,9552.249299999998
2017,Technology,West,95959.148,18983.803800000012
