Brand Name,Color,Year,Quarter,Value Column Name,Value
"Contoso","Black","2013","Q1","YoY Sales","41654"
"Contoso","Black","2013","Q1","Units","333"
"Contoso","Black","2013","Q1","Units - YoY Sales","-41321"
"Contoso","Black","2013","Q1","(Units - YoY Sales)%","-0.9920055696931869"
"Contoso","Black","2013","Q2","YoY Sales","34676"
"Contoso","Black","2013","Q2","Units","327"
"Contoso","Black","2013","Q2","Units - YoY Sales","-34349"
"Contoso","Black","2013","Q2","(Units - YoY Sales)%","-0.990569846579767"
"Contoso","Black","2013","Q3","YoY Sales","97243"
"Contoso","Black","2013","Q3","Units","537"
"Contoso","Black","2013","Q3","Units - YoY Sales","-96706"
"Contoso","Black","2013","Q3","(Units - YoY Sales)%","-0.9944777516119412"
"Contoso","Black","2013","Q4","YoY Sales","131236"
"Contoso","Black","2013","Q4","Units","839"
"Contoso","Black","2013","Q4","Units - YoY Sales","-130397"
"Contoso","Black","2013","Q4","(Units - YoY Sales)%","-0.9936069371209119"
"Contoso","Black","2014","Q1","YoY Sales","82481"
"Contoso","Black","2014","Q1","Units","586"
"Contoso","Black","2014","Q1","Units - YoY Sales","-81895"
"Contoso","Black","2014","Q1","(Units - YoY Sales)%","-0.9928953334707387"
"Contoso","Black","2014","Q2","YoY Sales","41347"
"Contoso","Black","2014","Q2","Units","455"
"Contoso","Black","2014","Q2","Units - YoY Sales","-40892"
"Contoso","Black","2014","Q2","(Units - YoY Sales)%","-0.9889955740440661"
"Contoso","Black","2014","Q3","YoY Sales","50798"
"Contoso","Black","2014","Q3","Units","993"
"Contoso","Black","2014","Q3","Units - YoY Sales","-49805"
"Contoso","Black","2014","Q3","(Units - YoY Sales)%","-0.9804519862986731"
"Contoso","Black","2014","Q4","YoY Sales","22734"
"Contoso","Black","2014","Q4","Units","1116"
"Contoso","Black","2014","Q4","Units - YoY Sales","-21618"
"Contoso","Black","2014","Q4","(Units - YoY Sales)%","-0.9509105304829771"
"Contoso","Black","2015","Q1","YoY Sales","-17934"
"Contoso","Black","2015","Q1","Units","646"
"Contoso","Black","2015","Q1","Units - YoY Sales","18580"
"Contoso","Black","2015","Q1","(Units - YoY Sales)%","1.0360209657633546"
"Contoso","Black","2015","Q2","YoY Sales","-45162"
"Contoso","Black","2015","Q2","Units","325"
"Contoso","Black","2015","Q2","Units - YoY Sales","45487"
"Contoso","Black","2015","Q2","(Units - YoY Sales)%","1.007196315486471"
"Contoso","Black","2015","Q3","YoY Sales","-88882"
"Contoso","Black","2015","Q3","Units","597"
"Contoso","Black","2015","Q3","Units - YoY Sales","89479"
"Contoso","Black","2015","Q3","(Units - YoY Sales)%","1.0067167705497175"
"Contoso","Black","2015","Q4","YoY Sales","-114079"
"Contoso","Black","2015","Q4","Units","728"
"Contoso","Black","2015","Q4","Units - YoY Sales","114807"
"Contoso","Black","2015","Q4","(Units - YoY Sales)%","1.0063815426152052"
"Contoso","Silver","2013","Q1","YoY Sales","91169"
"Contoso","Silver","2013","Q1","Units","229"
"Contoso","Silver","2013","Q1","Units - YoY Sales","-90940"
"Contoso","Silver","2013","Q1","(Units - YoY Sales)%","-0.9974881812896927"
"Contoso","Silver","2013","Q2","YoY Sales","16236"
"Contoso","Silver","2013","Q2","Units","136"
"Contoso","Silver","2013","Q2","Units - YoY Sales","-16100"
"Contoso","Silver","2013","Q2","(Units - YoY Sales)%","-0.9916235525991624"
"Contoso","Silver","2013","Q3","YoY Sales","89720"
"Contoso","Silver","2013","Q3","Units","304"
"Contoso","Silver","2013","Q3","Units - YoY Sales","-89416"
"Contoso","Silver","2013","Q3","(Units - YoY Sales)%","-0.9966116807846634"
"Contoso","Silver","2013","Q4","YoY Sales","132176"
"Contoso","Silver","2013","Q4","Units","460"
"Contoso","Silver","2013","Q4","Units - YoY Sales","-131716"
"Contoso","Silver","2013","Q4","(Units - YoY Sales)%","-0.9965197917927611"
"Contoso","Silver","2014","Q1","YoY Sales","55155"
"Contoso","Silver","2014","Q1","Units","371"
"Contoso","Silver","2014","Q1","Units - YoY Sales","-54784"
"Contoso","Silver","2014","Q1","(Units - YoY Sales)%","-0.9932735019490526"
"Contoso","Silver","2014","Q2","YoY Sales","70300"
"Contoso","Silver","2014","Q2","Units","303"
"Contoso","Silver","2014","Q2","Units - YoY Sales","-69997"
"Contoso","Silver","2014","Q2","(Units - YoY Sales)%","-0.9956899004267425"
"Contoso","Silver","2014","Q3","YoY Sales","53033"
"Contoso","Silver","2014","Q3","Units","558"
"Contoso","Silver","2014","Q3","Units - YoY Sales","-52475"
"Contoso","Silver","2014","Q3","(Units - YoY Sales)%","-0.9894782493918881"
"Contoso","Silver","2014","Q4","YoY Sales","103660"
"Contoso","Silver","2014","Q4","Units","768"
"Contoso","Silver","2014","Q4","Units - YoY Sales","-102892"
"Contoso","Silver","2014","Q4","(Units - YoY Sales)%","-0.9925911634188693"
"Contoso","Silver","2015","Q1","YoY Sales","-33867"
"Contoso","Silver","2015","Q1","Units","362"
"Contoso","Silver","2015","Q1","Units - YoY Sales","34229"
"Contoso","Silver","2015","Q1","(Units - YoY Sales)%","1.010688871172528"
"Contoso","Silver","2015","Q2","YoY Sales","-55727"
"Contoso","Silver","2015","Q2","Units","188"
"Contoso","Silver","2015","Q2","Units - YoY Sales","55915"
"Contoso","Silver","2015","Q2","(Units - YoY Sales)%","1.003373589104025"
"Contoso","Silver","2015","Q3","YoY Sales","-12053"
"Contoso","Silver","2015","Q3","Units","499"
"Contoso","Silver","2015","Q3","Units - YoY Sales","12552"
"Contoso","Silver","2015","Q3","(Units - YoY Sales)%","1.041400481207998"
"Contoso","Silver","2015","Q4","YoY Sales","-140830"
"Contoso","Silver","2015","Q4","Units","482"
"Contoso","Silver","2015","Q4","Units - YoY Sales","141312"
"Contoso","Silver","2015","Q4","(Units - YoY Sales)%","1.003422566214585"
"Contoso","Blue","2013","Q1","YoY Sales","2198"
"Contoso","Blue","2013","Q1","Units","71"
"Contoso","Blue","2013","Q1","Units - YoY Sales","-2127"
"Contoso","Blue","2013","Q1","(Units - YoY Sales)%","-0.9676979071883529"
"Contoso","Blue","2013","Q2","YoY Sales","2458"
"Contoso","Blue","2013","Q2","Units","70"
"Contoso","Blue","2013","Q2","Units - YoY Sales","-2388"
"Contoso","Blue","2013","Q2","(Units - YoY Sales)%","-0.9715215622457282"
"Contoso","Blue","2013","Q3","YoY Sales","5900"
"Contoso","Blue","2013","Q3","Units","149"
"Contoso","Blue","2013","Q3","Units - YoY Sales","-5751"
"Contoso","Blue","2013","Q3","(Units - YoY Sales)%","-0.9747457627118643"
"Contoso","Blue","2013","Q4","YoY Sales","36923"
"Contoso","Blue","2013","Q4","Units","198"
"Contoso","Blue","2013","Q4","Units - YoY Sales","-36725"
"Contoso","Blue","2013","Q4","(Units - YoY Sales)%","-0.9946374888281018"
"Contoso","Blue","2014","Q1","YoY Sales","28564"
"Contoso","Blue","2014","Q1","Units","183"
"Contoso","Blue","2014","Q1","Units - YoY Sales","-28381"
"Contoso","Blue","2014","Q1","(Units - YoY Sales)%","-0.9935933342669094"
"Contoso","Blue","2014","Q2","YoY Sales","37892"
"Contoso","Blue","2014","Q2","Units","116"
"Contoso","Blue","2014","Q2","Units - YoY Sales","-37776"
"Contoso","Blue","2014","Q2","(Units - YoY Sales)%","-0.9969386677926739"
"Contoso","Blue","2014","Q3","YoY Sales","54542"
"Contoso","Blue","2014","Q3","Units","238"
"Contoso","Blue","2014","Q3","Units - YoY Sales","-54304"
"Contoso","Blue","2014","Q3","(Units - YoY Sales)%","-0.9956363903047193"
"Contoso","Blue","2014","Q4","YoY Sales","59651"
"Contoso","Blue","2014","Q4","Units","281"
"Contoso","Blue","2014","Q4","Units - YoY Sales","-59370"
"Contoso","Blue","2014","Q4","(Units - YoY Sales)%","-0.995289265896632"
"Contoso","Blue","2015","Q1","YoY Sales","31741"
"Contoso","Blue","2015","Q1","Units","174"
"Contoso","Blue","2015","Q1","Units - YoY Sales","-31567"
"Contoso","Blue","2015","Q1","(Units - YoY Sales)%","-0.9945181311237831"
"Contoso","Blue","2015","Q2","YoY Sales","-14091"
"Contoso","Blue","2015","Q2","Units","58"
"Contoso","Blue","2015","Q2","Units - YoY Sales","14149"
"Contoso","Blue","2015","Q2","(Units - YoY Sales)%","1.0041161024767582"
"Contoso","Blue","2015","Q3","YoY Sales","-3960"
"Contoso","Blue","2015","Q3","Units","163"
"Contoso","Blue","2015","Q3","Units - YoY Sales","4123"
"Contoso","Blue","2015","Q3","(Units - YoY Sales)%","1.0411616161616162"
"Contoso","Blue","2015","Q4","YoY Sales","-33206"
"Contoso","Blue","2015","Q4","Units","201"
"Contoso","Blue","2015","Q4","Units - YoY Sales","33407"
"Contoso","Blue","2015","Q4","(Units - YoY Sales)%","1.006053122929591"
"Contoso","Red","2013","Q1","YoY Sales","1910"
"Contoso","Red","2013","Q1","Units","11"
"Contoso","Red","2013","Q1","Units - YoY Sales","-1899"
"Contoso","Red","2013","Q1","(Units - YoY Sales)%","-0.9942408376963351"
"Contoso","Red","2013","Q2","YoY Sales","3520"
