Calendar.Dependent Hierarchy.Year,Calendar.Dependent Hierarchy.Quarter,Sales.Brand Name,Sales.Color,DAX.YoY Sales,DAX.Units
2014,Q1,Contoso,Black,82481,586
2014,Q2,Contoso,Black,41347,455
2014,Q1,Contoso,Blue,28564,183
2014,Q2,Contoso,Blue,37892,116
2014,Q1,Contoso,Brown,9250,85
2014,Q2,Contoso,Brown,2220,48
2014,Q1,Adventure Works,Black,52377,278
2014,Q2,Adventure Works,Black,-15098,146
2014,Q1,Adventure Works,Brown,44793,97
2014,Q2,Adventure Works,Brown,-25539,45
2014,Q1,Adventure Works,Blue,6125,28
2014,Q2,Adventure Works,Blue,-10497,21
2014,Q1,Fabrikam,Black,26041,105
2014,Q2,Fabrikam,Black,77720,119
2014,Q1,Fabrikam,Blue,41234,75
2014,Q2,Fabrikam,Blue,14988,24
2014,Q1,Fabrikam,Brown,21413,19
2014,Q2,Fabrikam,Brown,4495,5
