Region,State,Segment,Value Column Name,Value
"West","Washington","Consumer","Quantity","990"
"West","Washington","Consumer","Row ID","275"
"West","Washington","Consumer","Sales","73866.52000000003"
"West","Washington","Consumer","Average of Postal Code","98152.8690909091"
"West","Washington","Consumer","Average of Postal Code - Quantity","97162.8690909091"
"West","Washington","Consumer","(Average of Postal Code - Quantity)%","98.14431221303948"
"West","Washington","Consumer","Average of Postal Code - Row ID","97877.8690909091"
"West","Washington","Consumer","(Average of Postal Code - Row ID)%","355.91952396694217"
"West","Washington","Consumer","Average of Postal Code - Sales","24286.34909090906"
"West","Washington","Consumer","(Average of Postal Code - Sales)%","0.32878696723372175"
"West","Washington","Consumer","Row ID - Quantity","-715"
"West","Washington","Consumer","(Row ID - Quantity)%","-0.7222222222222221"
"West","Washington","Consumer","Sales - Quantity","72876.52000000003"
"West","Washington","Consumer","(Sales - Quantity)%","73.6126464646465"
"West","Washington","Consumer","Sales - Row ID","73591.52000000003"
"West","Washington","Consumer","(Sales - Row ID)%","267.6055272727274"
"West","Washington","Consumer","Profit","19817.305199999973"
"West","Washington","Consumer","First Ship Mode",""
"West","Washington","Consumer","Discount","17.599999999999998"
"West","Washington","Corporate","Quantity","536"
"West","Washington","Corporate","Row ID","131"
"West","Washington","Corporate","Sales","39727.10999999999"
"West","Washington","Corporate","Average of Postal Code","98148.73282442748"
"West","Washington","Corporate","Average of Postal Code - Quantity","97612.73282442748"
"West","Washington","Corporate","(Average of Postal Code - Quantity)%","182.11330750826022"
"West","Washington","Corporate","Average of Postal Code - Row ID","98017.73282442748"
"West","Washington","Corporate","(Average of Postal Code - Row ID)%","748.2269681254006"
"West","Washington","Corporate","Average of Postal Code - Sales","58421.62282442749"
"West","Washington","Corporate","(Average of Postal Code - Sales)%","1.4705731885462472"
"West","Washington","Corporate","Row ID - Quantity","-405"
"West","Washington","Corporate","(Row ID - Quantity)%","-0.7555970149253731"
"West","Washington","Corporate","Sales - Quantity","39191.10999999999"
"West","Washington","Corporate","(Sales - Quantity)%","73.11774253731342"
"West","Washington","Corporate","Sales - Row ID","39596.10999999999"
"West","Washington","Corporate","(Sales - Row ID)%","302.26038167938924"
"West","Washington","Corporate","Profit","9295.911299999996"
"West","Washington","Corporate","First Ship Mode",""
"West","Washington","Corporate","Discount","7.800000000000001"
"West","Washington","Home Office","Quantity","357"
"West","Washington","Home Office","Row ID","100"
"West","Washington","Home Office","Sales","25047.639999999996"
"West","Washington","Home Office","Average of Postal Code","98121.64"
"West","Washington","Home Office","Average of Postal Code - Quantity","97764.64"
"West","Washington","Home Office","(Average of Postal Code - Quantity)%","273.8505322128851"
"West","Washington","Home Office","Average of Postal Code - Row ID","98021.64"
"West","Washington","Home Office","(Average of Postal Code - Row ID)%","980.2164"
"West","Washington","Home Office","Average of Postal Code - Sales","73074"
"West","Washington","Home Office","(Average of Postal Code - Sales)%","2.9174006014139464"
"West","Washington","Home Office","Row ID - Quantity","-257"
"West","Washington","Home Office","(Row ID - Quantity)%","-0.7198879551820728"
"West","Washington","Home Office","Sales - Quantity","24690.639999999996"
"West","Washington","Home Office","(Sales - Quantity)%","69.16145658263304"
"West","Washington","Home Office","Sales - Row ID","24947.639999999996"
"West","Washington","Home Office","(Sales - Row ID)%","249.47639999999996"
"West","Washington","Home Office","Profit","4289.435200000002"
"West","Washington","Home Office","First Ship Mode",""
