Cat1,Cat2,Month,Sum of Series1
Level1.0000,Level2.0000,January,25767.7999249
Level1.0000,Level2.0000,February,5209.8318421
Level1.0000,Level2.0000,March,82126.663506
Level1.0000,Level2.0000,April,45432.1117975
Level1.0000,Level2.0000,May,89475.1731415
Level1.0000,Level2.0000,June,24273.3534639
Level1.0000,Level2.0000,July,22802.2699957
Level1.0000,Level2.0000,August,21233.85991
Level1.0000,Level2.0000,September,87487.6566981
Level1.0000,Level2.0000,October,76954.9699199
Level1.0000,Level2.0000,November,223.8169097
Level1.0000,Level2.0000,December,52697.7003844
Level1.0000,Level2.0001,January,47068.2394732
Level1.0000,Level2.0001,February,3338.4057946
Level1.0000,Level2.0001,March,56650.6843391
Level1.0000,Level2.0001,April,61839.2557395
Level1.0000,Level2.0001,May,81374.933211
Level1.0000,Level2.0001,June,42492.439639
Level1.0000,Level2.0001,July,8594.1469348
Level1.0000,Level2.0001,August,58433.0726086
Level1.0000,Level2.0001,September,78477.3232741
Level1.0000,Level2.0001,October,15668.4158479
Level1.0000,Level2.0001,November,4353.8453941
Level1.0000,Level2.0001,December,37445.9657364
Level1.0000,Level2.0002,January,8866.149567
Level1.0000,Level2.0002,February,83695.7344069
Level1.0000,Level2.0002,March,44291.7311396
Level1.0000,Level2.0002,April,52291.9592751
Level1.0000,Level2.0002,May,6458.5204848
Level1.0000,Level2.0002,June,20531.1514781
Level1.0000,Level2.0002,July,95779.5581531
Level1.0000,Level2.0002,August,92622.5422685
Level1.0000,Level2.0002,September,16161.0458524
Level1.0000,Level2.0002,October,85154.0993661
Level1.0000,Level2.0002,November,58796.6957785
Level1.0000,Level2.0002,December,1715.6857253
Level1.0000,Level2.0003,January,74029.9947572
Level1.0000,Level2.0003,February,4626.0123374
Level1.0000,Level2.0003,March,25275.6604554
Level1.0000,Level2.0003,April,63260.3289314
Level1.0000,Level2.0003,May,1978.3451792
Level1.0000,Level2.0003,June,84378.7261217
Level1.0000,Level2.0003,July,2315.4393497
Level1.0000,Level2.0003,August,85989.5054711
