Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Quantity),Sum(Orders.Profit),Sum(Orders.Sales)
2014,Furniture,Bookcases,153,-346.1707000000005,20036.6776
2015,Furniture,Bookcases,242,-2755.2302000000004,38543.57249999999
2016,Furniture,Bookcases,197,212.47099999999952,26275.46649999999
2017,Furniture,Bookcases,276,-583.6261000000006,30024.2797
2014,Furniture,Chairs,540,6955.047000000001,77241.576
2015,Furniture,Chairs,528,6228.4160999999995,71734.52900000001
2016,Furniture,Chairs,614,5763.153899999995,83918.6449999999
2017,Furniture,Chairs,674,7643.549299999993,95554.35299999996
2014,Furniture,Furnishings,660,1972.8918999999999,13826.234000000002
2015,Furniture,Furnishings,770,3051.818899999999,21089.711999999978
2016,Furniture,Furnishings,1036,3935.2699999999977,27874.123999999993
2017,Furniture,Furnishings,1097,4099.162800000004,28915.094
2014,Furniture,Tables,270,-3124.0427000000013,46088.365499999985
2015,Furniture,Tables,235,-3509.8019000000013,39150.4235
2016,Furniture,Tables,346,-2950.9418000000014,60833.200500000006
2017,Furniture,Tables,390,-8140.6947,60893.542500000025
2014,New CategoryOct03,ChangedOct03,100,1053.858,309213.48
2015,New CategoryOct03,ChangedOct03,,,
2016,New CategoryOct03,ChangedOct03,,,
2017,New CategoryOct03,ChangedOct03,,,
2014,Newly UpdatedOct03,UpdatedOct03,60,2023.858,359213.48
2015,Newly UpdatedOct03,UpdatedOct03,,,
2016,Newly UpdatedOct03,UpdatedOct03,,,
2017,Newly UpdatedOct03,UpdatedOct03,,,
2014,Office Supplies,Appliances,314,2459.499899999999,15313.625
2015,Office Supplies,Appliances,370,2388.0376999999994,23310.099000000002
2016,Office Supplies,Appliances,396,5301.341499999998,26050.314999999995
2017,Office Supplies,Appliances,654,7865.268299999993,42926.932
2014,Office Supplies,Art,613,1406.8031,6057.982
2015,Office Supplies,Art,608,1485.0581999999995,6236.833999999999
2016,Office Supplies,Art,678,1413.9626000000003,5960.908000000006
2017,Office Supplies,Art,1101,2221.963100000001,8863.067999999996
2014,Office Supplies,Binders,1089,4739.716000000005,43488.265000000014
2015,Office Supplies,Binders,1218,7592.85539999999,37455.642000000065
2016,Office Supplies,Binders,1606,10348.226299999998,50091.30100000003
2017,Office Supplies,Binders,2067,7669.741800000008,72788.04499999993
2014,Office Supplies,Envelopes,206,1495.4787999999999,3855.75
2015,Office Supplies,Envelopes,237,1960.1905999999994,4512.188000000003
2016,Office Supplies,Envelopes,222,2066.7482999999993,4729.89
2017,Office Supplies,Envelopes,241,1441.759,3378.574000000001
2014,Office Supplies,Fasteners,201,178.55829999999992,661.3280000000001
2015,Office Supplies,Fasteners,176,171.9376,545.224
2016,Office Supplies,Fasteners,288,294.07339999999994,960.1339999999999
2017,Office Supplies,Fasteners,249,304.9488999999999,857.5939999999998
2014,Office Supplies,Labels,326,1286.0041999999999,2841.394
2015,Office Supplies,Labels,263,1323.0285999999996,2956.4619999999995
2016,Office Supplies,Labels,363,1192.6118999999999,2827.24
2017,Office Supplies,Labels,448,1744.609299999999,3861.2160000000017
2014,Office Supplies,Paper,1017,6371.021399999998,14834.95599999999
2015,Office Supplies,Paper,1087,6570.169999999998,15287.637999999995
2016,Office Supplies,Paper,1372,9071.534499999992,20661.89399999997
2017,Office Supplies,Paper,1705,12046.286599999996,27710.26999999999
2014,Office Supplies,Storage,679,4179.5963999999985,50994.92199999997
2015,Office Supplies,Storage,655,3505.4600999999984,45048.24800000002
2016,Office Supplies,Storage,808,6204.286800000001,58788.7
2017,Office Supplies,Storage,1022,7402.800699999991,69677.61800000002
2014,Office Supplies,Supplies,130,490.0555999999998,14394.069999999996
2015,Office Supplies,Supplies,109,-24.878400000000056,1952.482
2016,Office Supplies,Supplies,216,-698.9639000000005,14277.576000000001
2017,Office Supplies,Supplies,192,-955.3128000000002,16049.41
2014,Technology,Accessories,580,6402.715000000001,25014.271999999994
2015,Technology,Accessories,635,10197.275200000004,40523.960000000014
2016,Technology,Accessories,682,9664.288500000006,41895.85399999999
2017,Technology,Accessories,1079,15672.357000000004,59946.23199999999
2014,Technology,Copiers,29,2912.9433000000004,10849.782
2015,Technology,Copiers,63,9930.298799999997,26179.45
2016,Technology,Copiers,69,17742.792599999993,49599.41
2017,Technology,Copiers,73,25031.7902,62899.38799999998
2014,Technology,Machines,96,369.16889999999376,62023.37300000001
2015,Technology,Machines,94,2977.4855999999995,27763.697
2016,Technology,Machines,129,2907.317999999994,55906.886000000006
2017,Technology,Machines,121,-2869.2156000000014,43544.674999999996
2014,Technology,Phones,688,11876.362100000006,78302.23000000001
2015,Technology,Phones,697,10398.807399999998,68313.70200000002
2016,Technology,Phones,818,9459.5929,78962.02999999997
2017,Technology,Phones,1090,12849.325000000006,105340.51599999999
