New Report.CO_DIV_FIP NO,Min(New Report.SHIPMENT_TYPE)
AI/AP/10/2021,40HC
AI/AP/2/2021,40HC
AI/AP/4/2021,40HC
AI/AP/40001/2022,LCL
AI/AP/40002/2021,LCL
AI/AP/40003/2021,LCL
AI/AP/40004/2022,LCL
AI/AP/9/2021,LCL
AI/FR/1/2023,LCL
AI/FR/1000/2023,LCL
AI/FR/1000/2024,LCL
AI/FR/1002/2024,LCL
AI/FR/1006/2024,LCL
AI/FR/1010/2024,LCL
AI/FR/1011/2023,LCL
AI/FR/1011/2024,LCL
AI/FR/1012/2024,LCL
AI/FR/1013/2024,LCL
AI/FR/1015/2023,LCL
AI/FR/1020/2023,LCL
AI/FR/1024/2024,LCL
AI/FR/1027/2024,LCL
AI/FR/1029/2024,LCL
AI/FR/1030/2023,40GP
AI/FR/1030/2024,LCL
AI/FR/1031/2023,LCL
AI/FR/1031/2024,LCL
AI/FR/1034/2023,LCL
AI/FR/1040/2023,LCL
AI/FR/1043/2023,40GP
AI/FR/1047/2023,LCL
AI/FR/1052/2023,40GP
AI/FR/1058/2024,LCL
AI/FR/1059/2023,LCL
AI/FR/1060/2023,LCL
AI/FR/1061/2023,20GP
AI/FR/1063/2023,LCL
AI/FR/1063/2024,LCL
AI/FR/1064/2023,40GP
AI/FR/1065/2023,LCL
AI/FR/107/2024,LCL
AI/FR/1078/2023,LCL
AI/FR/1085/2024,LCL
AI/FR/1089/2023,LCL
AI/FR/1089/2024,LCL
AI/FR/1092/2023,LCL
AI/FR/1093/2023,LCL
AI/FR/1094/2023,LCL
AI/FR/1095/2024,LCL
AI/FR/1096/2024,LCL
AI/FR/1103/2024,LCL
AI/FR/1110/2023,LCL
AI/FR/1111/2023,LCL
AI/FR/1115/2023,LCL
AI/FR/112/2024,LCL
AI/FR/1123/2023,LCL
AI/FR/1123/2024,LCL
AI/FR/1124/2023,LCL
AI/FR/1125/2024,LCL
AI/FR/1126/2023,LCL
AI/FR/1127/2023,LCL
AI/FR/1128/2023,LCL
AI/FR/114/2024,LCL
AI/FR/115/2024,LCL
AI/FR/1151/2023,LCL
AI/FR/1152/2023,LCL
AI/FR/116/2024,LCL
AI/FR/1166/2024,LCL
AI/FR/1167/2023,LCL
AI/FR/1168/2023,LCL
AI/FR/1168/2024,LCL
AI/FR/118/2024,LCL
AI/FR/1181/2024,LCL
AI/FR/1182/2024,LCL
AI/FR/1189/2023,40GP
AI/FR/119/2024,LCL
AI/FR/1198/2023,LCL
AI/FR/121/2024,LCL
AI/FR/1210/2023,LCL
AI/FR/1211/2023,LCL
AI/FR/1212/2023,LCL
AI/FR/1221/2024,LCL
AI/FR/1222/2023,LCL
AI/FR/1223/2023,LCL
AI/FR/1223/2024,LCL
AI/FR/1224/2024,LCL
AI/FR/1226/2023,LCL
AI/FR/1234/2023,LCL
AI/FR/1244/2023,LCL
AI/FR/1248/2023,LCL
AI/FR/1259/2023,LCL
AI/FR/1266/2024,LCL
AI/FR/1269/2023,LCL
AI/FR/1271/2024,LCL
AI/FR/1299/2024,LCL
AI/FR/1303/2023,20GP
AI/FR/1307/2024,LCL
AI/FR/1308/2024,LCL
AI/FR/131/2024,LCL
AI/FR/1310/2023,LCL
AI/FR/1313/2023,LCL
AI/FR/1317/2023,LCL
AI/FR/1319/2024,LCL
AI/FR/1320/2023,LCL
AI/FR/1321/2023,LCL
AI/FR/1322/2023,LCL
AI/FR/1323/2024,LCL
AI/FR/135/2024,LCL
AI/FR/1355/2023,LCL
AI/FR/136/2024,LCL
AI/FR/1365/2023,LCL
AI/FR/1366/2023,LCL
AI/FR/138/2024,LCL
AI/FR/1381/2023,LCL
AI/FR/1382/2023,LCL
AI/FR/1383/2023,LCL
AI/FR/1384/2023,LCL
AI/FR/1385/2023,20GP
AI/FR/1387/2023,LCL
AI/FR/1388/2023,LCL
AI/FR/1400/2023,LCL
AI/FR/1405/2024,LCL
AI/FR/1406/2024,LCL
AI/FR/1407/2024,LCL
AI/FR/1408/2024,LCL
AI/FR/1412/2024,LCL
AI/FR/1413/2024,LCL
AI/FR/1422/2024,LCL
AI/FR/1425/2024,LCL
