Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales),Sum(Orders.Profit)
Qtr 1,2014,Furniture,Bookcases,2716.5009999999997,-468.0098
Qtr 2,2014,Furniture,Bookcases,1708.7035999999998,-214.3451
Qtr 3,2014,Furniture,Bookcases,4676.4188,310.71799999999985
Qtr 4,2014,Furniture,Bookcases,10935.0542,25.466199999999446
Qtr 1,2015,Furniture,Bookcases,4714.1896,-602.0130000000004
Qtr 2,2015,Furniture,Bookcases,3275.4674999999997,-279.89830000000006
Qtr 3,2015,Furniture,Bookcases,17350.5572,-1705.2543999999998
Qtr 4,2015,Furniture,Bookcases,13203.358199999997,-168.0645000000007
Qtr 1,2016,Furniture,Bookcases,3571.3709999999996,-105.96419999999998
Qtr 2,2016,Furniture,Bookcases,4153.811,416.30459999999994
Qtr 3,2016,Furniture,Bookcases,9759.859699999999,-115.84420000000027
Qtr 4,2016,Furniture,Bookcases,8790.4248,17.974799999999732
Qtr 1,2017,Furniture,Bookcases,3351.8362,193.1323999999998
Qtr 2,2017,Furniture,Bookcases,11019.709499999997,109.38829999999993
Qtr 3,2017,Furniture,Bookcases,5796.223,7.617999999999853
Qtr 4,2017,Furniture,Bookcases,9856.511,-893.7647999999999
Qtr 1,2014,Furniture,Chairs,10091.3,1403.0951999999995
Qtr 2,2014,Furniture,Chairs,13341.776,1072.0673000000002
Qtr 3,2014,Furniture,Chairs,22804.367,1871.8918000000003
Qtr 4,2014,Furniture,Chairs,31004.132999999998,2607.9927
Qtr 1,2015,Furniture,Chairs,9446.913000000002,570.4531999999997
Qtr 2,2015,Furniture,Chairs,13891.441999999995,968.0627999999997
Qtr 3,2015,Furniture,Chairs,18272.499,2130.7211999999986
Qtr 4,2015,Furniture,Chairs,30123.675,2559.1788999999994
Qtr 1,2016,Furniture,Chairs,9348.726,365.3858
Qtr 2,2016,Furniture,Chairs,18979.248999999993,1601.4947999999993
Qtr 3,2016,Furniture,Chairs,21556.075999999994,914.7576999999997
Qtr 4,2016,Furniture,Chairs,34034.594000000005,2881.5155999999984
Qtr 1,2017,Furniture,Chairs,11325.496999999998,1078.7215999999996
Qtr 2,2017,Furniture,Chairs,19731.315000000002,1270.9527999999987
Qtr 3,2017,Furniture,Chairs,30300.431000000004,2422.000199999999
Qtr 4,2017,Furniture,Chairs,34197.109999999986,2871.874699999999
Qtr 1,2014,Furniture,Furnishings,1584.8780000000004,183.5819
Qtr 2,2014,Furniture,Furnishings,2196.9620000000004,351.87749999999994
Qtr 3,2014,Furniture,Furnishings,4861.336,1105.4804
Qtr 4,2014,Furniture,Furnishings,5183.057999999999,331.95209999999946
Qtr 1,2015,Furniture,Furnishings,2912.1760000000004,324.25899999999996
Qtr 2,2015,Furniture,Furnishings,7022.307999999998,1057.3146999999997
Qtr 3,2015,Furniture,Furnishings,4457.988,860.5155
Qtr 4,2015,Furniture,Furnishings,6697.24,809.7296999999996
Qtr 1,2016,Furniture,Furnishings,4198.187999999999,682.5569999999998
Qtr 2,2016,Furniture,Furnishings,5269.216000000001,359.7669000000002
Qtr 3,2016,Furniture,Furnishings,6338.937999999997,737.0448999999999
Qtr 4,2016,Furniture,Furnishings,12067.781999999996,2155.9011999999984
Qtr 1,2017,Furniture,Furnishings,2759.1,349.9274
Qtr 2,2017,Furniture,Furnishings,5866.7779999999975,937.2551999999994
Qtr 3,2017,Furniture,Furnishings,7789.294000000001,1233.814999999999
Qtr 4,2017,Furniture,Furnishings,12499.922,1578.1652000000001
Qtr 1,2014,Furniture,Tables,8263.460000000001,-1321.1641000000002
Qtr 2,2014,Furniture,Tables,10816.307999999999,-408.78190000000075
Qtr 3,2014,Furniture,Tables,9615.756500000001,-391.77420000000075
Qtr 4,2014,Furniture,Tables,17392.841,-1002.3225000000003
Qtr 1,2015,Furniture,Tables,10300.82,-1456.9471000000003
Qtr 2,2015,Furniture,Tables,3375.6105,-918.9040000000002
Qtr 3,2015,Furniture,Tables,9504.991,-748.4285000000003
Qtr 4,2015,Furniture,Tables,15969.001999999999,-385.5223000000002
Qtr 1,2016,Furniture,Tables,7231.101,-816.2507
Qtr 2,2016,Furniture,Tables,13000.220999999998,-294.52550000000053
Qtr 3,2016,Furniture,Tables,15159.7585,-288.59430000000026
Qtr 4,2016,Furniture,Tables,25442.12,-1551.5713
Qtr 1,2017,Furniture,Tables,6287.381,-859.4105000000002
Qtr 2,2017,Furniture,Tables,8414.300500000001,-1283.0212
Qtr 3,2017,Furniture,Tables,12397.153999999999,-1467.8860999999997
Qtr 4,2017,Furniture,Tables,33794.707,-4530.376899999999
Qtr 1,2014,Office Supplies,Appliances,905.462,-252.46000000000004
Qtr 2,2014,Office Supplies,Appliances,3726.4219999999996,959.8454999999998
Qtr 3,2014,Office Supplies,Appliances,4591.7570000000005,320.6246
Qtr 4,2014,Office Supplies,Appliances,6089.983999999999,1431.4897999999996
Qtr 1,2015,Office Supplies,Appliances,2119.8039999999996,-39.107500000000016
Qtr 2,2015,Office Supplies,Appliances,6610.725999999999,-523.312600000001
Qtr 3,2015,Office Supplies,Appliances,3321.588,694.2234999999998
Qtr 4,2015,Office Supplies,Appliances,11189.171000000002,2380.0922999999993
Qtr 1,2016,Office Supplies,Appliances,3274.4959999999996,497.55929999999995
Qtr 2,2016,Office Supplies,Appliances,4327.446,521.5242999999999
Qtr 3,2016,Office Supplies,Appliances,7761.788,1218.740099999999
Qtr 4,2016,Office Supplies,Appliances,10686.584999999997,3063.5178
Qtr 1,2017,Office Supplies,Appliances,8543.096,1708.7566999999995
Qtr 2,2017,Office Supplies,Appliances,6382.601999999999,1445.0907999999997
Qtr 3,2017,Office Supplies,Appliances,11402.807999999997,2244.7142000000013
Qtr 4,2017,Office Supplies,Appliances,16598.426,2466.706599999999
Qtr 1,2014,Office Supplies,Art,663.922,173.1049
Qtr 2,2014,Office Supplies,Art,1542.2479999999998,406.8376999999998
Qtr 3,2014,Office Supplies,Art,1219.5620000000001,312.47729999999996
Qtr 4,2014,Office Supplies,Art,2632.249999999999,514.3832000000001
Qtr 1,2015,Office Supplies,Art,700.1940000000001,169.44740000000002
Qtr 2,2015,Office Supplies,Art,1567.8720000000003,323.3574
Qtr 3,2015,Office Supplies,Art,1756.818,407.5025
Qtr 4,2015,Office Supplies,Art,2211.9500000000003,584.7508999999999
Qtr 1,2016,Office Supplies,Art,845.9960000000001,169.82289999999992
Qtr 2,2016,Office Supplies,Art,1468.1740000000002,365.35349999999994
Qtr 3,2016,Office Supplies,Art,1869.692,407.21139999999997
Qtr 4,2016,Office Supplies,Art,1777.0460000000005,471.57479999999987
Qtr 1,2017,Office Supplies,Art,1123.746,292.9129000000001
Qtr 2,2017,Office Supplies,Art,2277.392000000001,579.4465999999999
Qtr 3,2017,Office Supplies,Art,2570.372,716.417
Qtr 4,2017,Office Supplies,Art,2891.5580000000004,633.1865999999995
Qtr 1,2014,Office Supplies,Binders,2679.445,633.5917999999997
Qtr 2,2014,Office Supplies,Binders,9633.848999999995,2161.8373
Qtr 3,2014,Office Supplies,Binders,19929.495000000006,2319.101199999996
Qtr 4,2014,Office Supplies,Binders,11245.476,-374.8143000000022
Qtr 1,2015,Office Supplies,Binders,11269.445999999996,5235.425100000002
Qtr 2,2015,Office Supplies,Binders,11218.133000000002,3373.4824999999987
Qtr 3,2015,Office Supplies,Binders,6295.6140000000005,272.71450000000016
Qtr 4,2015,Office Supplies,Binders,8669.905,-1284.9507000000003
Qtr 1,2016,Office Supplies,Binders,3541.993000000001,1133.8051
Qtr 2,2016,Office Supplies,Binders,4687.897000000002,-1643.0190000000002
Qtr 3,2016,Office Supplies,Binders,12603.913999999993,235.95200000000023
Qtr 4,2016,Office Supplies,Binders,28849.520999999968,10488.896000000004
Qtr 1,2017,Office Supplies,Binders,12849.033,1668.9482999999989
Qtr 2,2017,Office Supplies,Binders,10271.180000000002,2719.977999999999
Qtr 3,2017,Office Supplies,Binders,27501.847000000012,5479.525
Qtr 4,2017,Office Supplies,Binders,22165.985000000004,-2198.7094999999977
Qtr 1,2014,Office Supplies,Envelopes,547.5600000000001,199.99309999999997
Qtr 2,2014,Office Supplies,Envelopes,718.106,316.0028
Qtr 3,2014,Office Supplies,Envelopes,721.5679999999999,295.3433
Qtr 4,2014,Office Supplies,Envelopes,1868.516,684.1396
Qtr 1,2015,Office Supplies,Envelopes,597.348,284.64329999999995
Qtr 2,2015,Office Supplies,Envelopes,841.788,354.28349999999995
Qtr 3,2015,Office Supplies,Envelopes,1180.74,513.5864
Qtr 4,2015,Office Supplies,Envelopes,1892.3119999999994,807.6773999999998
Qtr 1,2016,Office Supplies,Envelopes,1081.94,450.9712999999999
Qtr 2,2016,Office Supplies,Envelopes,416.80800000000005,193.43089999999998
Qtr 3,2016,Office Supplies,Envelopes,1586.702,683.1735999999997
Qtr 4,2016,Office Supplies,Envelopes,1644.4399999999998,739.1725000000001
Qtr 1,2017,Office Supplies,Envelopes,848.1320000000001,352.40509999999995
Qtr 2,2017,Office Supplies,Envelopes,578.398,247.08599999999998
Qtr 3,2017,Office Supplies,Envelopes,588.6999999999999,245.54799999999997
Qtr 4,2017,Office Supplies,Envelopes,1363.3440000000003,596.7198999999999
Qtr 1,2014,Office Supplies,Fasteners,97.65,10.201099999999997
Qtr 2,2014,Office Supplies,Fasteners,159.552,28.43779999999999
Qtr 3,2014,Office Supplies,Fasteners,205.696,74.86630000000001
Qtr 4,2014,Office Supplies,Fasteners,198.42999999999998,65.0531
Qtr 1,2015,Office Supplies,Fasteners,74.238,28.217299999999998
Qtr 2,2015,Office Supplies,Fasteners,72.27000000000001,17.6771
