Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Sales)
2014,Furniture,Bookcases,-346.1707000000007,20036.677599999995
2015,Furniture,Bookcases,-2755.2302000000004,38543.5725
2016,Furniture,Bookcases,212.47100000000012,26275.466500000002
2017,Furniture,Bookcases,-583.6261000000009,30024.2797
2014,Furniture,Chairs,6955.047000000002,77241.576
2015,Furniture,Chairs,6228.416100000001,71734.529
2016,Furniture,Chairs,5763.153899999994,83918.64499999987
2017,Furniture,Chairs,7643.549299999995,95554.35299999996
2014,Furniture,Furnishings,1972.8918999999987,13826.233999999997
2015,Furniture,Furnishings,3051.818899999999,21089.711999999978
2016,Furniture,Furnishings,3935.2700000000036,27874.123999999996
2017,Furniture,Furnishings,4099.162799999998,28915.093999999994
2014,Furniture,Tables,-3124.042700000002,46088.36549999998
2015,Furniture,Tables,-3509.8019000000013,39150.4235
2016,Furniture,Tables,-2950.941800000003,60833.20049999999
2017,Furniture,Tables,-8140.6947,60893.54250000003
2014,Office Supplies,Appliances,2459.4998999999984,15313.625
2015,Office Supplies,Appliances,2388.0377000000003,23310.099000000002
2016,Office Supplies,Appliances,5301.341499999998,26050.314999999995
2017,Office Supplies,Appliances,7865.268299999991,42926.93200000001
2014,Office Supplies,Art,1406.8030999999996,6057.981999999999
2015,Office Supplies,Art,1485.0581999999995,6236.834
2016,Office Supplies,Art,1413.9626000000005,5960.908000000005
2017,Office Supplies,Art,2221.9631000000018,8863.068000000001
2014,Office Supplies,Binders,4739.715999999999,43488.26500000002
2015,Office Supplies,Binders,7592.855399999989,37455.64200000007
2016,Office Supplies,Binders,10348.226299999998,50091.30100000001
2017,Office Supplies,Binders,7669.741800000009,72788.04499999991
2014,Office Supplies,Envelopes,1495.4787999999994,3855.75
2015,Office Supplies,Envelopes,1960.1905999999994,4512.188000000001
2016,Office Supplies,Envelopes,2066.7482999999997,4729.89
2017,Office Supplies,Envelopes,1441.7590000000002,3378.5740000000005
2014,Office Supplies,Fasteners,178.55829999999995,661.3280000000002
2015,Office Supplies,Fasteners,171.93760000000003,545.224
2016,Office Supplies,Fasteners,294.0734,960.1340000000001
2017,Office Supplies,Fasteners,304.9489,857.5939999999999
2014,Office Supplies,Labels,1286.0041999999999,2841.394
2015,Office Supplies,Labels,1323.0285999999999,2956.4619999999995
2016,Office Supplies,Labels,1192.6118999999997,2827.24
2017,Office Supplies,Labels,1744.6092999999987,3861.216000000002
2014,Office Supplies,Paper,6371.021399999999,14834.955999999993
2015,Office Supplies,Paper,6570.169999999998,15287.637999999997
2016,Office Supplies,Paper,9071.534499999992,20661.893999999964
2017,Office Supplies,Paper,12046.286599999992,27710.269999999982
2014,Office Supplies,Storage,4179.596399999999,50994.921999999984
2015,Office Supplies,Storage,3505.4600999999984,45048.248000000014
2016,Office Supplies,Storage,6204.286799999999,58788.70000000001
2017,Office Supplies,Storage,7402.800699999994,69677.61800000005
2014,Office Supplies,Supplies,490.05559999999986,14394.069999999998
2015,Office Supplies,Supplies,-24.87840000000004,1952.482
2016,Office Supplies,Supplies,-698.9639000000005,14277.576
2017,Office Supplies,Supplies,-955.3128000000002,16049.41
2014,Technology,Accessories,6402.715000000002,25014.271999999986
2015,Technology,Accessories,10197.275200000004,40523.95999999999
2016,Technology,Accessories,9664.288500000002,41895.85400000002
2017,Technology,Accessories,15672.357000000005,59946.23199999996
2014,Technology,Copiers,2912.9433,10849.782000000001
2015,Technology,Copiers,9930.298799999999,26179.45
2016,Technology,Copiers,17742.792599999993,49599.40999999999
2017,Technology,Copiers,25031.790200000003,62899.38799999998
2014,Technology,Machines,369.1688999999933,62023.373
2015,Technology,Machines,2977.4855999999995,27763.697
2016,Technology,Machines,2907.317999999993,55906.886000000006
2017,Technology,Machines,-2869.215600000001,43544.67499999999
2014,Technology,Phones,11876.362100000006,78302.23000000004
2015,Technology,Phones,10398.8074,68313.702
2016,Technology,Phones,9459.59290000001,78962.03000000009
2017,Technology,Phones,12849.325,105340.51599999996
