Region,PL,City,Country,FC,BU,Year,Value Column Name,Value
"Americas","144000","Manaus","Brazil","71000","71000","2017","PY",
"Americas","144000","Manaus","Brazil","71000","71000","2017","AC",
"Americas","144000","Manaus","Brazil","71000","71000","2017","AC - PY",
"Americas","144000","Manaus","Brazil","71000","71000","2017","(AC - PY)%",
"Americas","144000","Manaus","Brazil","71000","71000","2018","PY",
"Americas","144000","Manaus","Brazil","71000","71000","2018","AC",
"Americas","144000","Manaus","Brazil","71000","71000","2018","AC - PY",
"Americas","144000","Manaus","Brazil","71000","71000","2018","(AC - PY)%",
"Americas","144000","Manaus","Brazil","71000","71000","2019","PY","55000"
"Americas","144000","Manaus","Brazil","71000","71000","2019","AC","147000"
"Americas","144000","Manaus","Brazil","71000","71000","2019","AC - PY","92000"
"Americas","144000","Manaus","Brazil","71000","71000","2019","(AC - PY)%","1.6727272727272726"
"Americas","144000","Texas","USA","124000","118000","2017","PY","111000"
"Americas","144000","Texas","USA","124000","118000","2017","AC","112000"
"Americas","144000","Texas","USA","124000","118000","2017","AC - PY","1000"
"Americas","144000","Texas","USA","124000","118000","2017","(AC - PY)%","0.009009009009009009"
"Americas","144000","Texas","USA","124000","118000","2018","PY",
"Americas","144000","Texas","USA","124000","118000","2018","AC",
"Americas","144000","Texas","USA","124000","118000","2018","AC - PY",
"Americas","144000","Texas","USA","124000","118000","2018","(AC - PY)%",
"Americas","144000","Texas","USA","124000","118000","2019","PY",
"Americas","144000","Texas","USA","124000","118000","2019","AC",
"Americas","144000","Texas","USA","124000","118000","2019","AC - PY",
"Americas","144000","Texas","USA","124000","118000","2019","(AC - PY)%",
"Americas","37000","Chicago","Other","113000","77000","2017","PY",
"Americas","37000","Chicago","Other","113000","77000","2017","AC",
"Americas","37000","Chicago","Other","113000","77000","2017","AC - PY",
"Americas","37000","Chicago","Other","113000","77000","2017","(AC - PY)%",
"Americas","37000","Chicago","Other","113000","77000","2018","PY",
"Americas","37000","Chicago","Other","113000","77000","2018","AC",
"Americas","37000","Chicago","Other","113000","77000","2018","AC - PY",
"Americas","37000","Chicago","Other","113000","77000","2018","(AC - PY)%",
"Americas","37000","Chicago","Other","113000","77000","2019","PY","85000"
"Americas","37000","Chicago","Other","113000","77000","2019","AC","125000"
"Americas","37000","Chicago","Other","113000","77000","2019","AC - PY","40000"
"Americas","37000","Chicago","Other","113000","77000","2019","(AC - PY)%","0.4705882352941176"
"Americas","37000","Montreal","Canada","64000","144000","2017","PY",
"Americas","37000","Montreal","Canada","64000","144000","2017","AC",
"Americas","37000","Montreal","Canada","64000","144000","2017","AC - PY",
"Americas","37000","Montreal","Canada","64000","144000","2017","(AC - PY)%",
"Americas","37000","Montreal","Canada","64000","144000","2018","PY","-120000"
"Americas","37000","Montreal","Canada","64000","144000","2018","AC","49000"
"Americas","37000","Montreal","Canada","64000","144000","2018","AC - PY","169000"
"Americas","37000","Montreal","Canada","64000","144000","2018","(AC - PY)%","1.4083333333333334"
"Americas","37000","Montreal","Canada","64000","144000","2019","PY",
"Americas","37000","Montreal","Canada","64000","144000","2019","AC",
"Americas","37000","Montreal","Canada","64000","144000","2019","AC - PY",
"Americas","37000","Montreal","Canada","64000","144000","2019","(AC - PY)%",
"Americas","(Blank)","New York","USA","82000","60000","2017","PY",
"Americas","(Blank)","New York","USA","82000","60000","2017","AC",
"Americas","(Blank)","New York","USA","82000","60000","2017","AC - PY",
"Americas","(Blank)","New York","USA","82000","60000","2017","(AC - PY)%",
"Americas","(Blank)","New York","USA","82000","60000","2018","PY","119000"
"Americas","(Blank)","New York","USA","82000","60000","2018","AC","99000"
"Americas","(Blank)","New York","USA","82000","60000","2018","AC - PY","-20000"
"Americas","(Blank)","New York","USA","82000","60000","2018","(AC - PY)%","-0.16806722689075632"
"Americas","(Blank)","New York","USA","82000","60000","2019","PY",
"Americas","(Blank)","New York","USA","82000","60000","2019","AC",
"Americas","(Blank)","New York","USA","82000","60000","2019","AC - PY",
"Americas","(Blank)","New York","USA","82000","60000","2019","(AC - PY)%",
"Americas","(Blank)","Chicago","Other","147000","56000","2017","PY",
"Americas","(Blank)","Chicago","Other","147000","56000","2017","AC",
"Americas","(Blank)","Chicago","Other","147000","56000","2017","AC - PY",
"Americas","(Blank)","Chicago","Other","147000","56000","2017","(AC - PY)%",
"Americas","(Blank)","Chicago","Other","147000","56000","2018","PY","93000"
"Americas","(Blank)","Chicago","Other","147000","56000","2018","AC","67000"
"Americas","(Blank)","Chicago","Other","147000","56000","2018","AC - PY","-26000"
"Americas","(Blank)","Chicago","Other","147000","56000","2018","(AC - PY)%","-0.27956989247311825"
"Americas","(Blank)","Chicago","Other","147000","56000","2019","PY",
"Americas","(Blank)","Chicago","Other","147000","56000","2019","AC",
"Americas","(Blank)","Chicago","Other","147000","56000","2019","AC - PY",
"Americas","(Blank)","Chicago","Other","147000","56000","2019","(AC - PY)%",
"Americas","83000","Vancouver","Canada","119000","66000","2017","PY",
"Americas","83000","Vancouver","Canada","119000","66000","2017","AC",
"Americas","83000","Vancouver","Canada","119000","66000","2017","AC - PY",
"Americas","83000","Vancouver","Canada","119000","66000","2017","(AC - PY)%",
"Americas","83000","Vancouver","Canada","119000","66000","2018","PY",
"Americas","83000","Vancouver","Canada","119000","66000","2018","AC",
"Americas","83000","Vancouver","Canada","119000","66000","2018","AC - PY",
"Americas","83000","Vancouver","Canada","119000","66000","2018","(AC - PY)%",
"Americas","83000","Vancouver","Canada","119000","66000","2019","PY","111000"
"Americas","83000","Vancouver","Canada","119000","66000","2019","AC","150000"
"Americas","83000","Vancouver","Canada","119000","66000","2019","AC - PY","39000"
"Americas","83000","Vancouver","Canada","119000","66000","2019","(AC - PY)%","0.35135135135135137"
"Americas","38000","Chicago","Other","79000","133000","2017","PY","111000"
"Americas","38000","Chicago","Other","79000","133000","2017","AC","97000"
"Americas","38000","Chicago","Other","79000","133000","2017","AC - PY","-14000"
"Americas","38000","Chicago","Other","79000","133000","2017","(AC - PY)%","-0.12612612612612611"
"Americas","38000","Chicago","Other","79000","133000","2018","PY",
"Americas","38000","Chicago","Other","79000","133000","2018","AC",
"Americas","38000","Chicago","Other","79000","133000","2018","AC - PY",
"Americas","38000","Chicago","Other","79000","133000","2018","(AC - PY)%",
"Americas","38000","Chicago","Other","79000","133000","2019","PY",
"Americas","38000","Chicago","Other","79000","133000","2019","AC",
"Americas","38000","Chicago","Other","79000","133000","2019","AC - PY",
"Americas","38000","Chicago","Other","79000","133000","2019","(AC - PY)%",
"Americas","38000","Montreal","Canada","70000","89000","2017","PY","107000"
"Americas","38000","Montreal","Canada","70000","89000","2017","AC","51000"
"Americas","38000","Montreal","Canada","70000","89000","2017","AC - PY","-56000"
"Americas","38000","Montreal","Canada","70000","89000","2017","(AC - PY)%","-0.5233644859813084"
"Americas","38000","Montreal","Canada","70000","89000","2018","PY",
"Americas","38000","Montreal","Canada","70000","89000","2018","AC",
"Americas","38000","Montreal","Canada","70000","89000","2018","AC - PY",
"Americas","38000","Montreal","Canada","70000","89000","2018","(AC - PY)%",
"Americas","38000","Montreal","Canada","70000","89000","2019","PY",
"Americas","38000","Montreal","Canada","70000","89000","2019","AC",
"Americas","38000","Montreal","Canada","70000","89000","2019","AC - PY",
"Americas","38000","Montreal","Canada","70000","89000","2019","(AC - PY)%",
"Americas","146000","Rio","Brazil","87000","127000","2017","PY","104000"
"Americas","146000","Rio","Brazil","87000","127000","2017","AC","138000"
"Americas","146000","Rio","Brazil","87000","127000","2017","AC - PY","34000"
"Americas","146000","Rio","Brazil","87000","127000","2017","(AC - PY)%","0.3269230769230769"
"Americas","146000","Rio","Brazil","87000","127000","2018","PY",
"Americas","146000","Rio","Brazil","87000","127000","2018","AC",
"Americas","146000","Rio","Brazil","87000","127000","2018","AC - PY",
"Americas","146000","Rio","Brazil","87000","127000","2018","(AC - PY)%",
"Americas","146000","Rio","Brazil","87000","127000","2019","PY",
"Americas","146000","Rio","Brazil","87000","127000","2019","AC",
"Americas","146000","Rio","Brazil","87000","127000","2019","AC - PY",
"Americas","146000","Rio","Brazil","87000","127000","2019","(AC - PY)%",
"Americas","87000","Vancouver","Canada","79000","41000","2017","PY",
"Americas","87000","Vancouver","Canada","79000","41000","2017","AC",
"Americas","87000","Vancouver","Canada","79000","41000","2017","AC - PY",
"Americas","87000","Vancouver","Canada","79000","41000","2017","(AC - PY)%",
"Americas","87000","Vancouver","Canada","79000","41000","2018","PY","102000"
"Americas","87000","Vancouver","Canada","79000","41000","2018","AC","134000"
"Americas","87000","Vancouver","Canada","79000","41000","2018","AC - PY","32000"
"Americas","87000","Vancouver","Canada","79000","41000","2018","(AC - PY)%","0.3137254901960784"
"Americas","87000","Vancouver","Canada","79000","41000","2019","PY",
"Americas","87000","Vancouver","Canada","79000","41000","2019","AC",
"Americas","87000","Vancouver","Canada","79000","41000","2019","AC - PY",
"Americas","87000","Vancouver","Canada","79000","41000","2019","(AC - PY)%",
"Americas","60000","California","USA","85000","129000","2017","PY",
"Americas","60000","California","USA","85000","129000","2017","AC",
"Americas","60000","California","USA","85000","129000","2017","AC - PY",
"Americas","60000","California","USA","85000","129000","2017","(AC - PY)%",
"Americas","60000","California","USA","85000","129000","2018","PY","81000"
"Americas","60000","California","USA","85000","129000","2018","AC","131000"
"Americas","60000","California","USA","85000","129000","2018","AC - PY","50000"
"Americas","60000","California","USA","85000","129000","2018","(AC - PY)%","0.6172839506172839"
"Americas","60000","California","USA","85000","129000","2019","PY",
"Americas","60000","California","USA","85000","129000","2019","AC",
"Americas","60000","California","USA","85000","129000","2019","AC - PY",
"Americas","60000","California","USA","85000","129000","2019","(AC - PY)%",
"Americas","92000","California","USA","144000","121000","2017","PY","90000"
"Americas","92000","California","USA","144000","121000","2017","AC","131000"
"Americas","92000","California","USA","144000","121000","2017","AC - PY","41000"
"Americas","92000","California","USA","144000","121000","2017","(AC - PY)%","0.45555555555555555"
"Americas","92000","California","USA","144000","121000","2018","PY",
"Americas","92000","California","USA","144000","121000","2018","AC",
"Americas","92000","California","USA","144000","121000","2018","AC - PY",
"Americas","92000","California","USA","144000","121000","2018","(AC - PY)%",
"Americas","92000","California","USA","144000","121000","2019","PY",
"Americas","92000","California","USA","144000","121000","2019","AC",
"Americas","92000","California","USA","144000","121000","2019","AC - PY",
"Americas","92000","California","USA","144000","121000","2019","(AC - PY)%",
"Americas","139000","Manaus","Brazil","81000","144000","2017","PY",
"Americas","139000","Manaus","Brazil","81000","144000","2017","AC",
"Americas","139000","Manaus","Brazil","81000","144000","2017","AC - PY",
"Americas","139000","Manaus","Brazil","81000","144000","2017","(AC - PY)%",
"Americas","139000","Manaus","Brazil","81000","144000","2018","PY","-122000"
"Americas","139000","Manaus","Brazil","81000","144000","2018","AC","129000"
"Americas","139000","Manaus","Brazil","81000","144000","2018","AC - PY","251000"
"Americas","139000","Manaus","Brazil","81000","144000","2018","(AC - PY)%","2.057377049180328"
"Americas","139000","Manaus","Brazil","81000","144000","2019","PY",
"Americas","139000","Manaus","Brazil","81000","144000","2019","AC",
"Americas","139000","Manaus","Brazil","81000","144000","2019","AC - PY",
"Americas","139000","Manaus","Brazil","81000","144000","2019","(AC - PY)%",
"Americas","46000","Salvador","Brazil","101000","145000","2017","PY",
"Americas","46000","Salvador","Brazil","101000","145000","2017","AC",
"Americas","46000","Salvador","Brazil","101000","145000","2017","AC - PY",
"Americas","46000","Salvador","Brazil","101000","145000","2017","(AC - PY)%",
"Americas","46000","Salvador","Brazil","101000","145000","2018","PY",
"Americas","46000","Salvador","Brazil","101000","145000","2018","AC",
"Americas","46000","Salvador","Brazil","101000","145000","2018","AC - PY",
"Americas","46000","Salvador","Brazil","101000","145000","2018","(AC - PY)%",
"Americas","46000","Salvador","Brazil","101000","145000","2019","PY","52000"
"Americas","46000","Salvador","Brazil","101000","145000","2019","AC","121000"
"Americas","46000","Salvador","Brazil","101000","145000","2019","AC - PY","69000"
"Americas","46000","Salvador","Brazil","101000","145000","2019","(AC - PY)%","1.3269230769230769"
"Americas","124000","Texas","USA","126000","66000","2017","PY",
"Americas","124000","Texas","USA","126000","66000","2017","AC",
"Americas","124000","Texas","USA","126000","66000","2017","AC - PY",
"Americas","124000","Texas","USA","126000","66000","2017","(AC - PY)%",
"Americas","124000","Texas","USA","126000","66000","2018","PY",
"Americas","124000","Texas","USA","126000","66000","2018","AC",
"Americas","124000","Texas","USA","126000","66000","2018","AC - PY",
"Americas","124000","Texas","USA","126000","66000","2018","(AC - PY)%",
"Americas","124000","Texas","USA","126000","66000","2019","PY","51000"
"Americas","124000","Texas","USA","126000","66000","2019","AC","117000"
"Americas","124000","Texas","USA","126000","66000","2019","AC - PY","66000"
"Americas","124000","Texas","USA","126000","66000","2019","(AC - PY)%","1.2941176470588234"
