Orders.Order Date.Variation.Date Hierarchy.Day,Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Quantity),Sum(Orders.Sales)
3,January,Qtr 1,2014,Furniture,Bookcases,,,
4,January,Qtr 1,2014,Furniture,Bookcases,,,
5,January,Qtr 1,2014,Furniture,Bookcases,,,
6,January,Qtr 1,2014,Furniture,Bookcases,,,
7,January,Qtr 1,2014,Furniture,Bookcases,,,
9,January,Qtr 1,2014,Furniture,Bookcases,,,
10,January,Qtr 1,2014,Furniture,Bookcases,,,
11,January,Qtr 1,2014,Furniture,Bookcases,,,
13,January,Qtr 1,2014,Furniture,Bookcases,3.929400000000008,3,333.99899999999997
14,January,Qtr 1,2014,Furniture,Bookcases,-53.28560000000001,4,61.96
15,January,Qtr 1,2014,Furniture,Bookcases,,,
16,January,Qtr 1,2014,Furniture,Bookcases,,,
18,January,Qtr 1,2014,Furniture,Bookcases,,,
19,January,Qtr 1,2014,Furniture,Bookcases,-320.597,5,181.47000000000003
20,January,Qtr 1,2014,Furniture,Bookcases,,,
21,January,Qtr 1,2014,Furniture,Bookcases,,,
23,January,Qtr 1,2014,Furniture,Bookcases,,,
26,January,Qtr 1,2014,Furniture,Bookcases,39.7488,2,141.96
27,January,Qtr 1,2014,Furniture,Bookcases,,,
28,January,Qtr 1,2014,Furniture,Bookcases,,,
30,January,Qtr 1,2014,Furniture,Bookcases,,,
31,January,Qtr 1,2014,Furniture,Bookcases,3.4195999999999884,2,290.666
1,February,Qtr 1,2014,Furniture,Bookcases,,,
2,February,Qtr 1,2014,Furniture,Bookcases,,,
3,February,Qtr 1,2014,Furniture,Bookcases,,,
4,February,Qtr 1,2014,Furniture,Bookcases,,,
6,February,Qtr 1,2014,Furniture,Bookcases,,,
7,February,Qtr 1,2014,Furniture,Bookcases,,,
8,February,Qtr 1,2014,Furniture,Bookcases,,,
11,February,Qtr 1,2014,Furniture,Bookcases,,,
12,February,Qtr 1,2014,Furniture,Bookcases,,,
14,February,Qtr 1,2014,Furniture,Bookcases,,,
15,February,Qtr 1,2014,Furniture,Bookcases,,,
16,February,Qtr 1,2014,Furniture,Bookcases,,,
17,February,Qtr 1,2014,Furniture,Bookcases,,,
18,February,Qtr 1,2014,Furniture,Bookcases,,,
20,February,Qtr 1,2014,Furniture,Bookcases,,,
21,February,Qtr 1,2014,Furniture,Bookcases,,,
22,February,Qtr 1,2014,Furniture,Bookcases,,,
23,February,Qtr 1,2014,Furniture,Bookcases,,,
24,February,Qtr 1,2014,Furniture,Bookcases,,,
27,February,Qtr 1,2014,Furniture,Bookcases,,,
1,March,Qtr 1,2014,Furniture,Bookcases,,,
2,March,Qtr 1,2014,Furniture,Bookcases,,,
3,March,Qtr 1,2014,Furniture,Bookcases,-199.61700000000002,5,302.45
4,March,Qtr 1,2014,Furniture,Bookcases,,,
5,March,Qtr 1,2014,Furniture,Bookcases,,,
7,March,Qtr 1,2014,Furniture,Bookcases,,,
10,March,Qtr 1,2014,Furniture,Bookcases,,,
11,March,Qtr 1,2014,Furniture,Bookcases,,,
14,March,Qtr 1,2014,Furniture,Bookcases,,,
15,March,Qtr 1,2014,Furniture,Bookcases,,,
16,March,Qtr 1,2014,Furniture,Bookcases,,,
17,March,Qtr 1,2014,Furniture,Bookcases,,,
18,March,Qtr 1,2014,Furniture,Bookcases,70.49000000000001,10,1198.33
19,March,Qtr 1,2014,Furniture,Bookcases,,,
21,March,Qtr 1,2014,Furniture,Bookcases,,,
22,March,Qtr 1,2014,Furniture,Bookcases,,,
23,March,Qtr 1,2014,Furniture,Bookcases,,,
24,March,Qtr 1,2014,Furniture,Bookcases,,,
25,March,Qtr 1,2014,Furniture,Bookcases,,,
26,March,Qtr 1,2014,Furniture,Bookcases,,,
28,March,Qtr 1,2014,Furniture,Bookcases,,,
29,March,Qtr 1,2014,Furniture,Bookcases,,,
30,March,Qtr 1,2014,Furniture,Bookcases,-12.097999999999999,2,205.666
31,March,Qtr 1,2014,Furniture,Bookcases,,,
1,April,Qtr 2,2014,Furniture,Bookcases,,,
2,April,Qtr 2,2014,Furniture,Bookcases,,,
3,April,Qtr 2,2014,Furniture,Bookcases,,,
4,April,Qtr 2,2014,Furniture,Bookcases,,,
5,April,Qtr 2,2014,Furniture,Bookcases,,,
