Table5.Year,Table5.Country,Table5.City,Table5.Region,Sum(Table5.PY),Sum(Table5.PL),Sum(Table5.AC)
2017,China,Beijing,Americas,,,
2018,China,Beijing,Americas,,,
2019,China,Beijing,Americas,,,
2017,Germany,Berlin,Americas,,,
2019,Germany,Berlin,Americas,,,
2017,Australia,Brisbane,Americas,,,
2018,Australia,Brisbane,Americas,,,
2019,Australia,Brisbane,Americas,,,
2017,Belgium,Brussels,Americas,,,
2018,Belgium,Brussels,Americas,,,
2019,Belgium,Brussels,Americas,,,
2017,USA,California,Americas,90000,92000,131000
2018,USA,California,Americas,81000,60000,131000
2019,USA,California,Americas,139000,66000,113000
2017,China,Chengdu,Americas,,,
2018,China,Chengdu,Americas,,,
2019,China,Chengdu,Americas,,,
2017,Other,Chicago,Americas,111000,38000,97000
2018,Other,Chicago,Americas,93000,,67000
2019,Other,Chicago,Americas,85000,37000,125000
2017,Other,Finland,Americas,,,
2018,Other,Finland,Americas,,,
2019,Other,Finland,Americas,,,
2017,Belgium,Flanders,Americas,,,
2018,Belgium,Flanders,Americas,,,
2019,Belgium,Flanders,Americas,,,
2017,Germany,Frankfurt,Americas,,,
2018,Germany,Frankfurt,Americas,,,
2019,Germany,Frankfurt,Americas,,,
2017,Sweden,Gothenburg,Americas,,,
2018,Sweden,Gothenburg,Americas,,,
2019,Sweden,Gothenburg,Americas,,,
2017,Japan,Hiroshima,Americas,,,
2018,Japan,Hiroshima,Americas,,,
2019,Japan,Hiroshima,Americas,,,
2017,Poland,Lublin,Americas,,,
2018,Poland,Lublin,Americas,,,
2019,Poland,Lublin,Americas,,,
2017,Sweden,Malmo,Americas,,,
2018,Sweden,Malmo,Americas,,,
2019,Sweden,Malmo,Americas,,,
2017,Brazil,Manaus,Americas,72000,134000,56000
2018,Brazil,Manaus,Americas,-122000,139000,129000
2019,Brazil,Manaus,Americas,55000,144000,147000
2017,France,Marseille,Americas,,,
2018,France,Marseille,Americas,,,
2019,France,Marseille,Americas,,,
2017,Australia,Melbourne,Americas,,,
2018,Australia,Melbourne,Americas,,,
2017,Canada,Montreal,Americas,107000,38000,51000
2018,Canada,Montreal,Americas,-120000,37000,49000
2019,Canada,Montreal,Americas,86000,53000,39000
2017,USA,New York,Americas,92000,114000,116000
2018,USA,New York,Americas,119000,,99000
2019,USA,New York,Americas,96000,69000,91000
2017,France,Paris,Americas,,,
2018,France,Paris,Americas,,,
2019,France,Paris,Americas,,,
2017,Brazil,Rio,Americas,104000,146000,138000
2018,Brazil,Rio,Americas,78000,70000,105000
2019,Brazil,Rio,Americas,131000,119000,99000
2017,Brazil,Salvador,Americas,121000,101000,39000
2018,Brazil,Salvador,Americas,0,64000,46000
