Retail Orders.Category,Retail Orders.Order Date.Variation.Date Hierarchy.Year,Retail Orders.Order Date.Variation.Date Hierarchy.Quarter,Retail Orders.Order Date.Variation.Date Hierarchy.Month,Retail Orders.Order Date.Variation.Date Hierarchy.Day,Sum(Retail Orders.Sales)
Furniture,2021,Qtr 1,January,2,
Office Supplies,2021,Qtr 1,January,2,161.97
Technology,2021,Qtr 1,January,2,
Furniture,2021,Qtr 1,January,3,836.592
Office Supplies,2021,Qtr 1,January,3,389.3
Technology,2021,Qtr 1,January,3,5059.914
Furniture,2021,Qtr 1,January,4,1324.532
Office Supplies,2021,Qtr 1,January,4,788.838
Technology,2021,Qtr 1,January,4,48.11
Furniture,2021,Qtr 1,January,5,370.62
Office Supplies,2021,Qtr 1,January,5,147.246
Technology,2021,Qtr 1,January,5,
Furniture,2021,Qtr 1,January,7,
Office Supplies,2021,Qtr 1,January,7,193.586
Technology,2021,Qtr 1,January,7,1530.79
Furniture,2021,Qtr 1,January,8,19.312
Office Supplies,2021,Qtr 1,January,8,65.608
Technology,2021,Qtr 1,January,8,1039.728
Furniture,2021,Qtr 1,January,9,191.82
Office Supplies,2021,Qtr 1,January,9,4993.394
Technology,2021,Qtr 1,January,9,580.938
Furniture,2021,Qtr 1,January,10,567.286
Office Supplies,2021,Qtr 1,January,10,64.716
Technology,2021,Qtr 1,January,10,149.412
Furniture,2021,Qtr 1,January,11,
Office Supplies,2021,Qtr 1,January,11,363.462
Technology,2021,Qtr 1,January,11,89.912
Furniture,2021,Qtr 1,January,12,1801.265
Office Supplies,2021,Qtr 1,January,12,4382.352
Technology,2021,Qtr 1,January,12,1181.838
Furniture,2021,Qtr 1,January,14,315.776
Office Supplies,2021,Qtr 1,January,14,89.568
Technology,2021,Qtr 1,January,14,
Furniture,2021,Qtr 1,January,15,181.797
Office Supplies,2021,Qtr 1,January,15,265.156
Technology,2021,Qtr 1,January,15,254.97
Furniture,2021,Qtr 1,January,16,
Office Supplies,2021,Qtr 1,January,16,11.648
Technology,2021,Qtr 1,January,16,90.57
Furniture,2021,Qtr 1,January,17,322.59
Office Supplies,2021,Qtr 1,January,17,
Technology,2021,Qtr 1,January,17,717.96
Furniture,2021,Qtr 1,January,21,1167.056
Office Supplies,2021,Qtr 1,January,21,
Technology,2021,Qtr 1,January,21,
Furniture,2021,Qtr 1,January,22,575.308
Office Supplies,2021,Qtr 1,January,22,176.77
Technology,2021,Qtr 1,January,22,165.552
Furniture,2021,Qtr 1,January,23,59.99
Office Supplies,2021,Qtr 1,January,23,1572.33
Technology,2021,Qtr 1,January,23,99.98
Furniture,2021,Qtr 1,January,24,
Office Supplies,2021,Qtr 1,January,24,31.36
Technology,2021,Qtr 1,January,24,
Furniture,2021,Qtr 1,January,25,359.702
Office Supplies,2021,Qtr 1,January,25,499.01
Technology,2021,Qtr 1,January,25,
Furniture,2021,Qtr 1,January,28,
Office Supplies,2021,Qtr 1,January,28,39.68
Technology,2021,Qtr 1,January,28,
Furniture,2021,Qtr 1,January,30,1109.848
Office Supplies,2021,Qtr 1,January,30,557.5
Technology,2021,Qtr 1,January,30,1439.968
Furniture,2021,Qtr 1,January,31,
Office Supplies,2021,Qtr 1,January,31,1491.962
Technology,2021,Qtr 1,January,31,109.592
Furniture,2021,Qtr 1,February,1,173.94
Office Supplies,2021,Qtr 1,February,1,
Technology,2021,Qtr 1,February,1,231.98
Furniture,2021,Qtr 1,February,2,92.474
Office Supplies,2021,Qtr 1,February,2,154.36
Technology,2021,Qtr 1,February,2,8749.95
Furniture,2021,Qtr 1,February,4,1454.9
Office Supplies,2021,Qtr 1,February,4,
Technology,2021,Qtr 1,February,4,
Furniture,2021,Qtr 1,February,5,781.06
Office Supplies,2021,Qtr 1,February,5,317.076
Technology,2021,Qtr 1,February,5,
Furniture,2021,Qtr 1,February,6,
Office Supplies,2021,Qtr 1,February,6,157.844
Technology,2021,Qtr 1,February,6,
Furniture,2021,Qtr 1,February,7,723.614
Office Supplies,2021,Qtr 1,February,7,49.172
Technology,2021,Qtr 1,February,7,
Furniture,2021,Qtr 1,February,8,136.464
Office Supplies,2021,Qtr 1,February,8,12.544
Technology,2021,Qtr 1,February,8,333.576
Furniture,2021,Qtr 1,February,9,1476.154
Office Supplies,2021,Qtr 1,February,9,689.751
Technology,2021,Qtr 1,February,9,4626.288
Furniture,2021,Qtr 1,February,10,
Office Supplies,2021,Qtr 1,February,10,953.022
Technology,2021,Qtr 1,February,10,17499.95
Furniture,2021,Qtr 1,February,12,868.804
Office Supplies,2021,Qtr 1,February,12,3020.262
Technology,2021,Qtr 1,February,12,795.55
Furniture,2021,Qtr 1,February,13,
Office Supplies,2021,Qtr 1,February,13,146.82
Technology,2021,Qtr 1,February,13,
Furniture,2021,Qtr 1,February,14,560.991
Office Supplies,2021,Qtr 1,February,14,276.93
Technology,2021,Qtr 1,February,14,
Furniture,2021,Qtr 1,February,15,
Office Supplies,2021,Qtr 1,February,15,407.072
Technology,2021,Qtr 1,February,15,
Furniture,2021,Qtr 1,February,16,935.644
Office Supplies,2021,Qtr 1,February,16,110.024
Technology,2021,Qtr 1,February,16,89.97
Furniture,2021,Qtr 1,February,19,44.46
Office Supplies,2021,Qtr 1,February,19,348.2
Technology,2021,Qtr 1,February,19,
Furniture,2021,Qtr 1,February,20,
Office Supplies,2021,Qtr 1,February,20,16.496
Technology,2021,Qtr 1,February,20,
Furniture,2021,Qtr 1,February,21,204.75
Office Supplies,2021,Qtr 1,February,21,1266.406
Technology,2021,Qtr 1,February,21,52.97
Furniture,2021,Qtr 1,February,22,
Office Supplies,2021,Qtr 1,February,22,500.97
Technology,2021,Qtr 1,February,22,482.2
Furniture,2021,Qtr 1,February,23,
Office Supplies,2021,Qtr 1,February,23,57.576
Technology,2021,Qtr 1,February,23,
Furniture,2021,Qtr 1,February,25,
Office Supplies,2021,Qtr 1,February,25,46.72
Technology,2021,Qtr 1,February,25,
Furniture,2021,Qtr 1,February,27,16.192
Office Supplies,2021,Qtr 1,February,27,227.7
Technology,2021,Qtr 1,February,27,
Furniture,2021,Qtr 1,February,28,
Office Supplies,2021,Qtr 1,February,28,36.48
Technology,2021,Qtr 1,February,28,
Furniture,2021,Qtr 1,March,1,1592.85
Office Supplies,2021,Qtr 1,March,1,126.34
Technology,2021,Qtr 1,March,1,376.64
Furniture,2021,Qtr 1,March,2,866.4
Office Supplies,2021,Qtr 1,March,2,
Technology,2021,Qtr 1,March,2,
Furniture,2021,Qtr 1,March,3,1236.606
Office Supplies,2021,Qtr 1,March,3,4651.41
Technology,2021,Qtr 1,March,3,1376.406
Furniture,2021,Qtr 1,March,4,71.12
Office Supplies,2021,Qtr 1,March,4,110.118
Technology,2021,Qtr 1,March,4,259.96
Furniture,2021,Qtr 1,March,5,51.968
Office Supplies,2021,Qtr 1,March,5,257.612
Technology,2021,Qtr 1,March,5,789.433
Furniture,2021,Qtr 1,March,6,71.088
Office Supplies,2021,Qtr 1,March,6,
Technology,2021,Qtr 1,March,6,
Furniture,2021,Qtr 1,March,7,
Office Supplies,2021,Qtr 1,March,7,847.7
Technology,2021,Qtr 1,March,7,
Furniture,2021,Qtr 1,March,8,
Office Supplies,2021,Qtr 1,March,8,81.54
Technology,2021,Qtr 1,March,8,167.28
Furniture,2021,Qtr 1,March,9,642.396
Office Supplies,2021,Qtr 1,March,9,1442.418
Technology,2021,Qtr 1,March,9,280.782
Furniture,2021,Qtr 1,March,10,1552.508
Office Supplies,2021,Qtr 1,March,10,128.188
Technology,2021,Qtr 1,March,10,
Furniture,2021,Qtr 1,March,11,1554.779
Office Supplies,2021,Qtr 1,March,11,1913.076
Technology,2021,Qtr 1,March,11,334.941
Furniture,2021,Qtr 1,March,12,2140.888
Office Supplies,2021,Qtr 1,March,12,1478.978
Technology,2021,Qtr 1,March,12,1649.95
Furniture,2021,Qtr 1,March,13,1100.425
Office Supplies,2021,Qtr 1,March,13,6194.303
Technology,2021,Qtr 1,March,13,1572.154
Furniture,2021,Qtr 1,March,14,476.736
Office Supplies,2021,Qtr 1,March,14,192.632
Technology,2021,Qtr 1,March,14,
Furniture,2021,Qtr 1,March,15,1880.462
Office Supplies,2021,Qtr 1,March,15,392.37
Technology,2021,Qtr 1,March,15,83.976
Furniture,2021,Qtr 1,March,17,971.5
Office Supplies,2021,Qtr 1,March,17,1174.07
Technology,2021,Qtr 1,March,17,214.764
Furniture,2021,Qtr 1,March,18,189.882
Office Supplies,2021,Qtr 1,March,18,871.8
Technology,2021,Qtr 1,March,18,
Furniture,2021,Qtr 1,March,19,107.594
Office Supplies,2021,Qtr 1,March,19,31.086
Technology,2021,Qtr 1,March,19,
Furniture,2021,Qtr 1,March,20,783.61
Office Supplies,2021,Qtr 1,March,20,47.925
Technology,2021,Qtr 1,March,20,96.776
Furniture,2021,Qtr 1,March,21,627.802
Office Supplies,2021,Qtr 1,March,21,17.904
Technology,2021,Qtr 1,March,21,
Furniture,2021,Qtr 1,March,22,167.888
Office Supplies,2021,Qtr 1,March,22,
Technology,2021,Qtr 1,March,22,58.58
Furniture,2021,Qtr 1,March,24,301.47
Office Supplies,2021,Qtr 1,March,24,41.136
Technology,2021,Qtr 1,March,24,403.168
Furniture,2021,Qtr 1,March,25,
Office Supplies,2021,Qtr 1,March,25,59.52
Technology,2021,Qtr 1,March,25,1287.45
Furniture,2021,Qtr 1,March,26,
Office Supplies,2021,Qtr 1,March,26,562.27
Technology,2021,Qtr 1,March,26,119.976
Furniture,2021,Qtr 1,March,27,60.16
Office Supplies,2021,Qtr 1,March,27,32.54
Technology,2021,Qtr 1,March,27,
Furniture,2021,Qtr 1,March,28,
Office Supplies,2021,Qtr 1,March,28,125.3
Technology,2021,Qtr 1,March,28,
Furniture,2021,Qtr 1,March,29,1558.091
Office Supplies,2021,Qtr 1,March,29,130.136
Technology,2021,Qtr 1,March,29,971.112
Furniture,2021,Qtr 1,March,30,
Office Supplies,2021,Qtr 1,March,30,11.34
Technology,2021,Qtr 1,March,30,
Furniture,2021,Qtr 1,March,31,327.996
Office Supplies,2021,Qtr 1,March,31,
Technology,2021,Qtr 1,March,31,312.766
Furniture,2021,Qtr 2,April,1,
Office Supplies,2021,Qtr 2,April,1,109.252
Technology,2021,Qtr 2,April,1,959.968
Furniture,2021,Qtr 2,April,2,14.368
Office Supplies,2021,Qtr 2,April,2,93.02
Technology,2021,Qtr 2,April,2,90.48
Furniture,2021,Qtr 2,April,3,
Office Supplies,2021,Qtr 2,April,3,155.47
Technology,2021,Qtr 2,April,3,159.98
Furniture,2021,Qtr 2,April,4,82.64
Office Supplies,2021,Qtr 2,April,4,647.614
Technology,2021,Qtr 2,April,4,239.94
Furniture,2021,Qtr 2,April,6,810.541
Office Supplies,2021,Qtr 2,April,6,124.148
Technology,2021,Qtr 2,April,6,1381.834
Furniture,2021,Qtr 2,April,7,1329.965
Office Supplies,2021,Qtr 2,April,7,71.88
Technology,2021,Qtr 2,April,7,249.456
Furniture,2021,Qtr 2,April,8,109.8
Office Supplies,2021,Qtr 2,April,8,85.726
Technology,2021,Qtr 2,April,8,302.384
Furniture,2021,Qtr 2,April,9,130.81
Office Supplies,2021,Qtr 2,April,9,1321.322
Technology,2021,Qtr 2,April,9,3079.91
Furniture,2021,Qtr 2,April,10,250.94
Office Supplies,2021,Qtr 2,April,10,209.252
Technology,2021,Qtr 2,April,10,5452.59
Furniture,2021,Qtr 2,April,11,2007.59
Office Supplies,2021,Qtr 2,April,11,1194.828
Technology,2021,Qtr 2,April,11,686.4
Furniture,2021,Qtr 2,April,12,113.79
Office Supplies,2021,Qtr 2,April,12,752.346
Technology,2021,Qtr 2,April,12,78.15
Furniture,2021,Qtr 2,April,13,
Office Supplies,2021,Qtr 2,April,13,6.12
Technology,2021,Qtr 2,April,13,
Furniture,2021,Qtr 2,April,14,1317.336
Office Supplies,2021,Qtr 2,April,14,149.236
Technology,2021,Qtr 2,April,14,
Furniture,2021,Qtr 2,April,15,1121.568
Office Supplies,2021,Qtr 2,April,15,379.584
Technology,2021,Qtr 2,April,15,700.704
Furniture,2021,Qtr 2,April,16,9.96
Office Supplies,2021,Qtr 2,April,16,190.028
Technology,2021,Qtr 2,April,16,9135.098
Furniture,2021,Qtr 2,April,17,355.243
Office Supplies,2021,Qtr 2,April,17,29.05
Technology,2021,Qtr 2,April,17,36.792
Furniture,2021,Qtr 2,April,18,472.252
Office Supplies,2021,Qtr 2,April,18,2012.726
Technology,2021,Qtr 2,April,18,29.56
Furniture,2021,Qtr 2,April,19,205.176
Office Supplies,2021,Qtr 2,April,19,1143.016
Technology,2021,Qtr 2,April,19,65.94
Furniture,2021,Qtr 2,April,21,
Office Supplies,2021,Qtr 2,April,21,271.616
Technology,2021,Qtr 2,April,21,
Furniture,2021,Qtr 2,April,22,1414.37
Office Supplies,2021,Qtr 2,April,22,351.095
Technology,2021,Qtr 2,April,22,
Furniture,2021,Qtr 2,April,23,
Office Supplies,2021,Qtr 2,April,23,620.378
Technology,2021,Qtr 2,April,23,99.99
Furniture,2021,Qtr 2,April,24,1325.76
Office Supplies,2021,Qtr 2,April,24,22.644
Technology,2021,Qtr 2,April,24,258.696
Furniture,2021,Qtr 2,April,25,
Office Supplies,2021,Qtr 2,April,25,25.62
Technology,2021,Qtr 2,April,25,82.8
Furniture,2021,Qtr 2,April,26,434.646
Office Supplies,2021,Qtr 2,April,26,
Technology,2021,Qtr 2,April,26,
Furniture,2021,Qtr 2,April,28,71.912
Office Supplies,2021,Qtr 2,April,28,45.184
Technology,2021,Qtr 2,April,28,369.576
Furniture,2021,Qtr 2,April,30,134.496
Office Supplies,2021,Qtr 2,April,30,7.712
Technology,2021,Qtr 2,April,30,
Furniture,2021,Qtr 2,May,1,
Office Supplies,2021,Qtr 2,May,1,5.248
Technology,2021,Qtr 2,May,1,250.656
Furniture,2021,Qtr 2,May,2,816.548
Office Supplies,2021,Qtr 2,May,2,1428.28
Technology,2021,Qtr 2,May,2,749.648
Furniture,2021,Qtr 2,May,3,
Office Supplies,2021,Qtr 2,May,3,162.344
Technology,2021,Qtr 2,May,3,
Furniture,2021,Qtr 2,May,4,
Office Supplies,2021,Qtr 2,May,4,927.552
Technology,2021,Qtr 2,May,4,118.782
Furniture,2021,Qtr 2,May,5,2072.464
Office Supplies,2021,Qtr 2,May,5,205.168
Technology,2021,Qtr 2,May,5,423.648
Furniture,2021,Qtr 2,May,6,
Office Supplies,2021,Qtr 2,May,6,659.82
Technology,2021,Qtr 2,May,6,
Furniture,2021,Qtr 2,May,8,
Office Supplies,2021,Qtr 2,May,8,197.05
Technology,2021,Qtr 2,May,8,
Furniture,2021,Qtr 2,May,9,3461.917
Office Supplies,2021,Qtr 2,May,9,1217.647
Technology,2021,Qtr 2,May,9,546.784
Furniture,2021,Qtr 2,May,11,2964.4408
