Retail Orders.Order Date.Variation.Date Hierarchy.Month,Retail Orders.Order Date.Variation.Date Hierarchy.Quarter,Retail Orders.Order Date.Variation.Date Hierarchy.Year,Retail Orders.Category,Sum(Retail Orders.Profit),Sum(Retail Orders.Sales)
January,Qtr 1,2021,Furniture,-478.7802,9203.494
February,Qtr 1,2021,Furniture,272.9918,7469.447
March,Qtr 1,2021,Furniture,762.1267,18334.219
April,Qtr 2,2021,Furniture,-1163.7345,11713.163
May,Qtr 2,2021,Furniture,2581.2323,22573.3568
June,Qtr 2,2021,Furniture,263.1203,10508.763
July,Qtr 3,2021,Furniture,925.516,12629.456
August,Qtr 3,2021,Furniture,-57.022,22341.8874
September,Qtr 3,2021,Furniture,1202.8601,19236.1933
October,Qtr 4,2021,Furniture,308.8151,13617.351
November,Qtr 4,2021,Furniture,635.4751,20656.933
December,Qtr 4,2021,Furniture,1707.3524,30617.1725
January,Qtr 1,2022,Furniture,1055.0555,17590.714
February,Qtr 1,2022,Furniture,-1262.0537,16798.9664
March,Qtr 1,2022,Furniture,1120.8797,15541.3878
April,Qtr 2,2022,Furniture,-116.2677,11702.1636
May,Qtr 2,2022,Furniture,44.479,10252.8464
June,Qtr 2,2022,Furniture,482.9677,16963.8415
July,Qtr 3,2022,Furniture,529.4882,14045.9405
August,Qtr 3,2022,Furniture,-169.0318,21234.752
September,Qtr 3,2022,Furniture,1478.8255,21929.737
October,Qtr 4,2022,Furniture,-1267.4771,18086.3712
November,Qtr 4,2022,Furniture,-286.4833,29817.705
December,Qtr 4,2022,Furniture,1408.0093,21422.8438
January,Qtr 1,2023,Furniture,1169.0875,12106.27
February,Qtr 1,2023,Furniture,22.0197,1739.33
March,Qtr 1,2023,Furniture,-1524.5706,14412.058
April,Qtr 2,2023,Furniture,159.902,6827.18
May,Qtr 2,2023,Furniture,284.967,5856.862
June,Qtr 2,2023,Furniture,294.353,10401.0066
July,Qtr 3,2023,Furniture,554.9546,12026.57
August,Qtr 3,2023,Furniture,836.1726,12400.0945
September,Qtr 3,2023,Furniture,1079.9783,16038.8908
October,Qtr 4,2023,Furniture,553.1593,13919.121
November,Qtr 4,2023,Furniture,78.5209,21062.4575
December,Qtr 4,2023,Furniture,1949.1812,30403.0127
January,Qtr 1,2024,Furniture,-1219.2328,19024.6324
February,Qtr 1,2024,Furniture,302.3613,8049.983
March,Qtr 1,2024,Furniture,848.1853,13655.3802
April,Qtr 2,2024,Furniture,791.7831,10119.2445
May,Qtr 2,2024,Furniture,727.652,12533.9905
June,Qtr 2,2024,Furniture,97.4158,8322.2182
