Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales),Sum(Orders.Profit)
Qtr 1,2014,Furniture,Bookcases,2716.501,-468.0098
Qtr 2,2014,Furniture,Bookcases,1708.7036,-214.3451
Qtr 3,2014,Furniture,Bookcases,4676.4188,310.718
Qtr 4,2014,Furniture,Bookcases,10935.0542,25.4662
Qtr 1,2015,Furniture,Bookcases,4714.1896,-602.013
Qtr 2,2015,Furniture,Bookcases,3275.4675,-279.8983
Qtr 3,2015,Furniture,Bookcases,17350.5572,-1705.2544
Qtr 4,2015,Furniture,Bookcases,13203.3582,-168.0645
Qtr 1,2016,Furniture,Bookcases,3571.371,-105.9642
Qtr 2,2016,Furniture,Bookcases,4153.811,416.3046
Qtr 3,2016,Furniture,Bookcases,9759.8597,-115.8442
Qtr 4,2016,Furniture,Bookcases,8790.4248,17.9748
Qtr 1,2017,Furniture,Bookcases,3351.8362,193.1324
Qtr 2,2017,Furniture,Bookcases,11019.7095,109.3883
Qtr 3,2017,Furniture,Bookcases,5796.223,7.618
Qtr 4,2017,Furniture,Bookcases,9856.511,-893.7648
Qtr 1,2014,Furniture,Chairs,10091.3,1403.0952
Qtr 2,2014,Furniture,Chairs,13341.776,1072.0673
Qtr 3,2014,Furniture,Chairs,22804.367,1871.8918
Qtr 4,2014,Furniture,Chairs,31004.133,2607.9927
Qtr 1,2015,Furniture,Chairs,9446.913,570.4532
Qtr 2,2015,Furniture,Chairs,13891.442,968.0628
Qtr 3,2015,Furniture,Chairs,18272.499,2130.7212
Qtr 4,2015,Furniture,Chairs,30123.675,2559.1789
Qtr 1,2016,Furniture,Chairs,9348.726,365.3858
Qtr 2,2016,Furniture,Chairs,18979.249,1601.4948
Qtr 3,2016,Furniture,Chairs,21556.076,914.7577
Qtr 4,2016,Furniture,Chairs,34034.594,2881.5156
Qtr 1,2017,Furniture,Chairs,11325.497,1078.7216
Qtr 2,2017,Furniture,Chairs,19731.315,1270.9528
Qtr 3,2017,Furniture,Chairs,30300.431,2422.0002
Qtr 4,2017,Furniture,Chairs,34197.11,2871.8747
Qtr 1,2014,Furniture,Furnishings,1584.878,183.5819
Qtr 2,2014,Furniture,Furnishings,2196.962,351.8775
Qtr 3,2014,Furniture,Furnishings,4861.336,1105.4804
Qtr 4,2014,Furniture,Furnishings,5183.058,331.9521
Qtr 1,2015,Furniture,Furnishings,2912.176,324.259
Qtr 2,2015,Furniture,Furnishings,7022.308,1057.3147
Qtr 3,2015,Furniture,Furnishings,4457.988,860.5155
Qtr 4,2015,Furniture,Furnishings,6697.24,809.7297
Qtr 1,2016,Furniture,Furnishings,4198.188,682.557
Qtr 2,2016,Furniture,Furnishings,5269.216,359.7669
Qtr 3,2016,Furniture,Furnishings,6338.938,737.0449
Qtr 4,2016,Furniture,Furnishings,12067.782,2155.9012
Qtr 1,2017,Furniture,Furnishings,2759.1,349.9274
Qtr 2,2017,Furniture,Furnishings,5866.778,937.2552
Qtr 3,2017,Furniture,Furnishings,7789.294,1233.815
Qtr 4,2017,Furniture,Furnishings,12499.922,1578.1652
Qtr 1,2014,Furniture,Tables,8263.46,-1321.1641
Qtr 2,2014,Furniture,Tables,10816.308,-408.7819
Qtr 3,2014,Furniture,Tables,9615.7565,-391.7742
Qtr 4,2014,Furniture,Tables,17392.841,-1002.3225
Qtr 1,2015,Furniture,Tables,10300.82,-1456.9471
Qtr 2,2015,Furniture,Tables,3375.6105,-918.904
Qtr 3,2015,Furniture,Tables,9504.991,-748.4285
Qtr 4,2015,Furniture,Tables,15969.002,-385.5223
Qtr 1,2016,Furniture,Tables,7231.101,-816.2507
Qtr 2,2016,Furniture,Tables,13000.221,-294.5255
Qtr 3,2016,Furniture,Tables,15159.7585,-288.5943
Qtr 4,2016,Furniture,Tables,25442.12,-1551.5713
Qtr 1,2017,Furniture,Tables,6287.381,-859.4105
Qtr 2,2017,Furniture,Tables,8414.3005,-1283.0212
Qtr 3,2017,Furniture,Tables,12397.154,-1467.8861
Qtr 4,2017,Furniture,Tables,33794.707,-4530.3769
Qtr 1,2014,Office Supplies,Appliances,905.462,-252.46
Qtr 2,2014,Office Supplies,Appliances,3726.422,959.8455
Qtr 3,2014,Office Supplies,Appliances,4591.757,320.6246
Qtr 4,2014,Office Supplies,Appliances,6089.984,1431.4898
Qtr 1,2015,Office Supplies,Appliances,2119.804,-39.1075
Qtr 2,2015,Office Supplies,Appliances,6610.726,-523.3126
Qtr 3,2015,Office Supplies,Appliances,3321.588,694.2235
Qtr 4,2015,Office Supplies,Appliances,11189.171,2380.0923
Qtr 1,2016,Office Supplies,Appliances,3274.496,497.5593
Qtr 2,2016,Office Supplies,Appliances,4327.446,521.5243
Qtr 3,2016,Office Supplies,Appliances,7761.788,1218.7401
Qtr 4,2016,Office Supplies,Appliances,10686.585,3063.5178
Qtr 1,2017,Office Supplies,Appliances,8543.096,1708.7567
Qtr 2,2017,Office Supplies,Appliances,6382.602,1445.0908
Qtr 3,2017,Office Supplies,Appliances,11402.808,2244.7142
Qtr 4,2017,Office Supplies,Appliances,16598.426,2466.7066
Qtr 1,2014,Office Supplies,Art,663.922,173.1049
Qtr 2,2014,Office Supplies,Art,1542.248,406.8377
Qtr 3,2014,Office Supplies,Art,1219.562,312.4773
Qtr 4,2014,Office Supplies,Art,2632.25,514.3832
Qtr 1,2015,Office Supplies,Art,700.194,169.4474
Qtr 2,2015,Office Supplies,Art,1567.872,323.3574
Qtr 3,2015,Office Supplies,Art,1756.818,407.5025
Qtr 4,2015,Office Supplies,Art,2211.95,584.7509
Qtr 1,2016,Office Supplies,Art,845.996,169.8229
Qtr 2,2016,Office Supplies,Art,1468.174,365.3535
Qtr 3,2016,Office Supplies,Art,1869.692,407.2114
Qtr 4,2016,Office Supplies,Art,1777.046,471.5748
Qtr 1,2017,Office Supplies,Art,1123.746,292.9129
Qtr 2,2017,Office Supplies,Art,2277.392,579.4466
Qtr 3,2017,Office Supplies,Art,2570.372,716.417
Qtr 4,2017,Office Supplies,Art,2891.558,633.1866
Qtr 1,2014,Office Supplies,Binders,2679.445,633.5918
Qtr 2,2014,Office Supplies,Binders,9633.849,2161.8373
Qtr 3,2014,Office Supplies,Binders,19929.495,2319.1012
Qtr 4,2014,Office Supplies,Binders,11245.476,-374.8143
Qtr 1,2015,Office Supplies,Binders,11269.446,5235.4251
Qtr 2,2015,Office Supplies,Binders,11218.133,3373.4825
Qtr 3,2015,Office Supplies,Binders,6295.614,272.7145
Qtr 4,2015,Office Supplies,Binders,8669.905,-1284.9507
