Cat1,Cat2,Year,Sum of S1,Sum of S2,Sum of S3,Sum of S4
Level1.0001,Level2.0004,2022,927631.2344854001,722623.6343601,579176.9428665999,574286.9911553
Level1.0017,Level2.0003,2022,875387.9049234999,628115.7050255,532356.9041727999,598736.4239675
Level1.0019,Level2.0003,2021,825309.3701405,675974.2850297999,627486.1210664,507148.4667445999
Level1.0012,Level2.0000,2022,796942.6808551,585430.3926347999,776117.2490494999,542809.5610278001
Level1.0017,Level2.0001,2022,772760.9819433,637731.9004167999,615358.6069254,616110.2432258999
Level1.0013,Level2.0000,2021,765011.7514927998,541869.7892704001,501172.55089099996,495277.01391790004
Level1.0009,Level2.0004,2021,761957.5324585,571990.2151713,574165.8527385999,665026.0345369
Level1.0003,Level2.0002,2022,761037.6722888,642738.0957172001,640877.200998,646707.6328039
Level1.0009,Level2.0003,2022,758997.1706549999,472376.95175779995,393707.2881673,659496.908496
Level1.0008,Level2.0000,2022,754075.5189788999,568054.4893390001,499359.6917312999,592587.5020915
Level1.0017,Level2.0002,2022,748646.4029600001,666999.3337779999,698752.9760273,502166.9696616
Level1.0000,Level2.0002,2021,744778.631263,674497.8528626,791001.1618045999,584661.6717205
Level1.0015,Level2.0004,2021,742318.7926446,561448.2514469001,530961.9968803,465088.6159183
Level1.0009,Level2.0000,2021,739765.0260353999,540272.6560903001,556394.7533820999,599379.4912999
Level1.0017,Level2.0004,2021,739708.8591606,563638.2346526,758051.1919699,786004.2228034
Level1.0008,Level2.0004,2021,730983.5892940001,485650.5416162999,399578.2829529,792640.905346
Level1.0008,Level2.0003,2022,730848.1956514,833790.0625388002,500456.2735956,674333.1045081
Level1.0013,Level2.0000,2022,726826.1777562,420426.50912159996,546224.6571855,512918.5684447
Level1.0002,Level2.0002,2021,725898.1700264001,692647.5219634001,583003.016644,495286.79969569994
Level1.0007,Level2.0001,2021,722869.5456315,606574.0685677,680277.2962111,760088.0691332999
Level1.0012,Level2.0002,2021,721189.5037268,809569.4256489999,606853.817411,610758.6907366998
Level1.0012,Level2.0004,2022,720237.5852240002,583994.7051379001,544406.3793827,460496.8396768
Level1.0016,Level2.0000,2021,718405.0455399001,479479.63731829997,593474.180836,684560.5246332
Level1.0013,Level2.0001,2021,718371.4249138001,611316.1569995,496725.44715039997,683498.7607376
Level1.0001,Level2.0002,2022,716703.7389596001,567022.0960044,658324.4082846,586484.0713976001
Level1.0015,Level2.0001,2021,715984.4930800999,613761.2948985,489305.5826903,578437.7539203999
Level1.0010,Level2.0000,2021,711111.5424943,671287.0299025001,604158.3905318,667455.395034
Level1.0008,Level2.0002,2022,710605.2213137,548427.5488374999,625776.9464297,592340.2867135999
Level1.0004,Level2.0003,2021,709761.5819615,606503.4441845,466523.56004410004,665578.4872043
Level1.0017,Level2.0004,2022,709203.6181182999,593251.3626541,525983.6861817,652815.9531477
Level1.0012,Level2.0003,2022,708120.7786239999,814164.2087802,665277.6959028001,570016.7927675
Level1.0014,Level2.0003,2022,704748.5648173,729475.3919035998,633955.9785569,592618.4504425
Level1.0010,Level2.0002,2021,702447.0488559001,502969.0650937,537219.5293798001,559485.0865157
Level1.0019,Level2.0003,2022,699830.2050747,432185.0702378,718064.6510697999,648484.7620968001
Level1.0007,Level2.0004,2021,699075.3679586999,544774.0498049,617014.5894625,707536.6293853001
Level1.0002,Level2.0003,2021,692168.4093639001,586202.7069628999,736062.0708755001,677543.178087
Level1.0018,Level2.0000,2022,692062.1075153,507037.6958141,485113.36113120004,550008.7774469
Level1.0004,Level2.0004,2021,687232.9007946001,723172.7420730001,613198.7642625,478123.29023129994
Level1.0008,Level2.0001,2022,684999.4832876,598590.7933085001,622918.2070257,707366.0265224
Level1.0016,Level2.0002,2022,684701.5686241998,572094.8619663999,692258.4950455,573686.0806301001
