Category,Region,Year,Quarter,Month,Day,Sum of  Sales Budget ,Sum of  Sales Forecast 
Consumer,East,2019,Qtr 1,January,1,5719037,2422904
Consumer,East,2019,Qtr 1,February,1,6269060,7227332
Consumer,East,2019,Qtr 1,March,1,5313906,3977940
Consumer,East,2019,Qtr 2,April,1,5152123,5934772
Consumer,East,2019,Qtr 2,May,1,1951508,2534891
Consumer,East,2019,Qtr 2,June,1,2667467,5828614
Consumer,East,2019,Qtr 3,July,1,3768327,4960799
Consumer,East,2019,Qtr 3,August,1,3581037,2473360
Consumer,East,2019,Qtr 3,September,1,2409783,8130732
Consumer,East,2019,Qtr 4,October,1,4077415,2988845
Consumer,East,2019,Qtr 4,November,1,4730879,3828582
Consumer,East,2019,Qtr 4,December,1,8010737,4562841
Consumer,Midwest,2019,Qtr 1,January,1,3857255,2267381
Consumer,Midwest,2019,Qtr 1,February,1,3988869,5936860
Consumer,Midwest,2019,Qtr 1,March,1,3021108,4590532
Consumer,Midwest,2019,Qtr 2,April,1,3526638,3290637
Consumer,Midwest,2019,Qtr 2,May,1,5087381,4129814
Consumer,Midwest,2019,Qtr 2,June,1,2739482,5872988
Consumer,Midwest,2019,Qtr 3,July,1,5962113,6315983
Consumer,Midwest,2019,Qtr 3,August,1,4503097,5382927
Consumer,Midwest,2019,Qtr 3,September,1,4388945,4897627
Consumer,Midwest,2019,Qtr 4,October,1,3668402,6505837
Consumer,Midwest,2019,Qtr 4,November,1,3105481,4790212
Consumer,Midwest,2019,Qtr 4,December,1,3262713,5841370
Consumer,West,2019,Qtr 1,January,1,14896388,5182044
Consumer,West,2019,Qtr 1,February,1,4567297,7747159
Consumer,West,2019,Qtr 1,March,1,6464982,6284893
Consumer,West,2019,Qtr 2,April,1,3181619,5892239
Consumer,West,2019,Qtr 2,May,1,5152817,3997351
Consumer,West,2019,Qtr 2,June,1,5574783,7151585
Consumer,West,2019,Qtr 3,July,1,6846722,5646811
Consumer,West,2019,Qtr 3,August,1,5459659,3520120
Consumer,West,2019,Qtr 3,September,1,5209358,6657721
Consumer,West,2019,Qtr 4,October,1,4989141,4512841
Consumer,West,2019,Qtr 4,November,1,5026944,5570780
Consumer,West,2019,Qtr 4,December,1,3300410,6447247
Industrials,East,2019,Qtr 1,January,1,5269901,7712428
Industrials,East,2019,Qtr 1,February,1,4991676,7475386
Industrials,East,2019,Qtr 1,March,1,3992555,4573979
Industrials,East,2019,Qtr 2,April,1,3340932,4909863
Industrials,East,2019,Qtr 2,May,1,7440886,4196347
Industrials,East,2019,Qtr 2,June,1,2453490,2823863
Industrials,East,2019,Qtr 3,July,1,4706626,6729635
Industrials,East,2019,Qtr 3,August,1,6180655,6137894
Industrials,East,2019,Qtr 3,September,1,5976892,5064784
Industrials,East,2019,Qtr 4,October,1,4534987,2558030
Industrials,East,2019,Qtr 4,November,1,2666859,6414552
Industrials,East,2019,Qtr 4,December,1,6069395,5934135
Industrials,Midwest,2019,Qtr 1,January,1,6102400,3658034
Industrials,Midwest,2019,Qtr 1,February,1,5852751,4920974
Industrials,Midwest,2019,Qtr 1,March,1,4955011,6660201
Industrials,Midwest,2019,Qtr 2,April,1,4704056,5672195
Industrials,Midwest,2019,Qtr 2,May,1,5720910,5109867
Industrials,Midwest,2019,Qtr 2,June,1,6129824,3300662
Industrials,Midwest,2019,Qtr 3,July,1,7071408,5144331
Industrials,Midwest,2019,Qtr 3,August,1,5121803,3703671
Industrials,Midwest,2019,Qtr 3,September,1,4495173,5500210
Industrials,Midwest,2019,Qtr 4,October,1,4038949,1441934
Industrials,Midwest,2019,Qtr 4,November,1,7854031,5589707
Industrials,Midwest,2019,Qtr 4,December,1,4582509,1836908
Industrials,West,2019,Qtr 1,January,1,4040146,7748651
Industrials,West,2019,Qtr 1,February,1,3596715,4689712
Industrials,West,2019,Qtr 1,March,1,3258742,2951804
Industrials,West,2019,Qtr 2,April,1,4926651,5581222
Industrials,West,2019,Qtr 2,May,1,7676160,5237667
Industrials,West,2019,Qtr 2,June,1,4959064,5437286
Industrials,West,2019,Qtr 3,July,1,5713477,6093154
Industrials,West,2019,Qtr 3,August,1,3795609,4201927
Industrials,West,2019,Qtr 3,September,1,7057688,2055148
Industrials,West,2019,Qtr 4,October,1,3544486,6856052
Industrials,West,2019,Qtr 4,November,1,4555073,5058568
Industrials,West,2019,Qtr 4,December,1,3193188,2290576
Others,East,2019,Qtr 1,January,1,1413159,3805882
Others,East,2019,Qtr 1,February,1,3610964,8156159
Others,East,2019,Qtr 1,March,1,4449664,7033298
Others,East,2019,Qtr 2,April,1,4181857,7332496
Others,East,2019,Qtr 2,May,1,5135746,3618804
Others,East,2019,Qtr 2,June,1,5312380,6257879
Others,East,2019,Qtr 3,July,1,4982123,7603694
Others,East,2019,Qtr 3,August,1,4816405,7645873
Others,East,2019,Qtr 3,September,1,4556935,3290631
Others,East,2019,Qtr 4,October,1,4598816,5656483
Others,East,2019,Qtr 4,November,1,2546333,2745302
Others,East,2019,Qtr 4,December,1,5054900,5498027
Others,Midwest,2019,Qtr 1,January,1,6882737,5374729
Others,Midwest,2019,Qtr 1,February,1,2333108,8569077
Others,Midwest,2019,Qtr 1,March,1,1402003,4754644
Others,Midwest,2019,Qtr 2,April,1,2405735,5479761
Others,Midwest,2019,Qtr 2,May,1,6474915,3280809
Others,Midwest,2019,Qtr 2,June,1,4659365,5501376
Others,Midwest,2019,Qtr 3,July,1,6010851,6535710
