Table5.Year,Table5.Country,Sum(Table5.PY),Sum(Table5.AC)
2017,USA,293000,359000
2018,USA,341000,275000
2019,USA,286000,321000
2017,Brazil,297000,233000
2018,Brazil,-44000,280000
2019,Brazil,238000,367000
2017,Canada,208000,239000
2018,Canada,-18000,279000
2019,Canada,232000,236000
2017,Other,322000,289000
2018,Other,171000,186000
2019,Other,201000,277000
2017,Australia,329000,304000
2018,Australia,180000,335000
2019,Australia,217000,80000
2017,Japan,264000,206000
2018,Japan,187000,249000
2019,Japan,279000,229000
2017,China,308000,244000
2018,China,318000,287000
2019,China,321000,145000
2017,Poland,0,103000
2018,Poland,182000,180000
2019,Poland,272000,239000
2017,Sweden,276000,176000
2018,Sweden,345000,
2019,Sweden,319000,340000
2017,Belgium,118000,88000
2018,Belgium,173000,198000
2019,Belgium,240000,227000
2017,Germany,0,107000
2018,Germany,100000,91000
2019,Germany,190000,219000
2017,France,196000,118000
2018,France,0,0
2019,France,152000,175000
