Table5.Year,Table5.Country,Table5.Region,Table5.City,Sum(Table5.PY),Sum(Table5.AC)
2017,Australia,Americas,Vancouver,,
2017,Belgium,Americas,Vancouver,,
2017,Brazil,Americas,Vancouver,,
2017,Canada,Americas,Vancouver,42000,110000
2017,China,Americas,Vancouver,,
2017,France,Americas,Vancouver,,
2017,Germany,Americas,Vancouver,,
2017,Japan,Americas,Vancouver,,
2017,Other,Americas,Vancouver,,
2017,Poland,Americas,Vancouver,,
2017,Sweden,Americas,Vancouver,,
2017,USA,Americas,Vancouver,,
2018,Australia,Americas,Vancouver,,
2018,Belgium,Americas,Vancouver,,
2018,Brazil,Americas,Vancouver,,
2018,Canada,Americas,Vancouver,102000,134000
2018,China,Americas,Vancouver,,
2018,France,Americas,Vancouver,,
2018,Germany,Americas,Vancouver,,
2018,Japan,Americas,Vancouver,,
2018,Other,Americas,Vancouver,,
2018,Poland,Americas,Vancouver,,
2018,Sweden,Americas,Vancouver,,
2018,USA,Americas,Vancouver,,
2019,Australia,Americas,Vancouver,,
2019,Belgium,Americas,Vancouver,,
2019,Brazil,Americas,Vancouver,,
2019,Canada,Americas,Vancouver,111000,150000
2019,China,Americas,Vancouver,,
2019,France,Americas,Vancouver,,
2019,Germany,Americas,Vancouver,,
2019,Japan,Americas,Vancouver,,
2019,Other,Americas,Vancouver,,
2019,Poland,Americas,Vancouver,,
2019,Sweden,Americas,Vancouver,,
2019,USA,Americas,Vancouver,,
2017,Australia,Americas,California,,
2017,Belgium,Americas,California,,
2017,Brazil,Americas,California,,
2017,Canada,Americas,California,,
2017,China,Americas,California,,
2017,France,Americas,California,,
2017,Germany,Americas,California,,
2017,Japan,Americas,California,,
2017,Other,Americas,California,,
2017,Poland,Americas,California,,
2017,Sweden,Americas,California,,
2017,USA,Americas,California,90000,131000
2018,Australia,Americas,California,,
2018,Belgium,Americas,California,,
2018,Brazil,Americas,California,,
2018,Canada,Americas,California,,
2018,China,Americas,California,,
2018,France,Americas,California,,
2018,Germany,Americas,California,,
2018,Japan,Americas,California,,
2018,Other,Americas,California,,
2018,Poland,Americas,California,,
2018,Sweden,Americas,California,,
2018,USA,Americas,California,81000,131000
2019,Australia,Americas,California,,
2019,Belgium,Americas,California,,
2019,Brazil,Americas,California,,
2019,Canada,Americas,California,,
2019,China,Americas,California,,
2019,France,Americas,California,,
2019,Germany,Americas,California,,
2019,Japan,Americas,California,,
2019,Other,Americas,California,,
2019,Poland,Americas,California,,
2019,Sweden,Americas,California,,
2019,USA,Americas,California,139000,113000
2017,Australia,Americas,Rio,,
2017,Belgium,Americas,Rio,,
2017,Brazil,Americas,Rio,104000,138000
2017,Canada,Americas,Rio,,
2017,China,Americas,Rio,,
2017,France,Americas,Rio,,
2017,Germany,Americas,Rio,,
2017,Japan,Americas,Rio,,
2017,Other,Americas,Rio,,
2017,Poland,Americas,Rio,,
2017,Sweden,Americas,Rio,,
2017,USA,Americas,Rio,,
2018,Australia,Americas,Rio,,
2018,Belgium,Americas,Rio,,
2018,Brazil,Americas,Rio,78000,105000
2018,Canada,Americas,Rio,,
2018,China,Americas,Rio,,
2018,France,Americas,Rio,,
2018,Germany,Americas,Rio,,
2018,Japan,Americas,Rio,,
2018,Other,Americas,Rio,,
2018,Poland,Americas,Rio,,
2018,Sweden,Americas,Rio,,
2018,USA,Americas,Rio,,
2019,Australia,Americas,Rio,,
2019,Belgium,Americas,Rio,,
2019,Brazil,Americas,Rio,131000,99000
2019,Canada,Americas,Rio,,
2019,China,Americas,Rio,,
2019,France,Americas,Rio,,
2019,Germany,Americas,Rio,,
2019,Japan,Americas,Rio,,
2019,Other,Americas,Rio,,
2019,Poland,Americas,Rio,,
2019,Sweden,Americas,Rio,,
2019,USA,Americas,Rio,,
2017,Australia,Americas,Manaus,,
2017,Belgium,Americas,Manaus,,
2017,Brazil,Americas,Manaus,72000,56000
2017,Canada,Americas,Manaus,,
2017,China,Americas,Manaus,,
2017,France,Americas,Manaus,,
2017,Germany,Americas,Manaus,,
2017,Japan,Americas,Manaus,,
2017,Other,Americas,Manaus,,
2017,Poland,Americas,Manaus,,
2017,Sweden,Americas,Manaus,,
2017,USA,Americas,Manaus,,
2018,Australia,Americas,Manaus,,
2018,Belgium,Americas,Manaus,,
2018,Brazil,Americas,Manaus,-122000,129000
2018,Canada,Americas,Manaus,,
2018,China,Americas,Manaus,,
2018,France,Americas,Manaus,,
2018,Germany,Americas,Manaus,,
2018,Japan,Americas,Manaus,,
2018,Other,Americas,Manaus,,
2018,Poland,Americas,Manaus,,
2018,Sweden,Americas,Manaus,,
2018,USA,Americas,Manaus,,
2019,Australia,Americas,Manaus,,
2019,Belgium,Americas,Manaus,,
2019,Brazil,Americas,Manaus,55000,147000
2019,Canada,Americas,Manaus,,
2019,China,Americas,Manaus,,
2019,France,Americas,Manaus,,
2019,Germany,Americas,Manaus,,
2019,Japan,Americas,Manaus,,
2019,Other,Americas,Manaus,,
2019,Poland,Americas,Manaus,,
2019,Sweden,Americas,Manaus,,
2019,USA,Americas,Manaus,,
2017,Australia,Americas,New York,,
2017,Belgium,Americas,New York,,
2017,Brazil,Americas,New York,,
2017,Canada,Americas,New York,,
2017,China,Americas,New York,,
2017,France,Americas,New York,,
2017,Germany,Americas,New York,,
2017,Japan,Americas,New York,,
2017,Other,Americas,New York,,
2017,Poland,Americas,New York,,
2017,Sweden,Americas,New York,,
2017,USA,Americas,New York,92000,116000
2018,Australia,Americas,New York,,
2018,Belgium,Americas,New York,,
2018,Brazil,Americas,New York,,
2018,Canada,Americas,New York,,
2018,China,Americas,New York,,
2018,France,Americas,New York,,
2018,Germany,Americas,New York,,
2018,Japan,Americas,New York,,
2018,Other,Americas,New York,,
2018,Poland,Americas,New York,,
2018,Sweden,Americas,New York,,
2018,USA,Americas,New York,119000,99000
2019,Australia,Americas,New York,,
2019,Belgium,Americas,New York,,
2019,Brazil,Americas,New York,,
2019,Canada,Americas,New York,,
2019,China,Americas,New York,,
2019,France,Americas,New York,,
2019,Germany,Americas,New York,,
2019,Japan,Americas,New York,,
2019,Other,Americas,New York,,
2019,Poland,Americas,New York,,
2019,Sweden,Americas,New York,,
2019,USA,Americas,New York,96000,91000
2017,Australia,Americas,Chicago,,
2017,Belgium,Americas,Chicago,,
2017,Brazil,Americas,Chicago,,
2017,Canada,Americas,Chicago,,
2017,China,Americas,Chicago,,
2017,France,Americas,Chicago,,
2017,Germany,Americas,Chicago,,
2017,Japan,Americas,Chicago,,
2017,Other,Americas,Chicago,111000,97000
2017,Poland,Americas,Chicago,,
2017,Sweden,Americas,Chicago,,
2017,USA,Americas,Chicago,,
2018,Australia,Americas,Chicago,,
2018,Belgium,Americas,Chicago,,
2018,Brazil,Americas,Chicago,,
2018,Canada,Americas,Chicago,,
2018,China,Americas,Chicago,,
2018,France,Americas,Chicago,,
2018,Germany,Americas,Chicago,,
2018,Japan,Americas,Chicago,,
2018,Other,Americas,Chicago,93000,67000
2018,Poland,Americas,Chicago,,
2018,Sweden,Americas,Chicago,,
2018,USA,Americas,Chicago,,
2019,Australia,Americas,Chicago,,
2019,Belgium,Americas,Chicago,,
2019,Brazil,Americas,Chicago,,
2019,Canada,Americas,Chicago,,
2019,China,Americas,Chicago,,
2019,France,Americas,Chicago,,
2019,Germany,Americas,Chicago,,
2019,Japan,Americas,Chicago,,
2019,Other,Americas,Chicago,85000,125000
2019,Poland,Americas,Chicago,,
2019,Sweden,Americas,Chicago,,
2019,USA,Americas,Chicago,,
2017,Australia,Americas,Texas,,
2017,Belgium,Americas,Texas,,
2017,Brazil,Americas,Texas,,
2017,Canada,Americas,Texas,,
2017,China,Americas,Texas,,
2017,France,Americas,Texas,,
2017,Germany,Americas,Texas,,
2017,Japan,Americas,Texas,,
2017,Other,Americas,Texas,,
2017,Poland,Americas,Texas,,
2017,Sweden,Americas,Texas,,
2017,USA,Americas,Texas,111000,112000
2018,Australia,Americas,Texas,,
2018,Belgium,Americas,Texas,,
2018,Brazil,Americas,Texas,,
2018,Canada,Americas,Texas,,
2018,China,Americas,Texas,,
2018,France,Americas,Texas,,
2018,Germany,Americas,Texas,,
2018,Japan,Americas,Texas,,
2018,Other,Americas,Texas,,
2018,Poland,Americas,Texas,,
2018,Sweden,Americas,Texas,,
2018,USA,Americas,Texas,141000,45000
2019,Australia,Americas,Texas,,
2019,Belgium,Americas,Texas,,
2019,Brazil,Americas,Texas,,
2019,Canada,Americas,Texas,,
2019,China,Americas,Texas,,
2019,France,Americas,Texas,,
2019,Germany,Americas,Texas,,
2019,Japan,Americas,Texas,,
2019,Other,Americas,Texas,,
2019,Poland,Americas,Texas,,
2019,Sweden,Americas,Texas,,
2019,USA,Americas,Texas,51000,117000
2017,Australia,Americas,Toronto,,
2017,Belgium,Americas,Toronto,,
2017,Brazil,Americas,Toronto,,
2017,Canada,Americas,Toronto,59000,78000
2017,China,Americas,Toronto,,
2017,France,Americas,Toronto,,
2017,Germany,Americas,Toronto,,
2017,Japan,Americas,Toronto,,
2017,Other,Americas,Toronto,,
2017,Poland,Americas,Toronto,,
2017,Sweden,Americas,Toronto,,
2017,USA,Americas,Toronto,,
2018,Australia,Americas,Toronto,,
