Table5.Year,Table5.PY,Table5.PL,Table5.City,Table5.Country,Table5.FC,Table5.BU,Sum(Table5.AC)
2017,0,133000,Frankfurt,Germany,121000,118000,107000
2018,0,133000,Frankfurt,Germany,121000,118000,
2019,0,133000,Frankfurt,Germany,121000,118000,
2017,0,90000,Warsaw,Poland,145000,64000,103000
2018,0,90000,Warsaw,Poland,145000,64000,
2019,0,90000,Warsaw,Poland,145000,64000,
2017,0,42000,Toronto,Canada,108000,52000,
2018,0,42000,Toronto,Canada,108000,52000,96000
2019,0,42000,Toronto,Canada,108000,52000,
2017,0,64000,Salvador,Brazil,43000,126000,
2018,0,64000,Salvador,Brazil,43000,126000,46000
2019,0,64000,Salvador,Brazil,43000,126000,
2017,0,131000,Finland,Other,129000,120000,
2018,0,131000,Finland,Other,129000,120000,41000
2019,0,131000,Finland,Other,129000,120000,
2017,0,0,Marseille,France,43000,101000,
2018,0,0,Marseille,France,43000,101000,0
2019,0,0,Marseille,France,43000,101000,
2017,0,0,Paris,France,127000,52000,
2018,0,0,Paris,France,127000,52000,0
2019,0,0,Paris,France,127000,52000,
2017,0,82000,Lublin,Poland,63000,80000,0
2018,0,82000,Lublin,Poland,63000,80000,
2019,0,82000,Lublin,Poland,63000,80000,
2017,0,115000,Brussels,Belgium,101000,141000,0
2018,0,115000,Brussels,Belgium,101000,141000,
2019,0,115000,Brussels,Belgium,101000,141000,
2017,0,127000,Berlin,Germany,86000,76000,0
2018,0,127000,Berlin,Germany,86000,76000,
2019,0,127000,Berlin,Germany,86000,76000,
2017,111000,83000,Vancouver,Canada,119000,66000,
2018,111000,83000,Vancouver,Canada,119000,66000,
2019,111000,83000,Vancouver,Canada,119000,66000,150000
2017,111000,144000,Texas,USA,124000,118000,112000
2018,111000,144000,Texas,USA,124000,118000,
2019,111000,144000,Texas,USA,124000,118000,
2017,111000,38000,Chicago,Other,79000,133000,97000
2018,111000,38000,Chicago,Other,79000,133000,
2019,111000,38000,Chicago,Other,79000,133000,
2017,96000,130000,Melbourne,Australia,63000,103000,
2018,96000,130000,Melbourne,Australia,63000,103000,69000
2019,96000,130000,Melbourne,Australia,63000,103000,
2017,96000,130000,Chengdu,China,94000,103000,62000
2018,96000,130000,Chengdu,China,94000,103000,
2019,96000,130000,Chengdu,China,94000,103000,
2017,96000,69000,New York,USA,127000,57000,
2018,96000,69000,New York,USA,127000,57000,
2019,96000,69000,New York,USA,127000,57000,91000
2017,96000,113000,Shangai,China,63000,82000,
2018,96000,113000,Shangai,China,63000,82000,
2019,96000,113000,Shangai,China,63000,82000,68000
2017,51000,63000,Paris,France,88000,92000,
2018,51000,63000,Paris,France,88000,92000,
2019,51000,63000,Paris,France,88000,92000,131000
2017,51000,124000,Texas,USA,126000,66000,
2018,51000,124000,Texas,USA,126000,66000,
2019,51000,124000,Texas,USA,126000,66000,117000
2017,78000,70000,Rio,Brazil,36000,53000,
2018,78000,70000,Rio,Brazil,36000,53000,105000
2019,78000,70000,Rio,Brazil,36000,53000,
2017,78000,52000,Seoul,Other,55000,130000,
