Cat1,Cat2,Year,Sum of S1,Sum of S2
Level1.0001,Level2.0004,2022,927631.2344854001,722623.6343601
Level1.0017,Level2.0003,2022,875387.9049234999,628115.7050255
Level1.0019,Level2.0003,2021,825309.3701405,675974.2850297999
Level1.0012,Level2.0000,2022,796942.6808551,585430.3926347999
Level1.0017,Level2.0001,2022,772760.9819433,637731.9004167999
Level1.0013,Level2.0000,2021,765011.7514927998,541869.7892704001
Level1.0009,Level2.0004,2021,761957.5324585,571990.2151713
Level1.0003,Level2.0002,2022,761037.6722888,642738.0957172001
Level1.0009,Level2.0003,2022,758997.1706549999,472376.95175779995
Level1.0008,Level2.0000,2022,754075.5189788999,568054.4893390001
Level1.0017,Level2.0002,2022,748646.4029600001,666999.3337779999
Level1.0000,Level2.0002,2021,744778.631263,674497.8528626
Level1.0015,Level2.0004,2021,742318.7926446,561448.2514469001
Level1.0009,Level2.0000,2021,739765.0260353999,540272.6560903001
Level1.0017,Level2.0004,2021,739708.8591606,563638.2346526
Level1.0008,Level2.0004,2021,730983.5892940001,485650.5416162999
Level1.0008,Level2.0003,2022,730848.1956514,833790.0625388002
Level1.0013,Level2.0000,2022,726826.1777562,420426.50912159996
Level1.0002,Level2.0002,2021,725898.1700264001,692647.5219634001
Level1.0007,Level2.0001,2021,722869.5456315,606574.0685677
Level1.0012,Level2.0002,2021,721189.5037268,809569.4256489999
Level1.0012,Level2.0004,2022,720237.5852240002,583994.7051379001
Level1.0016,Level2.0000,2021,718405.0455399001,479479.63731829997
Level1.0013,Level2.0001,2021,718371.4249138001,611316.1569995
Level1.0001,Level2.0002,2022,716703.7389596001,567022.0960044
Level1.0015,Level2.0001,2021,715984.4930800999,613761.2948985
Level1.0010,Level2.0000,2021,711111.5424943,671287.0299025001
Level1.0008,Level2.0002,2022,710605.2213137,548427.5488374999
Level1.0004,Level2.0003,2021,709761.5819615,606503.4441845
Level1.0017,Level2.0004,2022,709203.6181182999,593251.3626541
Level1.0012,Level2.0003,2022,708120.7786239999,814164.2087802
Level1.0014,Level2.0003,2022,704748.5648173,729475.3919035998
Level1.0010,Level2.0002,2021,702447.0488559001,502969.0650937
Level1.0019,Level2.0003,2022,699830.2050747,432185.0702378
Level1.0007,Level2.0004,2021,699075.3679586999,544774.0498049
Level1.0002,Level2.0003,2021,692168.4093639001,586202.7069628999
