Country,Year,Value Column Name,Value
"USA","2017","AC","359000"
"USA","2018","AC","275000"
"USA","2019","AC","321000"
"Brazil","2017","AC","233000"
"Brazil","2018","AC","280000"
"Brazil","2019","AC","367000"
"Canada","2017","AC","239000"
"Canada","2018","AC","279000"
"Canada","2019","AC","236000"
"Other","2017","AC","289000"
"Other","2018","AC","186000"
"Other","2019","AC","277000"
"Australia","2017","AC","304000"
"Australia","2018","AC","335000"
"Australia","2019","AC","80000"
"Japan","2017","AC","206000"
"Japan","2018","AC","249000"
"Japan","2019","AC","229000"
"China","2017","AC","244000"
"China","2018","AC","287000"
"China","2019","AC","145000"
"Poland","2017","AC","103000"
"Poland","2018","AC","180000"
"Poland","2019","AC","239000"
"Sweden","2017","AC","176000"
"Sweden","2018","AC",
"Sweden","2019","AC","340000"
"Belgium","2017","AC","88000"
"Belgium","2018","AC","198000"
"Belgium","2019","AC","227000"
"Germany","2017","AC","107000"
"Germany","2018","AC","91000"
"Germany","2019","AC","219000"
"France","2017","AC","118000"
"France","2018","AC","0"
"France","2019","AC","175000"
