Category,Subcategory,Fiscal Year,Fiscal Quarter,Channel,Value Column Name,Value
"Bikes","Road Bikes","FY2018","FY2018 Q1","Internet","Unit Price","3197.7877"
"Bikes","Road Bikes","FY2018","FY2018 Q1","Internet","Sales Amount","1621278.3794"
"Bikes","Road Bikes","FY2018","FY2018 Q1","Internet","Sales Amount - Unit Price","1618080.5917"
"Bikes","Road Bikes","FY2018","FY2018 Q1","Internet","(Sales Amount - Unit Price)%","506.000004847101"
"Bikes","Road Bikes","FY2018","FY2018 Q1","Internet","Total Sales","933216056.6900003"
"Bikes","Road Bikes","FY2018","FY2018 Q1","Reseller","Unit Price","723.2913"
"Bikes","Road Bikes","FY2018","FY2018 Q1","Reseller","Sales Amount","1345306.2455"
"Bikes","Road Bikes","FY2018","FY2018 Q1","Reseller","Sales Amount - Unit Price","1344582.9542"
"Bikes","Road Bikes","FY2018","FY2018 Q1","Reseller","(Sales Amount - Unit Price)%","1858.9784699470322"
"Bikes","Road Bikes","FY2018","FY2018 Q1","Reseller","Total Sales","933216056.6900003"
"Bikes","Road Bikes","FY2018","FY2018 Q2","Internet","Unit Price","3162.7194"
"Bikes","Road Bikes","FY2018","FY2018 Q2","Internet","Sales Amount","1533918.924"
"Bikes","Road Bikes","FY2018","FY2018 Q2","Internet","Sales Amount - Unit Price","1530756.2046"
"Bikes","Road Bikes","FY2018","FY2018 Q2","Internet","(Sales Amount - Unit Price)%","484.000004742754"
"Bikes","Road Bikes","FY2018","FY2018 Q2","Internet","Total Sales","933216056.6900003"
"Bikes","Road Bikes","FY2018","FY2018 Q2","Reseller","Unit Price","812.9828"
"Bikes","Road Bikes","FY2018","FY2018 Q2","Reseller","Sales Amount","1504705.8724"
"Bikes","Road Bikes","FY2018","FY2018 Q2","Reseller","Sales Amount - Unit Price","1503892.8895999999"
"Bikes","Road Bikes","FY2018","FY2018 Q2","Reseller","(Sales Amount - Unit Price)%","1849.8458880064866"
"Bikes","Road Bikes","FY2018","FY2018 Q2","Reseller","Total Sales","933216056.6900003"
"Bikes","Road Bikes","FY2018","FY2018 Q3","Internet","Unit Price","3185.3891"
"Bikes","Road Bikes","FY2018","FY2018 Q3","Internet","Sales Amount","1564026.0594"
"Bikes","Road Bikes","FY2018","FY2018 Q3","Internet","Sales Amount - Unit Price","1560840.6702999999"
"Bikes","Road Bikes","FY2018","FY2018 Q3","Internet","(Sales Amount - Unit Price)%","490.00000354744736"
"Bikes","Road Bikes","FY2018","FY2018 Q3","Internet","Total Sales","933216056.6900003"
"Bikes","Road Bikes","FY2018","FY2018 Q3","Reseller","Unit Price","802.3769"
"Bikes","Road Bikes","FY2018","FY2018 Q3","Reseller","Sales Amount","1694924.6946"
"Bikes","Road Bikes","FY2018","FY2018 Q3","Reseller","Sales Amount - Unit Price","1694122.3177"
"Bikes","Road Bikes","FY2018","FY2018 Q3","Reseller","(Sales Amount - Unit Price)%","2111.3797240424046"
"Bikes","Road Bikes","FY2018","FY2018 Q3","Reseller","Total Sales","933216056.6900003"
"Bikes","Road Bikes","FY2018","FY2018 Q4","Internet","Unit Price","2663.3846"
"Bikes","Road Bikes","FY2018","FY2018 Q4","Internet","Sales Amount","1400940.301"
"Bikes","Road Bikes","FY2018","FY2018 Q4","Internet","Sales Amount - Unit Price","1398276.9164"
"Bikes","Road Bikes","FY2018","FY2018 Q4","Internet","(Sales Amount - Unit Price)%","525.000000525647"
"Bikes","Road Bikes","FY2018","FY2018 Q4","Internet","Total Sales","933216056.6900003"
"Bikes","Road Bikes","FY2018","FY2018 Q4","Reseller","Unit Price","807.7743"
"Bikes","Road Bikes","FY2018","FY2018 Q4","Reseller","Sales Amount","1904638.9889"
"Bikes","Road Bikes","FY2018","FY2018 Q4","Reseller","Sales Amount - Unit Price","1903831.2146"
"Bikes","Road Bikes","FY2018","FY2018 Q4","Reseller","(Sales Amount - Unit Price)%","2356.8851034255486"
"Bikes","Road Bikes","FY2018","FY2018 Q4","Reseller","Total Sales","933216056.6900003"
"Bikes","Road Bikes","FY2019","FY2019 Q1","Internet","Unit Price","1782.3467"
"Bikes","Road Bikes","FY2019","FY2019 Q1","Internet","Sales Amount","941079.0575"
"Bikes","Road Bikes","FY2019","FY2019 Q1","Internet","Sales Amount - Unit Price","939296.7108"
