Superstore 2023.Category,Superstore 2023.Sub-Category,Sum(Superstore 2023.Sales)
Technology,Phones,330007.054
Technology,Machines,189238.631
Technology,Accessories,167380.318
Technology,Copiers,149528.03
Furniture,Chairs,328449.103
Furniture,Tables,206965.532
Furniture,Bookcases,114879.9963
Furniture,Furnishings,91705.164
Office Supplies,Storage,223843.608
Office Supplies,Binders,203412.733
Office Supplies,Appliances,107532.161
Office Supplies,Paper,78479.206
Office Supplies,Supplies,46673.538
Office Supplies,Art,27118.792
Office Supplies,Envelopes,16476.402
Office Supplies,Labels,12486.312
Office Supplies,Fasteners,3024.28
