Superstore 2023.Region,Superstore 2023.Category,Superstore 2023.Sub-Category,Sum(Superstore 2023.Sales)
Central,Technology,Phones,72403.282
East,Technology,Phones,100614.982
South,Technology,Phones,58304.438
West,Technology,Phones,98684.352
Central,Technology,Machines,26797.384
East,Technology,Machines,66106.165
South,Technology,Machines,53890.96
West,Technology,Machines,42444.122
Central,Technology,Accessories,33956.076
East,Technology,Accessories,45033.372
South,Technology,Accessories,27276.754
West,Technology,Accessories,61114.116
Central,Technology,Copiers,37259.57
East,Technology,Copiers,53219.462
South,Technology,Copiers,9299.756
West,Technology,Copiers,49749.242
Central,Furniture,Chairs,85230.646
East,Furniture,Chairs,96260.683
South,Furniture,Chairs,45176.446
West,Furniture,Chairs,101781.328
Central,Furniture,Tables,39154.971
East,Furniture,Tables,39139.807
South,Furniture,Tables,43916.192
West,Furniture,Tables,84754.562
Central,Furniture,Bookcases,24157.1768
East,Furniture,Bookcases,43819.334
South,Furniture,Bookcases,10899.362
West,Furniture,Bookcases,36004.1235
Central,Furniture,Furnishings,15254.37
East,Furniture,Furnishings,29071.38
South,Furniture,Furnishings,17306.684
West,Furniture,Furnishings,30072.73
Central,Office Supplies,Storage,45930.112
East,Office Supplies,Storage,71612.584
South,Office Supplies,Storage,35768.06
West,Office Supplies,Storage,70532.852
Central,Office Supplies,Binders,56923.282
East,Office Supplies,Binders,53497.997
South,Office Supplies,Binders,37030.341
West,Office Supplies,Binders,55961.113
Central,Office Supplies,Appliances,23582.033
East,Office Supplies,Appliances,34188.466
South,Office Supplies,Appliances,19525.326
West,Office Supplies,Appliances,30236.336
Central,Office Supplies,Paper,17491.902
East,Office Supplies,Paper,20172.602
South,Office Supplies,Paper,14150.984
West,Office Supplies,Paper,26663.718
Central,Office Supplies,Supplies,9467.372
East,Office Supplies,Supplies,10760.116
South,Office Supplies,Supplies,8318.928
West,Office Supplies,Supplies,18127.122
Central,Office Supplies,Art,5765.34
East,Office Supplies,Art,7485.764
South,Office Supplies,Art,4655.622
West,Office Supplies,Art,9212.066
Central,Office Supplies,Envelopes,4636.872
East,Office Supplies,Envelopes,4375.874
South,Office Supplies,Envelopes,3345.556
West,Office Supplies,Envelopes,4118.1
Central,Office Supplies,Labels,2451.472
East,Office Supplies,Labels,2602.934
South,Office Supplies,Labels,2353.18
West,Office Supplies,Labels,5078.726
Central,Office Supplies,Fasteners,778.03
East,Office Supplies,Fasteners,819.718
South,Office Supplies,Fasteners,503.316
West,Office Supplies,Fasteners,923.216
