Table5.Region,Table5.Country,Sum(Table5.AC),Sum(Table5.PL)
Americas,USA,955000,742000
Asia-Pacific,USA,,
Europe,USA,,
Americas,Brazil,880000,963000
Asia-Pacific,Brazil,,
Europe,Brazil,,
Americas,Canada,754000,644000
Asia-Pacific,Canada,,
Europe,Canada,,
Americas,Other,289000,75000
Asia-Pacific,Other,197000,204000
Europe,Other,266000,240000
Americas,Australia,,
Asia-Pacific,Australia,719000,731000
Europe,Australia,,
Americas,Japan,,
Asia-Pacific,Japan,684000,797000
Europe,Japan,,
Americas,China,,
Asia-Pacific,China,676000,826000
Europe,China,,
Americas,Poland,,
Asia-Pacific,Poland,,
Europe,Poland,522000,518000
Americas,Sweden,,
Asia-Pacific,Sweden,,
Europe,Sweden,516000,898000
Americas,Belgium,,
Asia-Pacific,Belgium,,
Europe,Belgium,513000,540000
Americas,Germany,,
Asia-Pacific,Germany,,
Europe,Germany,417000,618000
Americas,France,,
Asia-Pacific,France,,
Europe,France,293000,357000
