Retail Orders.Sub-Category,Retail Orders.Category,Retail Orders.Order Date.Variation.Date Hierarchy.Year,Retail Orders.Order Date.Variation.Date Hierarchy.Quarter,Retail Orders.Order Date.Variation.Date Hierarchy.Month,Retail Orders.Order Date.Variation.Date Hierarchy.Day,Sum(Retail Orders.Profit),Sum(Retail Orders.Discount)
Bookcases,Furniture,2021,Qtr 1,January,2,,
Chairs,Furniture,2021,Qtr 1,January,2,,
Furnishings,Furniture,2021,Qtr 1,January,2,,
Tables,Furniture,2021,Qtr 1,January,2,,
Appliances,Office Supplies,2021,Qtr 1,January,2,,
Art,Office Supplies,2021,Qtr 1,January,2,,
Binders,Office Supplies,2021,Qtr 1,January,2,,
Envelopes,Office Supplies,2021,Qtr 1,January,2,,
Fasteners,Office Supplies,2021,Qtr 1,January,2,,
Labels,Office Supplies,2021,Qtr 1,January,2,,
Paper,Office Supplies,2021,Qtr 1,January,2,48.5392,0
Storage,Office Supplies,2021,Qtr 1,January,2,14.677,0
Supplies,Office Supplies,2021,Qtr 1,January,2,,
Accessories,Technology,2021,Qtr 1,January,2,,
Copiers,Technology,2021,Qtr 1,January,2,,
Machines,Technology,2021,Qtr 1,January,2,,
Phones,Technology,2021,Qtr 1,January,2,,
Bookcases,Furniture,2021,Qtr 1,January,3,,
Chairs,Furniture,2021,Qtr 1,January,3,,
Furnishings,Furniture,2021,Qtr 1,January,3,,
Tables,Furniture,2021,Qtr 1,January,3,-264.9208,0
Appliances,Office Supplies,2021,Qtr 1,January,3,,
Art,Office Supplies,2021,Qtr 1,January,3,,
Binders,Office Supplies,2021,Qtr 1,January,3,,
Envelopes,Office Supplies,2021,Qtr 1,January,3,,
Fasteners,Office Supplies,2021,Qtr 1,January,3,,
Labels,Office Supplies,2021,Qtr 1,January,3,,
Paper,Office Supplies,2021,Qtr 1,January,3,12.1348,0
Storage,Office Supplies,2021,Qtr 1,January,3,105.2468,0
Supplies,Office Supplies,2021,Qtr 1,January,3,,
Accessories,Technology,2021,Qtr 1,January,3,,
Copiers,Technology,2021,Qtr 1,January,3,,
Machines,Technology,2021,Qtr 1,January,3,2400.9657,0
Phones,Technology,2021,Qtr 1,January,3,13.9986,0
Bookcases,Furniture,2021,Qtr 1,January,4,,
Chairs,Furniture,2021,Qtr 1,January,4,292.776,0
Furnishings,Furniture,2021,Qtr 1,January,4,3.0976,0
Tables,Furniture,2021,Qtr 1,January,4,,
Appliances,Office Supplies,2021,Qtr 1,January,4,3.0144,0
Art,Office Supplies,2021,Qtr 1,January,4,120.3916,0
Binders,Office Supplies,2021,Qtr 1,January,4,5.7869,0
Envelopes,Office Supplies,2021,Qtr 1,January,4,,
Fasteners,Office Supplies,2021,Qtr 1,January,4,9.8625,0
Labels,Office Supplies,2021,Qtr 1,January,4,9.936,0
Paper,Office Supplies,2021,Qtr 1,January,4,,
Storage,Office Supplies,2021,Qtr 1,January,4,9.7164,0
Supplies,Office Supplies,2021,Qtr 1,January,4,21.7986,0
Accessories,Technology,2021,Qtr 1,January,4,,
Copiers,Technology,2021,Qtr 1,January,4,,
Machines,Technology,2021,Qtr 1,January,4,,
Phones,Technology,2021,Qtr 1,January,4,9.391,0
Bookcases,Furniture,2021,Qtr 1,January,5,,
Chairs,Furniture,2021,Qtr 1,January,5,,
Furnishings,Furniture,2021,Qtr 1,January,5,,
Tables,Furniture,2021,Qtr 1,January,5,-142.071,0
Appliances,Office Supplies,2021,Qtr 1,January,5,,
Art,Office Supplies,2021,Qtr 1,January,5,4.3524,0
Binders,Office Supplies,2021,Qtr 1,January,5,-2.0108,1
Envelopes,Office Supplies,2021,Qtr 1,January,5,,
Fasteners,Office Supplies,2021,Qtr 1,January,5,,
Labels,Office Supplies,2021,Qtr 1,January,5,1.2948,0
Paper,Office Supplies,2021,Qtr 1,January,5,63.192,0
Storage,Office Supplies,2021,Qtr 1,January,5,,
Supplies,Office Supplies,2021,Qtr 1,January,5,,
Accessories,Technology,2021,Qtr 1,January,5,,
Copiers,Technology,2021,Qtr 1,January,5,,
Machines,Technology,2021,Qtr 1,January,5,,
Phones,Technology,2021,Qtr 1,January,5,,
Bookcases,Furniture,2021,Qtr 1,January,7,,
Chairs,Furniture,2021,Qtr 1,January,7,,
Furnishings,Furniture,2021,Qtr 1,January,7,,
Tables,Furniture,2021,Qtr 1,January,7,,
Appliances,Office Supplies,2021,Qtr 1,January,7,,
Art,Office Supplies,2021,Qtr 1,January,7,,
Binders,Office Supplies,2021,Qtr 1,January,7,35.44,0
Envelopes,Office Supplies,2021,Qtr 1,January,7,,
Fasteners,Office Supplies,2021,Qtr 1,January,7,,
Labels,Office Supplies,2021,Qtr 1,January,7,14.0438,0
Paper,Office Supplies,2021,Qtr 1,January,7,39.9978,0
Storage,Office Supplies,2021,Qtr 1,January,7,,
Supplies,Office Supplies,2021,Qtr 1,January,7,,
Accessories,Technology,2021,Qtr 1,January,7,6.168,0
Copiers,Technology,2021,Qtr 1,January,7,449.985,0
Machines,Technology,2021,Qtr 1,January,7,,
Phones,Technology,2021,Qtr 1,January,7,,
Bookcases,Furniture,2021,Qtr 1,January,8,,
Chairs,Furniture,2021,Qtr 1,January,8,,
Furnishings,Furniture,2021,Qtr 1,January,8,3.1382,0
Tables,Furniture,2021,Qtr 1,January,8,,
Appliances,Office Supplies,2021,Qtr 1,January,8,13.788,0
Art,Office Supplies,2021,Qtr 1,January,8,,
Binders,Office Supplies,2021,Qtr 1,January,8,,
Envelopes,Office Supplies,2021,Qtr 1,January,8,,
Fasteners,Office Supplies,2021,Qtr 1,January,8,,
Labels,Office Supplies,2021,Qtr 1,January,8,,
Paper,Office Supplies,2021,Qtr 1,January,8,6.6312,0
Storage,Office Supplies,2021,Qtr 1,January,8,,
Supplies,Office Supplies,2021,Qtr 1,January,8,,
