All_xViz_DS.Product,All_xViz_DS.Category,All_xViz_DS.Sub-Category,Sum(All_xViz_DS.Profit),Sum(All_xViz_DS.Sales)
(Blank),Monitors,Art,760.979999999999,19024.5
Amarilla,Monitors,Art,,
Carretera,Monitors,Art,,
Paseo,Monitors,Art,,
Velo,Monitors,Art,,
VTT,Monitors,Art,,
(Blank),Monitors,Storage,-204.865500000001,5889.625
Amarilla,Monitors,Storage,,
Carretera,Monitors,Storage,,
Paseo,Monitors,Storage,,
Velo,Monitors,Storage,,
VTT,Monitors,Storage,,
(Blank),Tablets,Phones,,
Amarilla,Tablets,Phones,,
Carretera,Tablets,Phones,49.5127999999998,780.456
Paseo,Tablets,Phones,,
Velo,Tablets,Phones,,
VTT,Tablets,Phones,,
(Blank),Tablets,Furnishings,,
Amarilla,Tablets,Furnishings,,
Carretera,Tablets,Furnishings,,
Paseo,Tablets,Furnishings,,
Velo,Tablets,Furnishings,,
VTT,Tablets,Furnishings,-201.5128,526.612
(Blank),Tablets,Storage,,
Amarilla,Tablets,Storage,,
Carretera,Tablets,Storage,,
Paseo,Tablets,Storage,,
Velo,Tablets,Storage,8.47280000000003,466.004
VTT,Tablets,Storage,,
(Blank),Tablets,Tables,,
Amarilla,Tablets,Tables,,
Carretera,Tablets,Tables,18.4125,131.096999999999
Paseo,Tablets,Tables,-27.1656,258.72
Velo,Tablets,Tables,,
VTT,Tablets,Tables,,
(Blank),Tablets,Art,,
Amarilla,Tablets,Art,-102.8378,235.179999999999
Carretera,Tablets,Art,,
Paseo,Tablets,Art,,
Velo,Tablets,Art,,
VTT,Tablets,Art,,
(Blank),Tablets,Bookcases,,
Amarilla,Tablets,Bookcases,,
Carretera,Tablets,Bookcases,3.23499999999998,164.985
Paseo,Tablets,Bookcases,,
Velo,Tablets,Bookcases,,
VTT,Tablets,Bookcases,,
(Blank),Tablets,Labels,,
Amarilla,Tablets,Labels,,
Carretera,Tablets,Labels,,
Paseo,Tablets,Labels,-2.1792,143.01
Velo,Tablets,Labels,,
VTT,Tablets,Labels,,
(Blank),Tablets,Binders,,
Amarilla,Tablets,Binders,,
Carretera,Tablets,Binders,1.18799999999998,125.333999999999
Paseo,Tablets,Binders,,
Velo,Tablets,Binders,,
VTT,Tablets,Binders,,
(Blank),Tablets,Appliances,,
Amarilla,Tablets,Appliances,,
Carretera,Tablets,Appliances,-11.8822,102.619
Paseo,Tablets,Appliances,,
Velo,Tablets,Appliances,,
VTT,Tablets,Appliances,,
(Blank),Tablets,Chairs,,
Amarilla,Tablets,Chairs,,
Carretera,Tablets,Chairs,,
Paseo,Tablets,Chairs,-13.47,75.4319999999999
Velo,Tablets,Chairs,,
VTT,Tablets,Chairs,,
(Blank),Premium Computers,Phones,349.633199999999,2068.822
Amarilla,Premium Computers,Phones,,
Carretera,Premium Computers,Phones,,
Paseo,Premium Computers,Phones,,
Velo,Premium Computers,Phones,,
VTT,Premium Computers,Phones,,
(Blank),Premium Computers,Paper,18.528,342.768
Amarilla,Premium Computers,Paper,,
Carretera,Premium Computers,Paper,,
Paseo,Premium Computers,Paper,,
Velo,Premium Computers,Paper,,
VTT,Premium Computers,Paper,,
(Blank),Premium Computers,Binders,-56.6896000000001,150.624
Amarilla,Premium Computers,Binders,,
Carretera,Premium Computers,Binders,,
Paseo,Premium Computers,Binders,,
Velo,Premium Computers,Binders,,
VTT,Premium Computers,Binders,,
(Blank),Premium Computers,Appliances,-8.55359999999999,117.744
Amarilla,Premium Computers,Appliances,,
Carretera,Premium Computers,Appliances,,
Paseo,Premium Computers,Appliances,,
Velo,Premium Computers,Appliances,,
VTT,Premium Computers,Appliances,,
(Blank),Low Cost Computers,Binders,147.03,901.03
Amarilla,Low Cost Computers,Binders,,
Carretera,Low Cost Computers,Binders,,
Paseo,Low Cost Computers,Binders,,
Velo,Low Cost Computers,Binders,,
VTT,Low Cost Computers,Binders,,
(Blank),Low Cost Computers,Phones,-39.699,66.5659999999999
Amarilla,Low Cost Computers,Phones,,
Carretera,Low Cost Computers,Phones,,
Paseo,Low Cost Computers,Phones,,
Velo,Low Cost Computers,Phones,,
VTT,Low Cost Computers,Phones,,
(Blank),Computer Monitors,Art,5.61599999999999,51.48
Amarilla,Computer Monitors,Art,,
Carretera,Computer Monitors,Art,,
Paseo,Computer Monitors,Art,,
Velo,Computer Monitors,Art,,
VTT,Computer Monitors,Art,,
