Table5.Year,Table5.Region,Table5.Country,Sum(Table5.AC),Sum(Table5.PY)
2017,Americas,USA,359000,293000
2018,Americas,USA,275000,341000
2019,Americas,USA,321000,286000
2017,Americas,Brazil,233000,297000
2018,Americas,Brazil,280000,-44000
2019,Americas,Brazil,367000,238000
2017,Americas,Canada,239000,208000
2018,Americas,Canada,279000,-18000
2019,Americas,Canada,236000,232000
2017,Americas,Other,97000,111000
2018,Americas,Other,67000,93000
2019,Americas,Other,125000,85000
2017,Europe,Poland,103000,0
2018,Europe,Poland,180000,182000
2019,Europe,Poland,239000,272000
2017,Europe,Sweden,176000,276000
2018,Europe,Sweden,,345000
2019,Europe,Sweden,340000,319000
2017,Europe,Belgium,88000,118000
2018,Europe,Belgium,198000,173000
2019,Europe,Belgium,227000,240000
2017,Europe,Germany,107000,0
2018,Europe,Germany,91000,100000
2019,Europe,Germany,219000,190000
2017,Europe,France,118000,196000
2018,Europe,France,0,0
2019,Europe,France,175000,152000
2017,Europe,Other,142000,77000
2018,Europe,Other,41000,0
2019,Europe,Other,83000,50000
2017,Asia-Pacific,Australia,304000,329000
2018,Asia-Pacific,Australia,335000,180000
2019,Asia-Pacific,Australia,80000,217000
2017,Asia-Pacific,Japan,206000,264000
2018,Asia-Pacific,Japan,249000,187000
2019,Asia-Pacific,Japan,229000,279000
2017,Asia-Pacific,China,244000,308000
2018,Asia-Pacific,China,287000,318000
2019,Asia-Pacific,China,145000,321000
2017,Asia-Pacific,Other,50000,134000
2018,Asia-Pacific,Other,78000,78000
2019,Asia-Pacific,Other,69000,66000
