JIRA Issue Key,Count of CreatedDate
PBX-14749,1
PBX-14750,1
PBX-14751,1
PBX-14752,1
PBX-14753,1
PBX-14754,1
PBX-14755,1
PBX-14756,1
PBX-14757,1
PBX-14758,1
PBX-14759,1
PBX-14761,1
PBX-14762,1
PBX-14763,1
PBX-14764,1
PBX-14765,1
PBX-14766,1
PBX-14767,1
PBX-14768,1
PBX-14769,1
PBX-14770,1
PBX-14771,1
PBX-14772,1
PBX-14773,1
PBX-14774,1
PBX-14775,1
PBX-14776,1
PBX-14777,1
PBX-14778,1
PBX-14779,1
PBX-14780,1
PBX-14781,1
PBX-14782,1
PBX-14783,1
PBX-14784,1
PBX-14785,1
PBX-14786,1
PBX-14787,1
PBX-14788,1
PBX-14789,1
PBX-14790,1
PBX-14791,1
PBX-14792,1
PBX-14793,1
PBX-14794,1
PBX-14966,1
PBX-14967,1
PBX-14968,1
PBX-14969,1
PBX-14970,1
PBX-14971,1
PBX-14972,1
PBX-14973,1
PBX-14974,1
PBX-14975,1
PBX-14976,1
PBX-14977,1
PBX-14978,1
PBX-14979,1
PBX-14980,1
PBX-14981,1
PBX-14982,1
PBX-14983,1
PBX-14984,1
PBX-14985,1
PBX-14986,1
PBX-14987,1
PBX-14988,1
PBX-14989,1
PBX-14990,1
PBX-14991,1
PBX-14992,1
PBX-14993,1
PBX-14994,1
PBX-14995,1
PBX-14996,1
PBX-14997,1
PBX-14998,1
PBX-14999,1
PBX-15000,1
PBX-15001,1
PBX-15002,1
PBX-15003,1
PBX-15004,1
PBX-15291,1
PBX-15292,1
PBX-15293,1
PBX-15294,1
PBX-15295,1
PBX-15296,1
PBX-15297,1
PBX-15298,1
PBX-15299,1
PBX-15300,1
PBX-15301,1
PBX-15302,1
PBX-15303,1
PBX-15304,1
PBX-15305,1
PBX-15306,1
PBX-15307,1
PBX-15308,1
PBX-15309,1
PBX-15310,1
PBX-15311,1
PBX-15312,1
PBX-15313,1
PBX-15314,1
PBX-15315,1
PBX-15316,1
PBX-15317,1
PBX-15319,1
PBX-15320,1
PBX-15321,1
PBX-15322,1
PBX-15323,1
PBX-15324,1
PBX-15325,1
PBX-15326,1
PBX-15327,1
PBX-15328,1
PBX-15329,1
PBX-15330,1
PBX-15331,1
PBX-15332,1
PBX-15333,1
PBX-15334,1
PBX-15335,1
PBX-15336,1
PBX-15337,1
PBX-15338,1
PBX-15339,1
PBX-15341,1
PBX-15342,1
PBX-15343,1
PBX-15344,1
PBX-15345,1
PBX-15346,1
PBX-15347,1
PBX-15348,1
PBX-15349,1
PBX-15350,1
PBX-15351,1
PBX-15352,1
PBX-15353,1
PBX-15354,1
PBX-15355,1
PBX-15356,1
PBX-15357,1
PBX-15358,1
PBX-15359,1
PBX-15360,1
